#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.71599389 -7.59728645 -7.47116161 -7.21361243 -7.14945197
1.0 -7.71608832 -7.59736268 -7.47122599 -7.21364927 -7.14948050
2.0 -7.71637365 -7.59759212 -7.47142111 -7.21376954 -7.14957619
3.0 -7.71684891 -7.59797372 -7.47174591 -7.21397318 -7.14973910
4.0 -7.71751239 -7.59850564 -7.47219851 -7.21425962 -7.14996880
5.0 -7.71836164 -7.59918534 -7.47277628 -7.21462805 -7.15026469
6.0 -7.71939356 -7.60000956 -7.47347589 -7.21507745 -7.15062602
7.0 -7.72060432 -7.60097435 -7.47429330 -7.21560653 -7.15105184
8.0 -7.72198945 -7.60207513 -7.47522380 -7.21621383 -7.15154107
9.0 -7.72354379 -7.60330669 -7.47626209 -7.21689767 -7.15209246
10.0 -7.72526153 -7.60466326 -7.47740223 -7.21765619 -7.15270463
11.0 -7.72713624 -7.60613853 -7.47863778 -7.21848734 -7.15337606
12.0 -7.72916085 -7.60772570 -7.47996178 -7.21938891 -7.15410511
13.0 -7.73132773 -7.60941756 -7.48136681 -7.22035857 -7.15489002
14.0 -7.73362867 -7.61120651 -7.48284507 -7.22139383 -7.15572894
15.0 -7.73605491 -7.61308462 -7.48438840 -7.22249209 -7.15661991
16.0 -7.73859721 -7.61504368 -7.48598832 -7.22365067 -7.15756091
17.0 -7.74124587 -7.61707530 -7.48763612 -7.22486680 -7.15854985
18.0 -7.74399077 -7.61917090 -7.48932288 -7.22613764 -7.15958459
19.0 -7.74682140 -7.62132180 -7.49103952 -7.22746031 -7.16066294
20.0 -7.74972697 -7.62351928 -7.49277685 -7.22883190 -7.16178268
21.0 -7.75269639 -7.62575459 -7.49452560 -7.23024948 -7.16294159
22.0 -7.75571836 -7.62801906 -7.49627651 -7.23171014 -7.16413742
23.0 -7.75878144 -7.63030409 -7.49802030 -7.23321095 -7.16536795
24.0 -7.76187407 -7.63260120 -7.49974774 -7.23474903 -7.16663096
25.0 -7.76498470 -7.63490211 -7.50144971 -7.23632154 -7.16792425
26.0 -7.76810175 -7.63719872 -7.50311718 -7.23792569 -7.16924568
27.0 -7.77121377 -7.63948317 -7.50474126 -7.23955873 -7.17059313
28.0 -7.77430945 -7.64174788 -7.50631325 -7.24121800 -7.17196454
29.0 -7.77737765 -7.64398552 -7.50782460 -7.24290093 -7.17335791
30.0 -7.78040752 -7.64618911 -7.50926700 -7.24460500 -7.17477129
31.0 -7.78338851 -7.64835196 -7.51063235 -7.24632782 -7.17620282
32.0 -7.78631043 -7.65046774 -7.51191278 -7.24806706 -7.17765070
33.0 -7.78916350 -7.65253047 -7.51310068 -7.24982052 -7.17911321
34.0 -7.79193837 -7.65453452 -7.51418870 -7.25158608 -7.18058872
35.0 -7.79462619 -7.65647462 -7.51516973 -7.25336174 -7.18207566
36.0 -7.79721863 -7.65834589 -7.51603697 -7.25514559 -7.18357257
37.0 -7.79970788 -7.66014381 -7.51678386 -7.25693584 -7.18507805
38.0 -7.80208672 -7.66186423 -7.51740414 -7.25873080 -7.18659081
39.0 -7.80434852 -7.66350337 -7.51789182 -7.26052888 -7.18810962
40.0 -7.80648722 -7.66505782 -7.51824117 -7.26232860 -7.18963335
41.0 -7.80849741 -7.66652453 -7.51844675 -7.26412856 -7.19116093
42.0 -7.81037427 -7.66790082 -7.51850342 -7.26592749 -7.19269140
43.0 -7.81211362 -7.66918434 -7.51840626 -7.26772417 -7.19422385
44.0 -7.81371190 -7.67037312 -7.51815067 -7.26951751 -7.19575746
45.0 -7.81516615 -7.67146548 -7.51773229 -7.27130648 -7.19729145
46.0 -7.81647404 -7.67246011 -7.51714703 -7.27309014 -7.19882516
47.0 -7.81763383 -7.67335601 -7.51639108 -7.27486763 -7.20035795
48.0 -7.81864435 -7.67415247 -7.51546087 -7.27663817 -7.20188926
49.0 -7.81950503 -7.67484912 -7.51435312 -7.27840102 -7.20341857
50.0 -7.82021582 -7.67544586 -7.51306479 -7.28015555 -7.20494545
51.0 -7.82077723 -7.67594287 -7.51159310 -7.28190116 -7.20646948
52.0 -7.82119026 -7.67634061 -7.50993555 -7.28363732 -7.20799031
53.0 -7.82145640 -7.67663980 -7.50808989 -7.28536356 -7.20950762
54.0 -7.82157758 -7.67684141 -7.50605414 -7.28707946 -7.21102116
55.0 -7.82155619 -7.67694664 -7.50382657 -7.28878463 -7.21253067
56.0 -7.82139500 -7.67695693 -7.50140576 -7.29047875 -7.21403597
57.0 -7.82109715 -7.67687393 -7.49879053 -7.29216153 -7.21553688
58.0 -7.82066612 -7.67669949 -7.49597999 -7.29383271 -7.21703325
59.0 -7.82010571 -7.67643566 -7.49297356 -7.29549208 -7.21852498
60.0 -7.81941999 -7.67608465 -7.48977092 -7.29713946 -7.22001196
61.0 -7.81861327 -7.67564885 -7.48637210 -7.29877468 -7.22149412
62.0 -7.81769008 -7.67513082 -7.48277740 -7.30039761 -7.22297139
63.0 -7.81665513 -7.67453323 -7.47898748 -7.30200813 -7.22444372
64.0 -7.81551329 -7.67385892 -7.47500334 -7.30360616 -7.22591107
65.0 -7.81426955 -7.67311081 -7.47082631 -7.30519160 -7.22737342
66.0 -7.81292900 -7.67229196 -7.46645811 -7.30676438 -7.22883073
67.0 -7.81149678 -7.67140552 -7.46190085 -7.30832444 -7.23028299
68.0 -7.80997810 -7.67045473 -7.45715703 -7.30987171 -7.23173018
69.0 -7.80837817 -7.66944289 -7.45222959 -7.31140609 -7.23317227
70.0 -7.80670219 -7.66837339 -7.44712189 -7.31292750 -7.23460926
71.0 -7.80495534 -7.66724966 -7.44183780 -7.31443580 -7.23604112
72.0 -7.80314276 -7.66607518 -7.43638166 -7.31593081 -7.23746784
73.0 -7.80126949 -7.66485346 -7.43075835 -7.31741229 -7.23888939
74.0 -7.79934052 -7.66358804 -7.42497337 -7.31887987 -7.24030575
75.0 -7.79736071 -7.66228246 -7.41903285 -7.32033302 -7.24171689
76.0 -7.79533482 -7.66094028 -7.41294367 -7.32177097 -7.24312278
77.0 -7.79326749 -7.65956506 -7.40671366 -7.32319256 -7.24452339
78.0 -7.79116319 -7.65816033 -7.40035175 -7.32459605 -7.24591868
79.0 -7.78902628 -7.65672960 -7.39386844 -7.32597871 -7.24730860
80.0 -7.78686097 -7.65527638 -7.38727649 -7.32733614 -7.24869310
81.0 -7.78467129 -7.65380412 -7.38059225 -7.32866097 -7.25007213
82.0 -7.78246113 -7.65231622 -7.37383857 -7.32994003 -7.25144560
83.0 -7.78023424 -7.65081607 -7.36705130 -7.33114782 -7.25281347
84.0 -7.77799418 -7.64930698 -7.36029663 -7.33222927 -7.25417562
85.0 -7.77574437 -7.64779220 -7.35372456 -7.33304636 -7.25553199
86.0 -7.77348808 -7.64627493 -7.34775588 -7.33319114 -7.25688245
87.0 -7.77122844 -7.64475830 -7.34353908 -7.33152903 -7.25822690
88.0 -7.76896839 -7.64324537 -7.34208866 -7.32706059 -7.25956521
89.0 -7.76671078 -7.64173910 -7.34230202 -7.32090487 -7.26089725
90.0 -7.76445827 -7.64024238 -7.34312064 -7.31413849 -7.26222287
91.0 -7.76221340 -7.63875802 -7.34417405 -7.30715213 -7.26354192
92.0 -7.75997857 -7.63728871 -7.34533536 -7.30009558 -7.26485425
93.0 -7.75775605 -7.63583706 -7.34655330 -7.29304669 -7.26615967
94.0 -7.75554796 -7.63440554 -7.34780390 -7.28606110 -7.26745804
95.0 -7.75335631 -7.63299655 -7.34907475 -7.27919029 -7.26874916
96.0 -7.75118297 -7.63161234 -7.35035891 -7.27249112 -7.27003286
97.0 -7.74902969 -7.63025504 -7.35165229 -7.27130897 -7.26603386
98.0 -7.74689808 -7.62892666 -7.35295239 -7.27257730 -7.25991103
99.0 -7.74478965 -7.62762907 -7.35425767 -7.27383769 -7.25424693
100.0 -7.74270579 -7.62636401 -7.35556718 -7.27508995 -7.24920208
101.0 -7.74064778 -7.62513310 -7.35688030 -7.27633391 -7.24495676
102.0 -7.73861680 -7.62393781 -7.35819669 -7.27756939 -7.24165466
103.0 -7.73661392 -7.62277947 -7.35951615 -7.27879621 -7.23932521
104.0 -7.73464015 -7.62165930 -7.36083856 -7.28001419 -7.23785936
105.0 -7.73269639 -7.62057837 -7.36216387 -7.28122313 -7.23707052
106.0 -7.73078347 -7.61953762 -7.36349208 -7.28242285 -7.23677313
107.0 -7.72890215 -7.61853788 -7.36482316 -7.28361314 -7.23682121
108.0 -7.72705312 -7.61757982 -7.36615713 -7.28479380 -7.23711150
109.0 -7.72523698 -7.61666399 -7.36749395 -7.28596463 -7.23757380
110.0 -7.72345427 -7.61579083 -7.36883363 -7.28712543 -7.23816060
111.0 -7.72170543 -7.61496063 -7.37017610 -7.28827602 -7.23883933
112.0 -7.71999086 -7.61417355 -7.37152134 -7.28941621 -7.23958725
113.0 -7.71831086 -7.61342964 -7.37286927 -7.29054583 -7.24038809
114.0 -7.71666565 -7.61272882 -7.37421981 -7.29166473 -7.24122995
115.0 -7.71505542 -7.61207091 -7.37557283 -7.29277274 -7.24210390
116.0 -7.71348029 -7.61145561 -7.37692819 -7.29386971 -7.24300311
117.0 -7.71194033 -7.61088254 -7.37828571 -7.29495547 -7.24392223
118.0 -7.71043558 -7.61035120 -7.37964514 -7.29602986 -7.24485697
119.0 -7.70896604 -7.60986103 -7.38100624 -7.29709271 -7.24580383
120.0 -7.70753168 -7.60941139 -7.38236868 -7.29814385 -7.24675991
121.0 -7.70613244 -7.60900154 -7.38373213 -7.29918311 -7.24772277
122.0 -7.70476822 -7.60863069 -7.38509623 -7.30021032 -7.24869032
123.0 -7.70343886 -7.60829795 -7.38646062 -7.30122533 -7.24966076
124.0 -7.70214417 -7.60800241 -7.38782490 -7.30222801 -7.25063253
125.0 -7.70088391 -7.60774306 -7.38918869 -7.30321825 -7.25160425
126.0 -7.69965780 -7.60751884 -7.39055159 -7.30419592 -7.25257472
127.0 -7.69846554 -7.60732868 -7.39191319 -7.30516094 -7.25354286
128.0 -7.69730682 -7.60717142 -7.39327303 -7.30611319 -7.25450767
129.0 -7.69618128 -7.60704589 -7.39463065 -7.30705257 -7.25546827
130.0 -7.69508860 -7.60695089 -7.39598555 -7.30797896 -7.25642380
131.0 -7.69402843 -7.60688518 -7.39733720 -7.30889225 -7.25737351
132.0 -7.69300044 -7.60684753 -7.39868506 -7.30979232 -7.25831666
133.0 -7.69200425 -7.60683664 -7.40002858 -7.31067907 -7.25925260
134.0 -7.69103949 -7.60685124 -7.40136723 -7.31155239 -7.26018074
135.0 -7.69010576 -7.60689004 -7.40270049 -7.31241223 -7.26110051
136.0 -7.68920265 -7.60695174 -7.40402786 -7.31325852 -7.26201145
137.0 -7.68832973 -7.60703501 -7.40534884 -7.31409122 -7.26291310
138.0 -7.68748657 -7.60713855 -7.40666293 -7.31491030 -7.26380506
139.0 -7.68667274 -7.60726105 -7.40796961 -7.31571572 -7.26468692
140.0 -7.68588783 -7.60740117 -7.40926836 -7.31650741 -7.26555832
141.0 -7.68513145 -7.60755762 -7.41055861 -7.31728532 -7.26641889
142.0 -7.68440321 -7.60772907 -7.41183981 -7.31804940 -7.26726830
143.0 -7.68370275 -7.60791423 -7.41311140 -7.31879960 -7.26810621
144.0 -7.68302968 -7.60811181 -7.41437286 -7.31953587 -7.26893237
145.0 -7.68238363 -7.60832056 -7.41562370 -7.32025822 -7.26974651
146.0 -7.68176423 -7.60853921 -7.41686344 -7.32096663 -7.27054843
147.0 -7.68117109 -7.60876654 -7.41809165 -7.32166115 -7.27133796
148.0 -7.68060383 -7.60900132 -7.41930788 -7.32234177 -7.27211493
149.0 -7.68006212 -7.60924235 -7.42051169 -7.32300852 -7.27287918
150.0 -7.67954560 -7.60948842 -7.42170260 -7.32366141 -7.27363056
151.0 -7.67905397 -7.60973835 -7.42288014 -7.32430043 -7.27436890
152.0 -7.67858694 -7.60999098 -7.42404384 -7.32492559 -7.27509407
153.0 -7.67814422 -7.61024518 -7.42519324 -7.32553690 -7.27580593
154.0 -7.67772552 -7.61049984 -7.42632792 -7.32613438 -7.27650440
