#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.59728645 -7.59728645 1.0
1.0 0.00007796 -7.59736268 -7.59728472 1.0000000000000002
2.0 0.00031165 -7.59759217 -7.59728052 0.9999999999999993
3.0 0.00070045 -7.59797397 -7.59727352 1.0000000000000007
4.0 0.00124335 -7.59850644 -7.59726309 1.0000000000000013
5.0 0.00193893 -7.59918729 -7.59724836 1.0000000000000016
6.0 0.00278539 -7.60001357 -7.59722818 1.0000000000000009
7.0 0.00378054 -7.60098174 -7.59720119 1.000000000000002
8.0 0.00492182 -7.60208761 -7.59716578 1.0000000000000022
9.0 0.00620631 -7.60332639 -7.59712009 1.0000000000000018
10.0 0.00763072 -7.60469273 -7.59706201 1.000000000000002
11.0 0.00919147 -7.60618067 -7.59698920 1.0000000000000022
12.0 0.01088462 -7.60778372 -7.59689909 1.0000000000000009
13.0 0.01270596 -7.60949486 -7.59678889 1.000000000000001
14.0 0.01465100 -7.61130661 -7.59665561 1.0000000000000007
15.0 0.01671498 -7.61321104 -7.59649606 1.000000000000001
16.0 0.01889292 -7.61519985 -7.59630693 1.0000000000000004
17.0 0.02117964 -7.61726442 -7.59608478 1.0000000000000007
18.0 0.02356978 -7.61939584 -7.59582606 0.9999999999999998
19.0 0.02605783 -7.62158497 -7.59552714 0.9999999999999993
20.0 0.02863817 -7.62382253 -7.59518436 0.9999999999999986
21.0 0.03130508 -7.62609909 -7.59479401 0.9999999999999978
22.0 0.03405279 -7.62840519 -7.59435240 0.9999999999999971
23.0 0.03687549 -7.63073135 -7.59385586 0.9999999999999968
24.0 0.03976738 -7.63306819 -7.59330080 0.9999999999999963
25.0 0.04272269 -7.63540646 -7.59268377 0.9999999999999972
26.0 0.04573568 -7.63773715 -7.59200147 0.9999999999999959
27.0 0.04880070 -7.64005154 -7.59125084 0.9999999999999964
28.0 0.05191219 -7.64234128 -7.59042908 0.9999999999999954
29.0 0.05506472 -7.64459842 -7.58953370 0.999999999999996
30.0 0.05825300 -7.64681554 -7.58856254 0.9999999999999954
31.0 0.06147187 -7.64898567 -7.58751380 0.9999999999999961
32.0 0.06471639 -7.65110244 -7.58638605 0.9999999999999959
33.0 0.06798177 -7.65315999 -7.58517822 0.9999999999999956
34.0 0.07126344 -7.65515303 -7.58388959 0.9999999999999953
35.0 0.07455701 -7.65707680 -7.58251979 0.9999999999999949
36.0 0.07785831 -7.65892708 -7.58106877 0.9999999999999948
37.0 0.08116334 -7.66070012 -7.57953677 0.9999999999999951
38.0 0.08446832 -7.66239265 -7.57792433 0.9999999999999958
39.0 0.08776960 -7.66400180 -7.57623220 0.9999999999999947
40.0 0.09106376 -7.66552510 -7.57446135 0.9999999999999947
41.0 0.09434750 -7.66696037 -7.57261287 0.999999999999994
42.0 0.09761771 -7.66830571 -7.57068800 0.9999999999999952
43.0 0.10087141 -7.66955943 -7.56868802 0.9999999999999959
44.0 0.10410580 -7.67072002 -7.56661423 0.9999999999999966
45.0 0.10731820 -7.67178616 -7.56446796 0.999999999999997
46.0 0.11050609 -7.67275665 -7.56225056 0.9999999999999981
47.0 0.11366710 -7.67363049 -7.55996339 0.9999999999999974
48.0 0.11679899 -7.67440689 -7.55760790 0.9999999999999974
49.0 0.11989967 -7.67508529 -7.55518562 0.9999999999999961
50.0 0.12296720 -7.67566541 -7.55269821 0.999999999999996
51.0 0.12599980 -7.67614729 -7.55014749 0.9999999999999964
52.0 0.12899585 -7.67653129 -7.54753545 0.9999999999999967
53.0 0.13195388 -7.67681810 -7.54486422 0.999999999999996
54.0 0.13487261 -7.67700873 -7.54213611 0.9999999999999956
55.0 0.13775091 -7.67710445 -7.53935354 0.9999999999999962
56.0 0.14058778 -7.67710681 -7.53651903 0.9999999999999962
57.0 0.14338239 -7.67701756 -7.53363517 0.9999999999999956
58.0 0.14613402 -7.67683863 -7.53070462 0.9999999999999949
59.0 0.14884205 -7.67657207 -7.52773001 0.9999999999999953
60.0 0.15150598 -7.67621999 -7.52471401 0.9999999999999952
61.0 0.15412538 -7.67578456 -7.52165919 0.9999999999999953
62.0 0.15669987 -7.67526792 -7.51856805 0.9999999999999959
63.0 0.15922916 -7.67467218 -7.51544301 0.9999999999999957
64.0 0.16171302 -7.67399938 -7.51228635 0.9999999999999958
65.0 0.16415127 -7.67325153 -7.50910026 0.9999999999999951
66.0 0.16654382 -7.67243069 -7.50588688 0.9999999999999951
67.0 0.16889065 -7.67153900 -7.50264835 0.9999999999999942
68.0 0.17119188 -7.67057881 -7.49938694 0.999999999999995
69.0 0.17344774 -7.66955282 -7.49610508 0.9999999999999948
70.0 0.17565864 -7.66846413 -7.49280549 0.999999999999995
71.0 0.17782514 -7.66731633 -7.48949119 0.9999999999999947
72.0 0.17994800 -7.66611354 -7.48616554 0.9999999999999952
73.0 0.18202816 -7.66486038 -7.48283221 0.9999999999999957
74.0 0.18406672 -7.66356184 -7.47949512 0.9999999999999968
75.0 0.18606494 -7.66222323 -7.47615829 0.9999999999999963
76.0 0.18802419 -7.66084993 -7.47282574 0.9999999999999967
77.0 0.18994590 -7.65944726 -7.46950136 0.9999999999999967
78.0 0.19183153 -7.65802027 -7.46618874 0.9999999999999971
79.0 0.19368248 -7.65657357 -7.46289109 0.9999999999999977
80.0 0.19550007 -7.65511122 -7.45961115 0.9999999999999971
81.0 0.19728549 -7.65363669 -7.45635120 0.9999999999999981
82.0 0.19903973 -7.65215284 -7.45311311 0.9999999999999982
83.0 0.20076359 -7.65066200 -7.44989841 0.999999999999998
84.0 0.20245767 -7.64916611 -7.44670844 0.999999999999998
85.0 0.20412235 -7.64766685 -7.44354450 0.9999999999999969
86.0 0.20575787 -7.64616584 -7.44040798 0.9999999999999966
87.0 0.20736429 -7.64466477 -7.43730047 0.9999999999999967
88.0 0.20894162 -7.64316547 -7.43422385 0.9999999999999962
89.0 0.21048982 -7.64167005 -7.43118023 0.9999999999999961
90.0 0.21200888 -7.64018082 -7.42817194 0.9999999999999959
91.0 0.21349892 -7.63870034 -7.42520142 0.9999999999999964
92.0 0.21496021 -7.63723137 -7.42227116 0.9999999999999966
93.0 0.21639330 -7.63577683 -7.41938353 0.9999999999999973
94.0 0.21779903 -7.63433984 -7.41654081 0.9999999999999976
95.0 0.21917861 -7.63292371 -7.41374510 0.9999999999999972
96.0 0.22053356 -7.63153191 -7.41099836 0.999999999999997
97.0 0.22186571 -7.63016809 -7.40830238 0.9999999999999973
98.0 0.22317709 -7.62883588 -7.40565879 0.9999999999999966
99.0 0.22446972 -7.62753865 -7.40306893 0.9999999999999974
100.0 0.22574543 -7.62627918 -7.40053375 0.9999999999999976
101.0 0.22700565 -7.62505924 -7.39805359 0.9999999999999972
102.0 0.22825117 -7.62387921 -7.39562804 0.9999999999999979
103.0 0.22948208 -7.62273791 -7.39325584 0.9999999999999974
104.0 0.23069774 -7.62163275 -7.39093500 0.999999999999998
105.0 0.23189697 -7.62056013 -7.38866316 0.9999999999999974
106.0 0.23307834 -7.61951642 -7.38643808 0.9999999999999966
107.0 0.23424061 -7.61849904 -7.38425843 0.9999999999999967
108.0 0.23538320 -7.61750763 -7.38212443 0.9999999999999966
109.0 0.23650652 -7.61654487 -7.38003835 0.9999999999999964
110.0 0.23761220 -7.61561674 -7.37800454 0.9999999999999953
111.0 0.23870294 -7.61473178 -7.37602884 0.9999999999999951
112.0 0.23978210 -7.61389951 -7.37411741 0.9999999999999942
113.0 0.24085306 -7.61312820 -7.37227515 0.9999999999999939
114.0 0.24191840 -7.61242239 -7.37050399 0.9999999999999954
115.0 0.24297923 -7.61178100 -7.36880177 0.9999999999999952
116.0 0.24403483 -7.61119668 -7.36716185 0.9999999999999959
117.0 0.24508267 -7.61065680 -7.36557412 0.9999999999999964
118.0 0.24611912 -7.61014620 -7.36402709 0.9999999999999972
119.0 0.24714034 -7.60965113 -7.36251079 0.9999999999999979
120.0 0.24814356 -7.60916339 -7.36101983 0.9999999999999977
121.0 0.24912801 -7.60868346 -7.35955544 0.9999999999999973
122.0 0.25009546 -7.60822140 -7.35812594 0.999999999999998
123.0 0.25104993 -7.60779499 -7.35674506 0.9999999999999973
124.0 0.25199674 -7.60742510 -7.35542836 0.9999999999999979
125.0 0.25294100 -7.60712959 -7.35418858 0.9999999999999973
126.0 0.25388601 -7.60691722 -7.35303121 0.9999999999999976
127.0 0.25483209 -7.60678378 -7.35195170 0.9999999999999977
128.0 0.25577625 -7.60671184 -7.35093559 0.9999999999999973
129.0 0.25671297 -7.60667471 -7.34996174 0.9999999999999974
130.0 0.25763584 -7.60664399 -7.34900815 0.9999999999999972
131.0 0.25853971 -7.60659838 -7.34805867 0.9999999999999972
132.0 0.25942256 -7.60653107 -7.34710851 0.999999999999997
133.0 0.26028645 -7.60645289 -7.34616643 0.9999999999999972
134.0 0.26113711 -7.60638954 -7.34525243 0.9999999999999979
135.0 0.26198212 -7.60637336 -7.34439124 0.9999999999999983
136.0 0.26282831 -7.60643179 -7.34360348 0.9999999999999991
137.0 0.26367919 -7.60657660 -7.34289741 0.9999999999999978
138.0 0.26453334 -7.60679769 -7.34226435 0.999999999999998
139.0 0.26538461 -7.60706454 -7.34167992 0.9999999999999986
140.0 0.26622410 -7.60733537 -7.34111127 0.9999999999999977
141.0 0.26704337 -7.60757155 -7.34052818 0.9999999999999981
142.0 0.26783778 -7.60775211 -7.33991433 0.9999999999999988
143.0 0.26860858 -7.60788280 -7.33927421 0.9999999999999988
144.0 0.26936279 -7.60799534 -7.33863254 0.9999999999999983
145.0 0.27011074 -7.60813632 -7.33802557 0.9999999999999984
146.0 0.27086209 -7.60834914 -7.33748706 0.9999999999999971
147.0 0.27162178 -7.60865600 -7.33703422 0.9999999999999971
148.0 0.27238778 -7.60904728 -7.33665950 0.9999999999999973
149.0 0.27315160 -7.60948375 -7.33633214 0.9999999999999971
150.0 0.27390174 -7.60991146 -7.33600972 0.999999999999997
151.0 0.27462859 -7.61028406 -7.33565547 0.9999999999999972
152.0 0.27532886 -7.61058298 -7.33525412 0.9999999999999959
153.0 0.27600723 -7.61082593 -7.33481870 0.999999999999996
154.0 0.27667444 -7.61105909 -7.33438466 0.9999999999999957
155.0 0.27734231 -7.61133523 -7.33399292 0.999999999999996
156.0 0.27801807 -7.61168766 -7.33366960 0.9999999999999968
157.0 0.27870060 -7.61211256 -7.33341196 0.9999999999999967
158.0 0.27938080 -7.61256913 -7.33318833 0.9999999999999978
159.0 0.28004610 -7.61299891 -7.33295281 0.9999999999999972
160.0 0.28068697 -7.61335522 -7.33266825 0.9999999999999977
161.0 0.28130212 -7.61362775 -7.33232564 0.9999999999999973
162.0 0.28189940 -7.61384839 -7.33194898 0.9999999999999978
163.0 0.28249176 -7.61407401 -7.33158225 0.9999999999999976
164.0 0.28309006 -7.61435461 -7.33126455 0.9999999999999968
165.0 0.28369691 -7.61470427 -7.33100736 0.9999999999999963
166.0 0.28430512 -7.61509222 -7.33078710 0.9999999999999966
