# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020775 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
1.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020775 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
2.0 0.934064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020774 0.000000 0.000000 0.017498 0.025108 0.000904 0.000904 0.000179
3.0 0.934056 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020773 0.000000 0.000000 0.017494 0.025120 0.000904 0.000904 0.000179
4.0 0.934037 0.000000 0.000000 0.000000 0.000000 0.000000 0.000572 0.020770 0.000000 0.000000 0.017484 0.025150 0.000904 0.000904 0.000179
5.0 0.934003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000575 0.020767 0.000000 0.000000 0.017463 0.025205 0.000905 0.000905 0.000178
6.0 0.933950 0.000000 0.000000 0.000000 0.000000 0.000000 0.000581 0.020763 0.000000 0.000000 0.017426 0.025292 0.000906 0.000906 0.000176
7.0 0.933878 0.000000 0.000000 0.000000 0.000000 0.000000 0.000591 0.020761 0.000000 0.000000 0.017368 0.025415 0.000906 0.000906 0.000174
8.0 0.933791 0.000000 0.000000 0.000000 0.000000 0.000000 0.000606 0.020766 0.000000 0.000000 0.017280 0.025572 0.000907 0.000907 0.000172
9.0 0.933695 0.000000 0.000000 0.000000 0.000000 0.000000 0.000628 0.020779 0.000000 0.000000 0.017158 0.025758 0.000906 0.000906 0.000168
10.0 0.933597 0.000000 0.000000 0.000000 0.000000 0.000000 0.000660 0.020805 0.000000 0.000000 0.016995 0.025968 0.000905 0.000905 0.000164
11.0 0.933507 0.000000 0.000000 0.000000 0.000000 0.000000 0.000704 0.020846 0.000000 0.000000 0.016785 0.026193 0.000904 0.000904 0.000158
12.0 0.933430 0.000000 0.000000 0.000000 0.000000 0.000000 0.000763 0.020901 0.000000 0.000000 0.016525 0.026427 0.000902 0.000902 0.000151
13.0 0.933370 0.000000 0.000000 0.000000 0.000000 0.000000 0.000841 0.020969 0.000000 0.000000 0.016212 0.026666 0.000900 0.000900 0.000142
14.0 0.933327 0.000000 0.000000 0.000000 0.000000 0.000000 0.000941 0.021047 0.000000 0.000000 0.015844 0.026910 0.000900 0.000900 0.000131
15.0 0.933296 0.000000 0.000000 0.000000 0.000000 0.000000 0.001069 0.021132 0.000000 0.000000 0.015422 0.027160 0.000901 0.000901 0.000119
16.0 0.933267 0.000000 0.000000 0.000000 0.000000 0.000000 0.001229 0.021220 0.000000 0.000000 0.014947 0.027420 0.000906 0.000906 0.000106
17.0 0.933229 0.000000 0.000000 0.000000 0.000000 0.000000 0.001426 0.021309 0.000000 0.000000 0.014423 0.027694 0.000913 0.000913 0.000092
18.0 0.933170 0.000000 0.000000 0.000000 0.000000 0.000000 0.001668 0.021397 0.000000 0.000000 0.013855 0.027984 0.000924 0.000924 0.000078
19.0 0.933075 0.000000 0.000000 0.000000 0.000000 0.000000 0.001958 0.021484 0.000000 0.000000 0.013251 0.028289 0.000938 0.000938 0.000065
20.0 0.932932 0.000000 0.000000 0.000000 0.000000 0.000000 0.002303 0.021574 0.000000 0.000000 0.012619 0.028610 0.000955 0.000955 0.000052
21.0 0.932726 0.000000 0.000000 0.000000 0.000000 0.000000 0.002708 0.021669 0.000000 0.000000 0.011969 0.028942 0.000973 0.000973 0.000040
22.0 0.932445 0.000000 0.000000 0.000000 0.000000 0.000000 0.003178 0.021772 0.000000 0.000000 0.011312 0.029280 0.000992 0.000992 0.000029
23.0 0.932073 0.000000 0.000000 0.000000 0.000000 0.000000 0.003715 0.021887 0.000000 0.000000 0.010659 0.029623 0.001011 0.001011 0.000021
24.0 0.931595 0.000000 0.000000 0.000000 0.000000 0.000000 0.004324 0.022016 0.000000 0.000000 0.010021 0.029967 0.001031 0.001031 0.000015
25.0 0.930997 0.000000 0.000000 0.000000 0.000000 0.000000 0.005007 0.022158 0.000000 0.000000 0.009411 0.030313 0.001051 0.001051 0.000013
26.0 0.930264 0.000000 0.000000 0.000000 0.000000 0.000000 0.005765 0.022313 0.000000 0.000000 0.008838 0.030663 0.001072 0.001072 0.000015
27.0 0.929386 0.000000 0.000000 0.000000 0.000000 0.000000 0.006599 0.022474 0.000000 0.000000 0.008311 0.031019 0.001094 0.001094 0.000022
28.0 0.928362 0.000000 0.000000 0.000000 0.000000 0.000000 0.007509 0.022636 0.000000 0.000000 0.007839 0.031384 0.001118 0.001118 0.000035
29.0 0.927194 0.000000 0.000000 0.000000 0.000000 0.000000 0.008491 0.022789 0.000000 0.000000 0.007427 0.031757 0.001145 0.001145 0.000052
30.0 0.925896 0.000000 0.000000 0.000000 0.000000 0.000000 0.009541 0.022925 0.000000 0.000000 0.007078 0.032136 0.001175 0.001175 0.000075
31.0 0.924489 0.000000 0.000000 0.000000 0.000000 0.000000 0.010651 0.023035 0.000000 0.000000 0.006797 0.032515 0.001206 0.001206 0.000102
32.0 0.922998 0.000000 0.000000 0.000000 0.000000 0.000000 0.011811 0.023111 0.000000 0.000000 0.006582 0.032886 0.001239 0.001239 0.000134
