# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000001 0.999999 0.000000 0.000000 0.000000
3.0 0.000003 0.999995 0.000001 0.000000 0.000000
4.0 0.000011 0.999986 0.000003 0.000000 0.000000
5.0 0.000026 0.999966 0.000008 0.000000 0.000000
6.0 0.000053 0.999931 0.000015 0.000000 0.000000
7.0 0.000096 0.999875 0.000028 0.000001 0.000000
8.0 0.000159 0.999794 0.000046 0.000001 0.000000
9.0 0.000246 0.999681 0.000071 0.000001 0.000000
10.0 0.000363 0.999531 0.000104 0.000001 0.000000
11.0 0.000511 0.999341 0.000146 0.000002 0.000000
12.0 0.000694 0.999107 0.000196 0.000002 0.000000
13.0 0.000913 0.998828 0.000256 0.000002 0.000000
14.0 0.001168 0.998504 0.000325 0.000002 0.000000
15.0 0.001459 0.998136 0.000402 0.000001 0.000000
16.0 0.001782 0.997728 0.000487 0.000001 0.000000
17.0 0.002135 0.997285 0.000577 0.000001 0.000000
18.0 0.002513 0.996813 0.000672 0.000001 0.000000
19.0 0.002908 0.996320 0.000769 0.000001 0.000000
20.0 0.003314 0.995816 0.000867 0.000000 0.000000
21.0 0.003723 0.995312 0.000962 0.000000 0.000000
22.0 0.004126 0.994817 0.001054 0.000000 0.000000
23.0 0.004514 0.994342 0.001140 0.000000 0.000000
24.0 0.004879 0.993898 0.001219 0.000000 0.000000
25.0 0.005213 0.993496 0.001288 0.000001 0.000000
26.0 0.005507 0.993142 0.001346 0.000001 0.000000
27.0 0.005756 0.992847 0.001394 0.000000 0.000000
28.0 0.005953 0.992614 0.001429 0.000000 0.000000
29.0 0.006095 0.992449 0.001451 0.000000 0.000000
30.0 0.006179 0.992354 0.001462 0.000000 0.000000
31.0 0.006205 0.992329 0.001461 0.000000 0.000000
32.0 0.006174 0.992372 0.001448 0.000000 0.000000
33.0 0.006088 0.992480 0.001425 0.000001 0.000000
34.0 0.005952 0.992648 0.001392 0.000001 0.000000
35.0 0.005771 0.992869 0.001351 0.000001 0.000000
36.0 0.005553 0.993135 0.001304 0.000002 0.000000
37.0 0.005305 0.993436 0.001250 0.000002 0.000000
38.0 0.005034 0.993762 0.001193 0.000002 0.000000
39.0 0.004751 0.994104 0.001134 0.000003 0.000000
40.0 0.004462 0.994452 0.001074 0.000003 0.000000
41.0 0.004176 0.994797 0.001015 0.000004 0.000000
42.0 0.003899 0.995128 0.000958 0.000004 0.000000
43.0 0.003638 0.995440 0.000905 0.000005 0.000000
44.0 0.003397 0.995725 0.000859 0.000006 0.000000
45.0 0.003180 0.995980 0.000819 0.000008 0.000000
46.0 0.002989 0.996200 0.000788 0.000010 0.000000
47.0 0.002824 0.996384 0.000765 0.000012 0.000000
48.0 0.002686 0.996532 0.000752 0.000015 0.000000
49.0 0.002572 0.996646 0.000748 0.000018 0.000000
50.0 0.002481 0.996729 0.000752 0.000020 0.000000
51.0 0.002410 0.996785 0.000763 0.000023 0.000000
52.0 0.002355 0.996820 0.000779 0.000026 0.000000
53.0 0.002314 0.996840 0.000797 0.000028 0.000000
54.0 0.002282 0.996850 0.000814 0.000030 0.000000
55.0 0.002258 0.996857 0.000828 0.000032 0.000000
56.0 0.002239 0.996866 0.000835 0.000033 0.000000
57.0 0.002221 0.996883 0.000833 0.000035 0.000000
58.0 0.002203 0.996911 0.000819 0.000038 0.000000
59.0 0.002183 0.996954 0.000791 0.000041 0.000000
60.0 0.002159 0.997013 0.000750 0.000045 0.000000
61.0 0.002130 0.997089 0.000696 0.000049 0.000000
62.0 0.002095 0.997182 0.000631 0.000055 0.000000
63.0 0.002052 0.997289 0.000559 0.000061 0.000000
64.0 0.002000 0.997408 0.000482 0.000067 0.000000
65.0 0.001939 0.997534 0.000407 0.000074 0.000000
66.0 0.001869 0.997664 0.000338 0.000082 0.000000
67.0 0.001789 0.997791 0.000280 0.000089 0.000000
68.0 0.001700 0.997912 0.000237 0.000096 0.000000
69.0 0.001605 0.998019 0.000213 0.000103 0.000000
70.0 0.001506 0.998110 0.000210 0.000110 0.000000
71.0 0.001406 0.998181 0.000227 0.000118 0.000000
72.0 0.001310 0.998227 0.000263 0.000126 0.000000
73.0 0.001222 0.998250 0.000314 0.000134 0.000000
74.0 0.001147 0.998247 0.000376 0.000144 0.000000
75.0 0.001088 0.998222 0.000442 0.000155 0.000000
76.0 0.001050 0.998175 0.000507 0.000169 0.000000
77.0 0.001035 0.998111 0.000565 0.000184 0.000000
