# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020775 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
1.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020775 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
2.0 0.934064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020774 0.000000 0.000000 0.017498 0.025108 0.000904 0.000904 0.000179
3.0 0.934058 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020772 0.000000 0.000000 0.017493 0.025120 0.000904 0.000904 0.000179
4.0 0.934045 0.000000 0.000000 0.000000 0.000000 0.000000 0.000572 0.020767 0.000000 0.000000 0.017481 0.025148 0.000904 0.000904 0.000178
5.0 0.934022 0.000000 0.000000 0.000000 0.000000 0.000000 0.000576 0.020759 0.000000 0.000000 0.017457 0.025199 0.000905 0.000905 0.000177
6.0 0.933987 0.000000 0.000000 0.000000 0.000000 0.000000 0.000582 0.020749 0.000000 0.000000 0.017413 0.025280 0.000906 0.000906 0.000176
7.0 0.933943 0.000000 0.000000 0.000000 0.000000 0.000000 0.000593 0.020739 0.000000 0.000000 0.017345 0.025392 0.000907 0.000907 0.000174
8.0 0.933895 0.000000 0.000000 0.000000 0.000000 0.000000 0.000610 0.020732 0.000000 0.000000 0.017243 0.025533 0.000908 0.000908 0.000171
9.0 0.933848 0.000000 0.000000 0.000000 0.000000 0.000000 0.000636 0.020733 0.000000 0.000000 0.017101 0.025697 0.000909 0.000909 0.000167
10.0 0.933813 0.000000 0.000000 0.000000 0.000000 0.000000 0.000672 0.020746 0.000000 0.000000 0.016914 0.025874 0.000909 0.000909 0.000162
11.0 0.933797 0.000000 0.000000 0.000000 0.000000 0.000000 0.000723 0.020773 0.000000 0.000000 0.016675 0.026057 0.000909 0.000909 0.000156
12.0 0.933807 0.000000 0.000000 0.000000 0.000000 0.000000 0.000792 0.020816 0.000000 0.000000 0.016381 0.026237 0.000910 0.000910 0.000148
13.0 0.933844 0.000000 0.000000 0.000000 0.000000 0.000000 0.000883 0.020874 0.000000 0.000000 0.016029 0.026409 0.000911 0.000911 0.000139
14.0 0.933908 0.000000 0.000000 0.000000 0.000000 0.000000 0.001002 0.020945 0.000000 0.000000 0.015618 0.026571 0.000914 0.000914 0.000127
15.0 0.933992 0.000000 0.000000 0.000000 0.000000 0.000000 0.001156 0.021026 0.000000 0.000000 0.015149 0.026721 0.000920 0.000920 0.000115
16.0 0.934087 0.000000 0.000000 0.000000 0.000000 0.000000 0.001351 0.021115 0.000000 0.000000 0.014625 0.026863 0.000929 0.000929 0.000101
17.0 0.934180 0.000000 0.000000 0.000000 0.000000 0.000000 0.001595 0.021208 0.000000 0.000000 0.014049 0.026996 0.000943 0.000943 0.000087
18.0 0.934258 0.000000 0.000000 0.000000 0.000000 0.000000 0.001899 0.021306 0.000000 0.000000 0.013425 0.027120 0.000960 0.000960 0.000073
19.0 0.934308 0.000000 0.000000 0.000000 0.000000 0.000000 0.002271 0.021407 0.000000 0.000000 0.012760 0.027234 0.000981 0.000981 0.000059
20.0 0.934316 0.000000 0.000000 0.000000 0.000000 0.000000 0.002721 0.021515 0.000000 0.000000 0.012059 0.027331 0.001005 0.001005 0.000048
21.0 0.934269 0.000000 0.000000 0.000000 0.000000 0.000000 0.003261 0.021632 0.000000 0.000000 0.011330 0.027406 0.001032 0.001032 0.000038
22.0 0.934157 0.000000 0.000000 0.000000 0.000000 0.000000 0.003900 0.021760 0.000000 0.000000 0.010580 0.027451 0.001061 0.001061 0.000031
23.0 0.933964 0.000000 0.000000 0.000000 0.000000 0.000000 0.004650 0.021902 0.000000 0.000000 0.009813 0.027458 0.001092 0.001092 0.000029
24.0 0.933679 0.000000 0.000000 0.000000 0.000000 0.000000 0.005522 0.022060 0.000000 0.000000 0.009037 0.027423 0.001124 0.001124 0.000031
25.0 0.933287 0.000000 0.000000 0.000000 0.000000 0.000000 0.006529 0.022232 0.000000 0.000000 0.008253 0.027341 0.001159 0.001159 0.000040
26.0 0.932773 0.000000 0.000000 0.000000 0.000000 0.000000 0.007683 0.022417 0.000000 0.000000 0.007467 0.027212 0.001196 0.001196 0.000057
27.0 0.932128 0.000000 0.000000 0.000000 0.000000 0.000000 0.008997 0.022608 0.000000 0.000000 0.006679 0.027035 0.001235 0.001235 0.000082
28.0 0.931342 0.000000 0.000000 0.000000 0.000000 0.000000 0.010484 0.022797 0.000000 0.000000 0.005891 0.026810 0.001279 0.001279 0.000117
29.0 0.930410 0.000000 0.000000 0.000000 0.000000 0.000000 0.012157 0.022976 0.000000 0.000000 0.005107 0.026535 0.001327 0.001327 0.000162
30.0 0.929331 0.000000 0.000000 0.000000 0.000000 0.000000 0.014028 0.023132 0.000000 0.000000 0.004330 0.026205 0.001378 0.001378 0.000217
31.0 0.928104 0.000000 0.000000 0.000000 0.000000 0.000000 0.016111 0.023255 0.000000 0.000000 0.003566 0.025815 0.001433 0.001433 0.000284
32.0 0.926725 0.000000 0.000000 0.000000 0.000000 0.000000 0.018417 0.023335 0.000000 0.000000 0.002828 0.025356 0.001490 0.001490 0.000361
