#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.71655423 -7.59749122 -7.47163691 -7.21483584 -7.15033151
1.0 -7.71665663 -7.59756695 -7.47170554 -7.21486911 -7.15035633
2.0 -7.71696517 -7.59779370 -7.47191256 -7.21497959 -7.15044176
3.0 -7.71747755 -7.59816807 -7.47225560 -7.21516578 -7.15058696
4.0 -7.71818987 -7.59868434 -7.47273063 -7.21542466 -7.15079000
5.0 -7.71909661 -7.59933454 -7.47333206 -7.21575199 -7.15104819
6.0 -7.72019069 -7.60010849 -7.47405270 -7.21614232 -7.15135805
7.0 -7.72146347 -7.60099391 -7.47488388 -7.21658908 -7.15171535
8.0 -7.72290474 -7.60197646 -7.47581544 -7.21708452 -7.15211516
9.0 -7.72450275 -7.60303991 -7.47683582 -7.21761983 -7.15255182
10.0 -7.72624423 -7.60416620 -7.47793213 -7.21818516 -7.15301897
11.0 -7.72811444 -7.60533561 -7.47909021 -7.21876966 -7.15350961
12.0 -7.73009720 -7.60652684 -7.48029468 -7.21936155 -7.15401613
13.0 -7.73217490 -7.60771723 -7.48152906 -7.21994819 -7.15453030
14.0 -7.73432863 -7.60888283 -7.48277586 -7.22051614 -7.15504334
15.0 -7.73653821 -7.60999859 -7.48401661 -7.22105123 -7.15554594
16.0 -7.73878229 -7.61103849 -7.48523200 -7.22153865 -7.15602833
17.0 -7.74103843 -7.61197569 -7.48640197 -7.22196304 -7.15648026
18.0 -7.74328325 -7.61278268 -7.48750576 -7.22230855 -7.15689111
19.0 -7.74549253 -7.61343139 -7.48852206 -7.22255896 -7.15724989
20.0 -7.74764138 -7.61389333 -7.48942905 -7.22269775 -7.15754531
21.0 -7.74970435 -7.61413976 -7.49020452 -7.22270820 -7.15776578
22.0 -7.75165560 -7.61414174 -7.49082596 -7.22257349 -7.15789952
23.0 -7.75346911 -7.61387031 -7.49127067 -7.22227681 -7.15793458
24.0 -7.75511880 -7.61329659 -7.49151580 -7.22180141 -7.15785888
25.0 -7.75657871 -7.61239186 -7.49153848 -7.22113076 -7.15766027
26.0 -7.75782322 -7.61112774 -7.49131589 -7.22024857 -7.15732658
27.0 -7.75882716 -7.60947624 -7.49082537 -7.21913894 -7.15684568
28.0 -7.75956601 -7.60740994 -7.49004446 -7.21778643 -7.15620553
29.0 -7.76001606 -7.60490203 -7.48895101 -7.21617612 -7.15539422
30.0 -7.76015452 -7.60192654 -7.48752325 -7.21429373 -7.15440007
31.0 -7.75995973 -7.59845839 -7.48573986 -7.21212566 -7.15321163
32.0 -7.75941122 -7.59447355 -7.48358002 -7.20965908 -7.15181778
33.0 -7.75848984 -7.58994920 -7.48102351 -7.20688202 -7.15020775
34.0 -7.75717787 -7.58486385 -7.47805072 -7.20378337 -7.14837124
35.0 -7.75545913 -7.57919753 -7.47464275 -7.20035302 -7.14629840
36.0 -7.75331899 -7.57293192 -7.47078141 -7.19658184 -7.14397996
37.0 -7.75074449 -7.56605056 -7.46644926 -7.19246178 -7.14140725
38.0 -7.74772436 -7.55853897 -7.46162964 -7.18798591 -7.13857225
39.0 -7.74424906 -7.55038489 -7.45630667 -7.18314841 -7.13546768
40.0 -7.74031083 -7.54157847 -7.45046524 -7.17794469 -7.13208702
41.0 -7.73590364 -7.53211243 -7.44409097 -7.17237135 -7.12842460
42.0 -7.73102329 -7.52198236 -7.43717016 -7.16642621 -7.12447561
43.0 -7.72566732 -7.51118692 -7.42968969 -7.16010838 -7.12023617
44.0 -7.71983508 -7.49972812 -7.42163689 -7.15341820 -7.11570336
45.0 -7.71352766 -7.48761165 -7.41299936 -7.14635731 -7.11087530
46.0 -7.70674786 -7.47484725 -7.40376470 -7.13892858 -7.10575112
47.0 -7.69950022 -7.46144913 -7.39392021 -7.13113616 -7.10033102
48.0 -7.69179094 -7.44743648 -7.38345242 -7.12298543 -7.09461630
49.0 -7.68362785 -7.43283406 -7.37234667 -7.11448302 -7.08860936
50.0 -7.67502036 -7.41767283 -7.36058644 -7.10563674 -7.08231373
51.0 -7.66597942 -7.40199058 -7.34815284 -7.09645564 -7.07573403
52.0 -7.65651744 -7.38583238 -7.33502414 -7.08694992 -7.06887600
53.0 -7.64664824 -7.36925059 -7.32117585 -7.07713099 -7.06174649
54.0 -7.63638699 -7.35230398 -7.30658158 -7.06701144 -7.05435339
55.0 -7.62575008 -7.33505528 -7.29121553 -7.05660507 -7.04670566
56.0 -7.61475508 -7.31756691 -7.27505677 -7.04592688 -7.03881323
57.0 -7.60342066 -7.29989501 -7.25809516 -7.03499316 -7.03068700
