#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.59749122 -7.59749122 1.0
1.0 0.00008490 -7.59756856 -7.59748366 0.9999999999999987
2.0 0.00033940 -7.59780080 -7.59746140 0.9999999999999983
3.0 0.00076296 -7.59818668 -7.59742373 1.0000000000000002
4.0 0.00135461 -7.59872402 -7.59736941 1.0000000000000007
5.0 0.00211305 -7.59940980 -7.59729676 1.000000000000002
6.0 0.00303660 -7.60024019 -7.59720359 1.0000000000000016
7.0 0.00412323 -7.60121050 -7.59708727 0.9999999999999993
8.0 0.00537058 -7.60231530 -7.59694471 0.9999999999999997
9.0 0.00677596 -7.60354837 -7.59677242 0.9999999999999993
10.0 0.00833635 -7.60490280 -7.59656645 0.9999999999999998
11.0 0.01004849 -7.60637095 -7.59632247 0.999999999999998
12.0 0.01190881 -7.60794460 -7.59603579 0.9999999999999994
13.0 0.01391351 -7.60961488 -7.59570137 0.999999999999998
14.0 0.01605857 -7.61137238 -7.59531381 0.9999999999999988
15.0 0.01833977 -7.61320724 -7.59486747 1.0000000000000016
16.0 0.02075273 -7.61510916 -7.59435643 1.0000000000000013
17.0 0.02329287 -7.61706737 -7.59377450 1.0000000000000009
18.0 0.02595556 -7.61907093 -7.59311537 1.0000000000000013
19.0 0.02873603 -7.62110855 -7.59237252 1.0000000000000013
20.0 0.03162942 -7.62316872 -7.59153930 1.0000000000000016
21.0 0.03463088 -7.62523991 -7.59060904 1.0000000000000027
22.0 0.03773550 -7.62731047 -7.58957497 1.0000000000000016
23.0 0.04093836 -7.62936868 -7.58843032 1.0000000000000013
24.0 0.04423461 -7.63140299 -7.58716838 1.0000000000000007
25.0 0.04761941 -7.63340193 -7.58578252 1.0000000000000002
26.0 0.05108796 -7.63535412 -7.58426616 0.9999999999999998
27.0 0.05463562 -7.63724852 -7.58261290 0.999999999999999
28.0 0.05825780 -7.63907436 -7.58081656 0.9999999999999994
29.0 0.06195000 -7.64082105 -7.57887105 0.9999999999999988
30.0 0.06570792 -7.64247852 -7.57677060 0.999999999999997
