# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000001 0.999999 0.000000 0.000000 0.000000
3.0 0.000004 0.999994 0.000001 0.000000 0.000000
4.0 0.000014 0.999983 0.000003 0.000000 0.000000
5.0 0.000033 0.999958 0.000007 0.000000 0.000000
6.0 0.000066 0.999916 0.000015 0.000000 0.000000
7.0 0.000119 0.999849 0.000027 0.000001 0.000000
8.0 0.000196 0.999750 0.000045 0.000001 0.000000
9.0 0.000300 0.999615 0.000071 0.000001 0.000000
10.0 0.000436 0.999438 0.000106 0.000002 0.000000
11.0 0.000604 0.999215 0.000152 0.000002 0.000000
12.0 0.000805 0.998945 0.000209 0.000002 0.000000
13.0 0.001037 0.998627 0.000281 0.000003 0.000000
14.0 0.001295 0.998265 0.000368 0.000003 0.000000
15.0 0.001574 0.997861 0.000472 0.000003 0.000000
16.0 0.001866 0.997422 0.000594 0.000004 0.000000
17.0 0.002160 0.996956 0.000735 0.000004 0.000000
18.0 0.002448 0.996472 0.000898 0.000004 0.000000
19.0 0.002716 0.995978 0.001084 0.000003 0.000000
20.0 0.002954 0.995485 0.001295 0.000003 0.000000
21.0 0.003151 0.995000 0.001533 0.000002 0.000000
22.0 0.003296 0.994530 0.001801 0.000001 0.000000
23.0 0.003382 0.994080 0.002102 0.000001 0.000000
24.0 0.003403 0.993651 0.002439 0.000000 0.000000
25.0 0.003356 0.993241 0.002816 0.000000 0.000000
26.0 0.003240 0.992843 0.003240 0.000002 0.000000
27.0 0.003060 0.992449 0.003715 0.000005 0.000000
28.0 0.002821 0.992041 0.004251 0.000011 0.000000
29.0 0.002533 0.991600 0.004855 0.000021 0.000000
30.0 0.002208 0.991104 0.005538 0.000035 0.000000
31.0 0.001860 0.990522 0.006314 0.000056 0.000000
32.0 0.001503 0.989822 0.007197 0.000083 0.000000
33.0 0.001155 0.988969 0.008206 0.000120 0.000000
34.0 0.000830 0.987920 0.009361 0.000168 0.000000
35.0 0.000544 0.986632 0.010690 0.000229 0.000000
36.0 0.000310 0.985060 0.012223 0.000306 0.000000
37.0 0.000137 0.983149 0.013998 0.000402 0.000000
38.0 0.000033 0.980841 0.016061 0.000521 0.000000
39.0 0.000003 0.978075 0.018467 0.000666 0.000000
40.0 0.000043 0.974774 0.021283 0.000843 0.000000
41.0 0.000152 0.970852 0.024595 0.001054 0.000000
42.0 0.000319 0.966207 0.028506 0.001307 0.000000
43.0 0.000534 0.960713 0.033147 0.001606 0.000000
44.0 0.000781 0.954205 0.038682 0.001958 0.000000
45.0 0.001044 0.946489 0.045319 0.002368 0.000000
46.0 0.001306 0.937304 0.053321 0.002845 0.000000
47.0 0.001548 0.926317 0.063023 0.003397 0.000000
48.0 0.001756 0.913108 0.074848 0.004033 0.000000
49.0 0.001916 0.897143 0.089327 0.004763 0.000000
50.0 0.002017 0.877753 0.107113 0.005600 0.000000
51.0 0.002054 0.854149 0.128982 0.006557 0.000000
52.0 0.002025 0.825437 0.155799 0.007653 0.000000
53.0 0.001935 0.790714 0.188427 0.008904 0.000000
54.0 0.001794 0.749256 0.227543 0.010334 0.000000
55.0 0.001615 0.700803 0.273350 0.011966 0.000000
56.0 0.001417 0.645892 0.325236 0.013827 0.000000
57.0 0.001222 0.586103 0.381538 0.015950 0.000000
58.0 0.001050 0.523983 0.439619 0.018367 0.000000
59.0 0.000925 0.462563 0.496340 0.000000 0.021116
60.0 0.000867 0.404660 0.548760 0.000000 0.024241
61.0 0.000893 0.352299 0.594734 0.000000 0.027790
62.0 0.001013 0.306488 0.633098 0.000000 0.031822
63.0 0.001234 0.267365 0.663544 0.000000 0.036410
64.0 0.001552 0.234497 0.686326 0.000000 0.041646
65.0 0.001956 0.207161 0.701937 0.000000 0.047656
66.0 0.002428 0.184562 0.710901 0.000000 0.054612
67.0 0.002942 0.165953 0.713653 0.000000 0.062756
68.0 0.003467 0.150681 0.710434 0.000000 0.072427
69.0 0.003967 0.138202 0.701267 0.000000 0.084101
70.0 0.004406 0.128080 0.685930 0.000000 0.098439
71.0 0.004749 0.119960 0.663907 0.000000 0.116338
72.0 0.004966 0.113560 0.634385 0.000000 0.138968
73.0 0.005036 0.108650 0.596301 0.000000 0.167753
74.0 0.004946 0.105036 0.548565 0.000000 0.204154
75.0 0.004697 0.102551 0.490631 0.000000 0.249101
76.0 0.004304 0.101040 0.423536 0.000000 0.301961
77.0 0.003796 0.100358 0.350944 0.000000 0.359495
