#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.59728645 -7.59728645 1.0000000000000002
1.0 0.00007621 -7.59736149 -7.59728529 0.9999999999999997
2.0 0.00030460 -7.59758625 -7.59728165 0.9999999999999994
3.0 0.00068451 -7.59795962 -7.59727511 0.9999999999999999
4.0 0.00121480 -7.59847975 -7.59726495 0.9999999999999989
5.0 0.00189394 -7.59914411 -7.59725017 0.9999999999999992
6.0 0.00271992 -7.59994944 -7.59722952 0.9999999999999997
7.0 0.00369034 -7.60089182 -7.59720148 0.9999999999999989
8.0 0.00480239 -7.60196667 -7.59716428 0.9999999999999984
9.0 0.00605286 -7.60316874 -7.59711587 0.9999999999999981
10.0 0.00743816 -7.60449214 -7.59705397 0.9999999999999986
11.0 0.00895432 -7.60593036 -7.59697604 0.9999999999999984
12.0 0.01059703 -7.60747631 -7.59687928 0.9999999999999984
13.0 0.01236165 -7.60912232 -7.59676066 0.999999999999999
14.0 0.01424324 -7.61086022 -7.59661697 0.9999999999999976
15.0 0.01623658 -7.61268138 -7.59644480 0.9999999999999972
16.0 0.01833619 -7.61457678 -7.59624059 0.9999999999999967
17.0 0.02053639 -7.61653705 -7.59600066 0.9999999999999966
18.0 0.02283130 -7.61855254 -7.59572124 0.9999999999999967
19.0 0.02521488 -7.62061338 -7.59539850 0.9999999999999964
20.0 0.02768096 -7.62270952 -7.59502856 0.999999999999997
21.0 0.03022328 -7.62483081 -7.59460753 0.9999999999999969
22.0 0.03283550 -7.62696705 -7.59413155 0.9999999999999971
23.0 0.03551126 -7.62910808 -7.59359682 0.9999999999999971
24.0 0.03824417 -7.63124382 -7.59299965 0.9999999999999967
25.0 0.04102790 -7.63336438 -7.59233648 0.9999999999999968
26.0 0.04385614 -7.63546015 -7.59160401 0.9999999999999969
27.0 0.04672270 -7.63752186 -7.59079916 0.9999999999999963
28.0 0.04962150 -7.63954069 -7.58991919 0.9999999999999947
29.0 0.05254659 -7.64150830 -7.58896171 0.9999999999999952
30.0 0.05549222 -7.64341692 -7.58792470 0.9999999999999952
31.0 0.05845279 -7.64525937 -7.58680657 0.9999999999999962
32.0 0.06142295 -7.64702908 -7.58560614 0.9999999999999961
33.0 0.06439752 -7.64872014 -7.58432262 0.9999999999999951
34.0 0.06737159 -7.65032724 -7.58295565 0.999999999999995
35.0 0.07034045 -7.65184568 -7.58150523 0.9999999999999951
36.0 0.07329961 -7.65327134 -7.57997173 0.999999999999995
37.0 0.07624483 -7.65460065 -7.57835582 0.9999999999999944
38.0 0.07917208 -7.65583054 -7.57665846 0.9999999999999942
39.0 0.08207754 -7.65695837 -7.57488083 0.9999999999999938
40.0 0.08495763 -7.65798192 -7.57302429 0.9999999999999934
41.0 0.08780895 -7.65889929 -7.57109033 0.9999999999999932
42.0 0.09062835 -7.65970887 -7.56908052 0.9999999999999938
43.0 0.09341284 -7.66040928 -7.56699644 0.9999999999999931
44.0 0.09615966 -7.66099934 -7.56483968 0.9999999999999922
45.0 0.09886624 -7.66147803 -7.56261179 0.9999999999999922
46.0 0.10153018 -7.66184452 -7.56031433 0.9999999999999913
47.0 0.10414932 -7.66209813 -7.55794882 0.9999999999999918
48.0 0.10672165 -7.66223843 -7.55551678 0.999999999999992
49.0 0.10924539 -7.66226520 -7.55301980 0.9999999999999915
50.0 0.11171899 -7.66217852 -7.55045954 0.9999999999999915
51.0 0.11414107 -7.66197882 -7.54783775 0.9999999999999906
52.0 0.11651050 -7.66166687 -7.54515637 0.999999999999991
53.0 0.11882637 -7.66124386 -7.54241748 0.9999999999999907
54.0 0.12108796 -7.66071138 -7.53962341 0.9999999999999907
55.0 0.12329475 -7.66007146 -7.53677671 0.9999999999999903
56.0 0.12544639 -7.65932655 -7.53388016 0.9999999999999908
57.0 0.12754270 -7.65847952 -7.53093682 0.999999999999991
58.0 0.12958364 -7.65753360 -7.52794997 0.9999999999999916
59.0 0.13156926 -7.65649237 -7.52492311 0.999999999999992
60.0 0.13349973 -7.65535967 -7.52185994 0.9999999999999921
61.0 0.13537529 -7.65413958 -7.51876429 0.9999999999999918
62.0 0.13719622 -7.65283631 -7.51564009 0.999999999999992
63.0 0.13896284 -7.65145416 -7.51249132 0.9999999999999925
64.0 0.14067550 -7.64999750 -7.50932200 0.9999999999999929
65.0 0.14233454 -7.64847069 -7.50613615 0.9999999999999941
66.0 0.14394033 -7.64687812 -7.50293780 0.9999999999999938
67.0 0.14549324 -7.64522424 -7.49973100 0.999999999999994
68.0 0.14699371 -7.64351357 -7.49651986 0.9999999999999937
69.0 0.14844224 -7.64175077 -7.49330854 0.9999999999999931
70.0 0.14983938 -7.63994069 -7.49010131 0.9999999999999944
71.0 0.15118583 -7.63808839 -7.48690255 0.9999999999999942
72.0 0.15248241 -7.63619916 -7.48371675 0.9999999999999943
73.0 0.15373005 -7.63427854 -7.48054849 0.9999999999999952
