# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020775 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
1.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020774 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
2.0 0.934064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020774 0.000000 0.000000 0.017498 0.025108 0.000904 0.000904 0.000179
3.0 0.934057 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020771 0.000000 0.000000 0.017494 0.025121 0.000904 0.000904 0.000179
4.0 0.934041 0.000000 0.000000 0.000000 0.000000 0.000000 0.000572 0.020763 0.000000 0.000000 0.017484 0.025153 0.000904 0.000904 0.000179
5.0 0.934010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000575 0.020751 0.000000 0.000000 0.017464 0.025212 0.000905 0.000905 0.000178
6.0 0.933963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000580 0.020733 0.000000 0.000000 0.017428 0.025307 0.000906 0.000906 0.000176
7.0 0.933900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000588 0.020712 0.000000 0.000000 0.017371 0.025439 0.000907 0.000907 0.000174
8.0 0.933825 0.000000 0.000000 0.000000 0.000000 0.000000 0.000602 0.020692 0.000000 0.000000 0.017285 0.025608 0.000908 0.000908 0.000172
9.0 0.933744 0.000000 0.000000 0.000000 0.000000 0.000000 0.000622 0.020675 0.000000 0.000000 0.017165 0.025809 0.000909 0.000909 0.000169
10.0 0.933666 0.000000 0.000000 0.000000 0.000000 0.000000 0.000649 0.020667 0.000000 0.000000 0.017004 0.026033 0.000908 0.000908 0.000165
11.0 0.933599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000687 0.020670 0.000000 0.000000 0.016798 0.026272 0.000907 0.000907 0.000160
12.0 0.933552 0.000000 0.000000 0.000000 0.000000 0.000000 0.000737 0.020685 0.000000 0.000000 0.016542 0.026520 0.000906 0.000906 0.000153
13.0 0.933528 0.000000 0.000000 0.000000 0.000000 0.000000 0.000802 0.020711 0.000000 0.000000 0.016232 0.026772 0.000905 0.000905 0.000145
14.0 0.933527 0.000000 0.000000 0.000000 0.000000 0.000000 0.000885 0.020746 0.000000 0.000000 0.015868 0.027028 0.000905 0.000905 0.000135
15.0 0.933545 0.000000 0.000000 0.000000 0.000000 0.000000 0.000989 0.020785 0.000000 0.000000 0.015449 0.027292 0.000908 0.000908 0.000124
16.0 0.933575 0.000000 0.000000 0.000000 0.000000 0.000000 0.001119 0.020825 0.000000 0.000000 0.014977 0.027567 0.000913 0.000913 0.000111
17.0 0.933607 0.000000 0.000000 0.000000 0.000000 0.000000 0.001278 0.020862 0.000000 0.000000 0.014454 0.027858 0.000921 0.000921 0.000098
18.0 0.933631 0.000000 0.000000 0.000000 0.000000 0.000000 0.001470 0.020895 0.000000 0.000000 0.013885 0.028168 0.000933 0.000933 0.000084
19.0 0.933636 0.000000 0.000000 0.000000 0.000000 0.000000 0.001701 0.020923 0.000000 0.000000 0.013276 0.028497 0.000948 0.000948 0.000071
20.0 0.933614 0.000000 0.000000 0.000000 0.000000 0.000000 0.001973 0.020948 0.000000 0.000000 0.012635 0.028842 0.000965 0.000965 0.000058
21.0 0.933556 0.000000 0.000000 0.000000 0.000000 0.000000 0.002289 0.020973 0.000000 0.000000 0.011971 0.029199 0.000983 0.000983 0.000045
22.0 0.933452 0.000000 0.000000 0.000000 0.000000 0.000000 0.002653 0.021001 0.000000 0.000000 0.011293 0.029562 0.001003 0.001003 0.000034
23.0 0.933293 0.000000 0.000000 0.000000 0.000000 0.000000 0.003067 0.021034 0.000000 0.000000 0.010611 0.029927 0.001022 0.001022 0.000024
24.0 0.933067 0.000000 0.000000 0.000000 0.000000 0.000000 0.003531 0.021076 0.000000 0.000000 0.009937 0.030289 0.001042 0.001042 0.000015
25.0 0.932762 0.000000 0.000000 0.000000 0.000000 0.000000 0.004047 0.021127 0.000000 0.000000 0.009281 0.030649 0.001063 0.001063 0.000009
26.0 0.932368 0.000000 0.000000 0.000000 0.000000 0.000000 0.004614 0.021186 0.000000 0.000000 0.008651 0.031008 0.001084 0.001084 0.000005
27.0 0.931876 0.000000 0.000000 0.000000 0.000000 0.000000 0.005232 0.021248 0.000000 0.000000 0.008056 0.031368 0.001107 0.001107 0.000005
28.0 0.931284 0.000000 0.000000 0.000000 0.000000 0.000000 0.005899 0.021307 0.000000 0.000000 0.007503 0.031733 0.001133 0.001133 0.000009
29.0 0.930598 0.000000 0.000000 0.000000 0.000000 0.000000 0.006611 0.021354 0.000000 0.000000 0.006997 0.032102 0.001162 0.001162 0.000016
30.0 0.929831 0.000000 0.000000 0.000000 0.000000 0.000000 0.007363 0.021379 0.000000 0.000000 0.006541 0.032474 0.001193 0.001193 0.000027
31.0 0.929005 0.000000 0.000000 0.000000 0.000000 0.000000 0.008147 0.021374 0.000000 0.000000 0.006139 0.032843 0.001226 0.001226 0.000041
32.0 0.928146 0.000000 0.000000 0.000000 0.000000 0.000000 0.008954 0.021331 0.000000 0.000000 0.005791 0.033200 0.001261 0.001261 0.000057
33.0 0.927286 0.000000 0.000000 0.000000 0.000000 0.000000 0.009771 0.021245 0.000000 0.000000 0.005496 0.033536 0.001296 0.001296 0.000075
34.0 0.926451 0.000000 0.000000 0.000000 0.000000 0.000000 0.010586 0.021113 0.000000 0.000000 0.005253 0.033842 0.001331 0.001331 0.000094
35.0 0.925667 0.000000 0.000000 0.000000 0.000000 0.000000 0.011382 0.020935 0.000000 0.000000 0.005059 0.034115 0.001365 0.001365 0.000113
36.0 0.924955 0.000000 0.000000 0.000000 0.000000 0.000000 0.012142 0.020714 0.000000 0.000000 0.004910 0.034352 0.001397 0.001397 0.000132
37.0 0.924334 0.000000 0.000000 0.000000 0.000000 0.000000 0.012848 0.020450 0.000000 0.000000 0.004803 0.034558 0.001429 0.001429 0.000149
38.0 0.923818 0.000000 0.000000 0.000000 0.000000 0.000000 0.013482 0.020146 0.000000 0.000000 0.004732 0.034739 0.001460 0.001460 0.000163
39.0 0.923426 0.000000 0.000000 0.000000 0.000000 0.000000 0.014024 0.019798 0.000000 0.000000 0.004693 0.034904 0.001490 0.001490 0.000173
40.0 0.923177 0.000000 0.000000 0.000000 0.000000 0.000000 0.014457 0.019405 0.000000 0.000000 0.004682 0.035060 0.001520 0.001520 0.000178
41.0 0.923095 0.000000 0.000000 0.000000 0.000000 0.000000 0.014762 0.018961 0.000000 0.000000 0.004696 0.035210 0.001550 0.001550 0.000178
42.0 0.923207 0.000000 0.000000 0.000000 0.000000 0.000000 0.014924 0.018461 0.000000 0.000000 0.004733 0.035350 0.001577 0.001577 0.000172
43.0 0.923540 0.000000 0.000000 0.000000 0.000000 0.000000 0.014931 0.017901 0.000000 0.000000 0.004790 0.035475 0.001601 0.001601 0.000161
44.0 0.924119 0.000000 0.000000 0.000000 0.000000 0.000000 0.014773 0.017279 0.000000 0.000000 0.004866 0.035574 0.001622 0.001622 0.000146
45.0 0.924960 0.000000 0.000000 0.000000 0.000000 0.000000 0.014446 0.016597 0.000000 0.000000 0.004961 0.035635 0.001637 0.001637 0.000127
46.0 0.926069 0.000000 0.000000 0.000000 0.000000 0.000000 0.013951 0.015857 0.000000 0.000000 0.005072 0.035649 0.001648 0.001648 0.000106
47.0 0.927442 0.000000 0.000000 0.000000 0.000000 0.000000 0.013293 0.015064 0.000000 0.000000 0.005197 0.035611 0.001655 0.001655 0.000084
48.0 0.929058 0.000000 0.000000 0.000000 0.000000 0.000000 0.012484 0.014225 0.000000 0.000000 0.005332 0.035519 0.001659 0.001659 0.000063
49.0 0.930889 0.000000 0.000000 0.000000 0.000000 0.000000 0.011543 0.013348 0.000000 0.000000 0.005471 0.035379 0.001663 0.001663 0.000045
50.0 0.932898 0.000000 0.000000 0.000000 0.000000 0.000000 0.010492 0.012441 0.000000 0.000000 0.005609 0.035196 0.001667 0.001667 0.000031
51.0 0.935045 0.000000 0.000000 0.000000 0.000000 0.000000 0.009360 0.011512 0.000000 0.000000 0.005738 0.034977 0.001672 0.001672 0.000025
52.0 0.937286 0.000000 0.000000 0.000000 0.000000 0.000000 0.008181 0.010570 0.000000 0.000000 0.005852 0.034728 0.001678 0.001678 0.000027
53.0 0.939583 0.000000 0.000000 0.000000 0.000000 0.000000 0.006989 0.009627 0.000000 0.000000 0.005943 0.034449 0.001685 0.001685 0.000039
54.0 0.941897 0.000000 0.000000 0.000000 0.000000 0.000000 0.005821 0.008692 0.000000 0.000000 0.006005 0.034140 0.001691 0.001691 0.000062
55.0 0.944196 0.000000 0.000000 0.000000 0.000000 0.000000 0.004714 0.007775 0.000000 0.000000 0.006032 0.033798 0.001696 0.001696 0.000095
56.0 0.946447 0.000000 0.000000 0.000000 0.000000 0.000000 0.003699 0.006886 0.000000 0.000000 0.006018 0.033417 0.001697 0.001697 0.000138
57.0 0.948621 0.000000 0.000000 0.000000 0.000000 0.000000 0.002807 0.006034 0.000000 0.000000 0.005961 0.032994 0.001696 0.001696 0.000190
58.0 0.950690 0.000000 0.000000 0.000000 0.000000 0.000000 0.002059 0.005224 0.000000 0.000000 0.005860 0.032530 0.001693 0.001693 0.000250
59.0 0.952628 0.000000 0.000000 0.000000 0.000000 0.000000 0.001470 0.004464 0.000000 0.000000 0.005720 0.032024 0.001689 0.001689 0.000317
60.0 0.954413 0.000000 0.000000 0.000000 0.000000 0.000000 0.001046 0.003757 0.000000 0.000000 0.005544 0.031480 0.001686 0.001686 0.000387
61.0 0.956029 0.000000 0.000000 0.000000 0.000000 0.000000 0.000784 0.003109 0.000000 0.000000 0.005342 0.030902 0.001687 0.001687 0.000459
62.0 0.957469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000675 0.002521 0.000000 0.000000 0.005124 0.030294 0.001694 0.001694 0.000530
63.0 0.958731 0.000000 0.000000 0.000000 0.000000 0.000000 0.000702 0.001997 0.000000 0.000000 0.004900 0.029658 0.001707 0.001707 0.000598
64.0 0.959828 0.000000 0.000000 0.000000 0.000000 0.000000 0.000841 0.001538 0.000000 0.000000 0.004681 0.028993 0.001728 0.001728 0.000664
65.0 0.960777 0.000000 0.000000 0.000000 0.000000 0.000000 0.001067 0.001146 0.000000 0.000000 0.004474 0.028297 0.001757 0.001757 0.000725
66.0 0.961603 0.000000 0.000000 0.000000 0.000000 0.000000 0.001352 0.000823 0.000000 0.000000 0.004286 0.027569 0.001793 0.001793 0.000781
67.0 0.962333 0.000000 0.000000 0.000000 0.000000 0.000000 0.001672 0.000569 0.000000 0.000000 0.004116 0.026806 0.001836 0.001836 0.000832
68.0 0.962993 0.000000 0.000000 0.000000 0.000000 0.000000 0.002004 0.000385 0.000000 0.000000 0.003964 0.026009 0.001884 0.001884 0.000878
69.0 0.963603 0.000000 0.000000 0.000000 0.000000 0.000000 0.002331 0.000272 0.000000 0.000000 0.003823 0.025179 0.001936 0.001936 0.000919
70.0 0.964177 0.000000 0.000000 0.000000 0.000000 0.000000 0.002644 0.000232 0.000000 0.000000 0.003684 0.024320 0.001993 0.001993 0.000955
71.0 0.964720 0.000000 0.000000 0.000000 0.000000 0.000000 0.002941 0.000268 0.000000 0.000000 0.003538 0.023438 0.002055 0.002055 0.000987
