#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.71655421 -7.59749123 -7.47163691 -7.21483590 -7.15033154
1.0 -7.71665065 -7.59756577 -7.47170238 -7.21487494 -7.15036241
2.0 -7.71693966 -7.59778906 -7.47189845 -7.21499200 -7.15045504
3.0 -7.71742028 -7.59816007 -7.47222406 -7.21518690 -7.15060944
4.0 -7.71809094 -7.59867710 -7.47267747 -7.21545933 -7.15082561
5.0 -7.71894942 -7.59933779 -7.47325625 -7.21580889 -7.15110358
6.0 -7.71999286 -7.60013914 -7.47395733 -7.21623503 -7.15144339
7.0 -7.72121782 -7.60107756 -7.47477701 -7.21673714 -7.15184508
8.0 -7.72262021 -7.60214884 -7.47571098 -7.21731450 -7.15230875
9.0 -7.72419536 -7.60334827 -7.47675439 -7.21796630 -7.15283448
10.0 -7.72593798 -7.60467061 -7.47790186 -7.21869168 -7.15342243
11.0 -7.72784221 -7.60611018 -7.47914753 -7.21948968 -7.15407276
12.0 -7.72990165 -7.60766087 -7.48048511 -7.22035933 -7.15478571
13.0 -7.73210933 -7.60931622 -7.48190793 -7.22129961 -7.15556156
14.0 -7.73445777 -7.61106945 -7.48340896 -7.22230945 -7.15640063
15.0 -7.73693902 -7.61291354 -7.48498090 -7.22338779 -7.15730333
16.0 -7.73954466 -7.61484124 -7.48661619 -7.22453357 -7.15827014
17.0 -7.74226585 -7.61684514 -7.48830707 -7.22574571 -7.15930158
18.0 -7.74509340 -7.61891772 -7.49004560 -7.22702315 -7.16039829
19.0 -7.74801777 -7.62105142 -7.49182376 -7.22836485 -7.16156096
20.0 -7.75102916 -7.62323864 -7.49363343 -7.22976982 -7.16279034
21.0 -7.75411753 -7.62547181 -7.49546643 -7.23123705 -7.16408730
22.0 -7.75727269 -7.62774342 -7.49731460 -7.23276560 -7.16545274
23.0 -7.76048434 -7.63004606 -7.49916977 -7.23435454 -7.16688764
24.0 -7.76374215 -7.63237244 -7.50102383 -7.23600299 -7.16839305
25.0 -7.76703578 -7.63471546 -7.50286875 -7.23771007 -7.16997007
26.0 -7.77035500 -7.63706816 -7.50469656 -7.23947494 -7.17161982
27.0 -7.77368971 -7.63942381 -7.50649941 -7.24129677 -7.17334348
28.0 -7.77703003 -7.64177590 -7.50826959 -7.24317472 -7.17514222
29.0 -7.78036633 -7.64411815 -7.50999949 -7.24510795 -7.17701725
30.0 -7.78368933 -7.64644454 -7.51168167 -7.24709562 -7.17896974
31.0 -7.78699010 -7.64874932 -7.51330883 -7.24913684 -7.18100083
32.0 -7.79026018 -7.65102701 -7.51487383 -7.25123068 -7.18311162
