# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000001 0.999999 0.000000 0.000000 0.000000
3.0 0.000003 0.999996 0.000001 0.000000 0.000000
4.0 0.000010 0.999988 0.000002 0.000000 0.000000
5.0 0.000023 0.999971 0.000005 0.000000 0.000000
6.0 0.000047 0.999941 0.000009 0.000000 0.000000
7.0 0.000084 0.999893 0.000017 0.000001 0.000000
8.0 0.000141 0.999822 0.000029 0.000001 0.000000
9.0 0.000219 0.999723 0.000045 0.000001 0.000000
10.0 0.000323 0.999591 0.000066 0.000002 0.000000
11.0 0.000457 0.999421 0.000094 0.000003 0.000000
12.0 0.000622 0.999210 0.000128 0.000003 0.000000
13.0 0.000821 0.998955 0.000170 0.000004 0.000000
14.0 0.001055 0.998654 0.000219 0.000005 0.000000
15.0 0.001322 0.998307 0.000275 0.000006 0.000000
16.0 0.001623 0.997916 0.000340 0.000006 0.000000
17.0 0.001954 0.997482 0.000411 0.000007 0.000000
18.0 0.002312 0.997010 0.000489 0.000008 0.000000
19.0 0.002692 0.996505 0.000573 0.000009 0.000000
20.0 0.003087 0.995972 0.000661 0.000010 0.000000
21.0 0.003493 0.995420 0.000753 0.000011 0.000000
22.0 0.003901 0.994857 0.000847 0.000011 0.000000
23.0 0.004304 0.994289 0.000941 0.000011 0.000000
24.0 0.004696 0.993728 0.001034 0.000010 0.000000
25.0 0.005067 0.993180 0.001124 0.000010 0.000000
26.0 0.005412 0.992653 0.001210 0.000008 0.000000
27.0 0.005724 0.992158 0.001290 0.000007 0.000000
28.0 0.005996 0.991699 0.001361 0.000005 0.000000
29.0 0.006225 0.991282 0.001423 0.000003 0.000000
30.0 0.006406 0.990914 0.001474 0.000002 0.000000
31.0 0.006536 0.990597 0.001513 0.000000 0.000000
32.0 0.006615 0.990332 0.001539 0.000000 0.000000
33.0 0.006640 0.990121 0.001551 0.000001 0.000000
34.0 0.006614 0.989963 0.001549 0.000003 0.000000
35.0 0.006539 0.989854 0.001532 0.000007 0.000000
36.0 0.006416 0.989792 0.001501 0.000014 0.000000
37.0 0.006250 0.989771 0.001457 0.000024 0.000000
38.0 0.006044 0.989784 0.001400 0.000038 0.000000
39.0 0.005805 0.989825 0.001331 0.000057 0.000000
40.0 0.005537 0.989886 0.001253 0.000083 0.000000
41.0 0.005246 0.989957 0.001167 0.000116 0.000000
42.0 0.004936 0.990029 0.001077 0.000159 0.000000
43.0 0.004614 0.990093 0.000985 0.000213 0.000000
44.0 0.004285 0.990139 0.000893 0.000279 0.000000
45.0 0.003953 0.990157 0.000807 0.000359 0.000000
46.0 0.003622 0.990138 0.000729 0.000456 0.000000
47.0 0.003295 0.990072 0.000664 0.000569 0.000000
48.0 0.002977 0.989950 0.000615 0.000703 0.000000
49.0 0.002669 0.989765 0.000587 0.000858 0.000000
50.0 0.002372 0.989505 0.000583 0.001037 0.000000
51.0 0.002089 0.989166 0.000607 0.001242 0.000000
52.0 0.001820 0.988739 0.000662 0.001478 0.000000
53.0 0.001566 0.988216 0.000752 0.001745 0.000000
54.0 0.001328 0.987590 0.000878 0.002050 0.000000
55.0 0.001105 0.986858 0.001041 0.002394 0.000000
56.0 0.000899 0.986010 0.001241 0.002781 0.000000
57.0 0.000710 0.985042 0.001479 0.003215 0.000000
58.0 0.000539 0.983952 0.001751 0.003700 0.000000
59.0 0.000388 0.982735 0.002055 0.004236 0.000000
60.0 0.000258 0.981384 0.002385 0.004828 0.000000
61.0 0.000153 0.979903 0.002737 0.005477 0.000000
62.0 0.000074 0.978287 0.003102 0.006183 0.000000
63.0 0.000026 0.976531 0.003474 0.006948 0.000000
64.0 0.000011 0.974640 0.003841 0.007772 0.000000
65.0 0.000034 0.972609 0.004195 0.008655 0.000000
66.0 0.000099 0.970435 0.004523 0.009596 0.000000
67.0 0.000209 0.968122 0.004816 0.010593 0.000000
68.0 0.000369 0.965667 0.005061 0.011643 0.000000
69.0 0.000581 0.963068 0.005247 0.012742 0.000000
70.0 0.000850 0.960327 0.005364 0.013881 0.000000
71.0 0.001177 0.957444 0.005402 0.015050 0.000000
72.0 0.001564 0.954419 0.005354 0.016236 0.000000
73.0 0.002012 0.951257 0.005216 0.017419 0.000000
74.0 0.002521 0.947960 0.004984 0.018578 0.000000
75.0 0.003089 0.944534 0.004662 0.019688 0.000000
76.0 0.003715 0.940982 0.004256 0.020722 0.000000
77.0 0.004395 0.937315 0.003777 0.021651 0.000000
