#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.71599389 -7.59728645 -7.47116161 -7.21361243 -7.14945197
1.0 -7.71608979 -7.59736395 -7.47122702 -7.21365844 -7.14948871
2.0 -7.71637708 -7.59759601 -7.47142280 -7.21379624 -7.14959874
3.0 -7.71685452 -7.59798132 -7.47174763 -7.21402523 -7.14978157
4.0 -7.71752004 -7.59851769 -7.47219934 -7.21434438 -7.15003638
5.0 -7.71837078 -7.59920210 -7.47277489 -7.21475227 -7.15036204
6.0 -7.71940305 -7.60003069 -7.47347043 -7.21524709 -7.15075709
7.0 -7.72061240 -7.60099882 -7.47428133 -7.21582669 -7.15121979
8.0 -7.72199360 -7.60210109 -7.47520220 -7.21648852 -7.15174814
9.0 -7.72354068 -7.60333138 -7.47622696 -7.21722975 -7.15233986
10.0 -7.72524695 -7.60468293 -7.47734885 -7.21804722 -7.15299243
11.0 -7.72710504 -7.60614833 -7.47856055 -7.21893749 -7.15370315
12.0 -7.72910691 -7.60771966 -7.47985416 -7.21989687 -7.15446910
13.0 -7.73124391 -7.60938849 -7.48122133 -7.22092147 -7.15528721
14.0 -7.73350681 -7.61114594 -7.48265326 -7.22200718 -7.15615428
15.0 -7.73588586 -7.61298281 -7.48414082 -7.22314975 -7.15706699
16.0 -7.73837080 -7.61488956 -7.48567457 -7.22434479 -7.15802197
17.0 -7.74095094 -7.61685645 -7.48724483 -7.22558783 -7.15901577
18.0 -7.74361524 -7.61887357 -7.48884177 -7.22687431 -7.16004494
19.0 -7.74635229 -7.62093092 -7.49045543 -7.22819967 -7.16110603
20.0 -7.74915043 -7.62301846 -7.49207582 -7.22955932 -7.16219562
21.0 -7.75199781 -7.62512619 -7.49369292 -7.23094872 -7.16331035
22.0 -7.75488241 -7.62724420 -7.49529679 -7.23236336 -7.16444697
23.0 -7.75779216 -7.62936273 -7.49687758 -7.23379884 -7.16560230
24.0 -7.76071496 -7.63147221 -7.49842560 -7.23525083 -7.16677332
25.0 -7.76363875 -7.63356332 -7.49993132 -7.23671516 -7.16795713
26.0 -7.76655160 -7.63562704 -7.50138548 -7.23818778 -7.16915102
27.0 -7.76944176 -7.63765467 -7.50277905 -7.23966483 -7.17035246
28.0 -7.77229771 -7.63963787 -7.50410328 -7.24114260 -7.17155911
29.0 -7.77510822 -7.64156873 -7.50534978 -7.24261761 -7.17276882
30.0 -7.77786244 -7.64343971 -7.50651044 -7.24408655 -7.17397968
31.0 -7.78054990 -7.64524376 -7.50757756 -7.24554634 -7.17519000
32.0 -7.78316061 -7.64697426 -7.50854379 -7.24699413 -7.17639829
33.0 -7.78568506 -7.64862509 -7.50940213 -7.24842727 -7.17760333
34.0 -7.78811431 -7.65019060 -7.51014603 -7.24984335 -7.17880408
35.0 -7.79043999 -7.65166563 -7.51076929 -7.25124018 -7.17999977
36.0 -7.79265432 -7.65304552 -7.51126611 -7.25261580 -7.18118982
37.0 -7.79475019 -7.65432610 -7.51163111 -7.25396845 -7.18237389
38.0 -7.79672113 -7.65550372 -7.51185926 -7.25529661 -7.18355184
39.0 -7.79856136 -7.65657517 -7.51194597 -7.25659893 -7.18472373
40.0 -7.80026578 -7.65753777 -7.51188698 -7.25787428 -7.18588981
41.0 -7.80183000 -7.65838929 -7.51167842 -7.25912171 -7.18705051
42.0 -7.80325032 -7.65912797 -7.51131679 -7.26034044 -7.18820643
43.0 -7.80452374 -7.65975250 -7.51079893 -7.26152987 -7.18935833
44.0 -7.80564797 -7.66026203 -7.51012201 -7.26268952 -7.19050708
45.0 -7.80662139 -7.66065611 -7.50928355 -7.26381908 -7.19165372
46.0 -7.80744306 -7.66093474 -7.50828136 -7.26491833 -7.19279935
47.0 -7.80811270 -7.66109828 -7.50711356 -7.26598718 -7.19394520
48.0 -7.80863065 -7.66114751 -7.50577856 -7.26702564 -7.19509256
49.0 -7.80899790 -7.66108356 -7.50427505 -7.26803377 -7.19624279
50.0 -7.80921599 -7.66090791 -7.50260199 -7.26901173 -7.19739727
51.0 -7.80928703 -7.66062240 -7.50075859 -7.26995971 -7.19855745
52.0 -7.80921368 -7.66022916 -7.49874431 -7.27087795 -7.19972476
53.0 -7.80899906 -7.65973064 -7.49655887 -7.27176673 -7.20090064
54.0 -7.80864678 -7.65912957 -7.49420222 -7.27262631 -7.20208651
55.0 -7.80816085 -7.65842894 -7.49167454 -7.27345699 -7.20328378
56.0 -7.80754569 -7.65763200 -7.48897627 -7.27425904 -7.20449379
57.0 -7.80680604 -7.65674223 -7.48610808 -7.27503274 -7.20571784
58.0 -7.80594697 -7.65576332 -7.48307090 -7.27577833 -7.20695716
59.0 -7.80497380 -7.65469915 -7.47986591 -7.27649603 -7.20821292
60.0 -7.80389210 -7.65355379 -7.47649457 -7.27718603 -7.20948618
61.0 -7.80270761 -7.65233147 -7.47295863 -7.27784849 -7.21077793
62.0 -7.80142622 -7.65103656 -7.46926015 -7.27848350 -7.21208904
63.0 -7.80005396 -7.64967354 -7.46540150 -7.27909116 -7.21342028
64.0 -7.79859690 -7.64824700 -7.46138544 -7.27967150 -7.21477231
65.0 -7.79706117 -7.64676164 -7.45721508 -7.28022452 -7.21614568
66.0 -7.79545292 -7.64522219 -7.45289395 -7.28075019 -7.21754081
67.0 -7.79377823 -7.64363345 -7.44842605 -7.28124845 -7.21895799
