#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.59728645 -7.59728645 1.0
1.0 0.00008510 -7.59736395 -7.59727885 0.9999999999999989
2.0 0.00034019 -7.59759606 -7.59725587 0.9999999999999983
3.0 0.00076457 -7.59798158 -7.59721701 0.9999999999999979
4.0 0.00135711 -7.59851853 -7.59716142 0.9999999999999979
5.0 0.00211622 -7.59920414 -7.59708792 0.9999999999999982
6.0 0.00303988 -7.60003491 -7.59699503 0.9999999999999971
7.0 0.00412564 -7.60100661 -7.59688097 0.9999999999999964
8.0 0.00537063 -7.60211428 -7.59674365 0.9999999999999961
9.0 0.00677159 -7.60335228 -7.59658069 0.9999999999999964
10.0 0.00832488 -7.60471426 -7.59638938 0.9999999999999972
11.0 0.01002649 -7.60619324 -7.59616675 0.9999999999999976
12.0 0.01187207 -7.60778160 -7.59590953 0.9999999999999972
13.0 0.01385698 -7.60947115 -7.59561418 0.9999999999999972
14.0 0.01597624 -7.61125317 -7.59527692 0.9999999999999967
15.0 0.01822466 -7.61311844 -7.59489378 0.9999999999999962
16.0 0.02059678 -7.61505736 -7.59446058 0.9999999999999961
17.0 0.02308695 -7.61705998 -7.59397303 0.9999999999999964
18.0 0.02568932 -7.61911605 -7.59342674 0.9999999999999966
19.0 0.02839791 -7.62121512 -7.59281721 0.9999999999999971
20.0 0.03120662 -7.62334655 -7.59213993 0.9999999999999977
21.0 0.03410924 -7.62549962 -7.59139039 0.9999999999999984
22.0 0.03709951 -7.62766358 -7.59056407 0.9999999999999991
23.0 0.04017113 -7.62982769 -7.58965656 0.9999999999999987
24.0 0.04331779 -7.63198138 -7.58866359 0.9999999999999993
25.0 0.04653320 -7.63411425 -7.58758104 0.9999999999999987
26.0 0.04981112 -7.63621622 -7.58640510 0.9999999999999994
27.0 0.05314537 -7.63827760 -7.58513223 0.9999999999999993
28.0 0.05652987 -7.64028916 -7.58375929 1.0
29.0 0.05995867 -7.64224225 -7.58228358 0.9999999999999999
30.0 0.06342596 -7.64412881 -7.58070284 0.9999999999999999
31.0 0.06692610 -7.64594143 -7.57901533 0.9999999999999992
32.0 0.07045359 -7.64767341 -7.57721981 0.9999999999999991
33.0 0.07400316 -7.64931875 -7.57531558 0.9999999999999993
34.0 0.07756969 -7.65087214 -7.57330245 0.9999999999999988
35.0 0.08114825 -7.65232899 -7.57118073 0.9999999999999983
36.0 0.08473410 -7.65368536 -7.56895126 0.9999999999999991
37.0 0.08832267 -7.65493796 -7.56661529 1.0000000000000002
38.0 0.09190957 -7.65608412 -7.56417455 0.9999999999999998
39.0 0.09549060 -7.65712170 -7.56163110 1.0000000000000007
40.0 0.09906174 -7.65804908 -7.55898734 1.0000000000000016
41.0 0.10261914 -7.65886506 -7.55624592 1.0000000000000016
42.0 0.10615918 -7.65956885 -7.55340967 1.0000000000000027
43.0 0.10967840 -7.66015994 -7.55048154 1.0000000000000036
44.0 0.11317356 -7.66063808 -7.54746453 1.0000000000000036
45.0 0.11664161 -7.66100328 -7.54436167 1.000000000000004
