# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020775 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
1.0 0.934066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020774 0.000000 0.000000 0.017499 0.025105 0.000903 0.000903 0.000179
2.0 0.934064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020774 0.000000 0.000000 0.017498 0.025108 0.000904 0.000904 0.000179
3.0 0.934057 0.000000 0.000000 0.000000 0.000000 0.000000 0.000570 0.020771 0.000000 0.000000 0.017494 0.025121 0.000904 0.000904 0.000179
4.0 0.934041 0.000000 0.000000 0.000000 0.000000 0.000000 0.000572 0.020764 0.000000 0.000000 0.017484 0.025153 0.000904 0.000904 0.000179
5.0 0.934010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000575 0.020752 0.000000 0.000000 0.017463 0.025212 0.000905 0.000905 0.000178
6.0 0.933963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000580 0.020735 0.000000 0.000000 0.017427 0.025306 0.000906 0.000906 0.000176
7.0 0.933900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000589 0.020716 0.000000 0.000000 0.017368 0.025438 0.000908 0.000908 0.000174
8.0 0.933824 0.000000 0.000000 0.000000 0.000000 0.000000 0.000603 0.020697 0.000000 0.000000 0.017281 0.025607 0.000909 0.000909 0.000172
9.0 0.933742 0.000000 0.000000 0.000000 0.000000 0.000000 0.000623 0.020683 0.000000 0.000000 0.017158 0.025808 0.000909 0.000909 0.000168
10.0 0.933662 0.000000 0.000000 0.000000 0.000000 0.000000 0.000652 0.020677 0.000000 0.000000 0.016994 0.026032 0.000909 0.000909 0.000164
11.0 0.933594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000692 0.020683 0.000000 0.000000 0.016784 0.026272 0.000908 0.000908 0.000159
12.0 0.933544 0.000000 0.000000 0.000000 0.000000 0.000000 0.000744 0.020701 0.000000 0.000000 0.016524 0.026521 0.000907 0.000907 0.000152
13.0 0.933515 0.000000 0.000000 0.000000 0.000000 0.000000 0.000812 0.020731 0.000000 0.000000 0.016209 0.026776 0.000906 0.000906 0.000144
14.0 0.933507 0.000000 0.000000 0.000000 0.000000 0.000000 0.000899 0.020770 0.000000 0.000000 0.015840 0.027036 0.000907 0.000907 0.000134
15.0 0.933515 0.000000 0.000000 0.000000 0.000000 0.000000 0.001009 0.020814 0.000000 0.000000 0.015415 0.027305 0.000910 0.000910 0.000122
16.0 0.933532 0.000000 0.000000 0.000000 0.000000 0.000000 0.001145 0.020860 0.000000 0.000000 0.014937 0.027586 0.000915 0.000915 0.000110
17.0 0.933545 0.000000 0.000000 0.000000 0.000000 0.000000 0.001314 0.020903 0.000000 0.000000 0.014410 0.027884 0.000924 0.000924 0.000096
18.0 0.933544 0.000000 0.000000 0.000000 0.000000 0.000000 0.001518 0.020943 0.000000 0.000000 0.013839 0.028203 0.000936 0.000936 0.000082
19.0 0.933516 0.000000 0.000000 0.000000 0.000000 0.000000 0.001762 0.020979 0.000000 0.000000 0.013230 0.028542 0.000951 0.000951 0.000068
20.0 0.933451 0.000000 0.000000 0.000000 0.000000 0.000000 0.002051 0.021014 0.000000 0.000000 0.012592 0.028899 0.000969 0.000969 0.000055
21.0 0.933339 0.000000 0.000000 0.000000 0.000000 0.000000 0.002389 0.021049 0.000000 0.000000 0.011935 0.029271 0.000988 0.000988 0.000043
22.0 0.933168 0.000000 0.000000 0.000000 0.000000 0.000000 0.002777 0.021088 0.000000 0.000000 0.011270 0.029650 0.001008 0.001008 0.000031
23.0 0.932926 0.000000 0.000000 0.000000 0.000000 0.000000 0.003220 0.021134 0.000000 0.000000 0.010609 0.030033 0.001028 0.001028 0.000021
24.0 0.932601 0.000000 0.000000 0.000000 0.000000 0.000000 0.003718 0.021190 0.000000 0.000000 0.009963 0.030417 0.001049 0.001049 0.000013
25.0 0.932178 0.000000 0.000000 0.000000 0.000000 0.000000 0.004272 0.021256 0.000000 0.000000 0.009345 0.030801 0.001070 0.001070 0.000008
26.0 0.931645 0.000000 0.000000 0.000000 0.000000 0.000000 0.004884 0.021330 0.000000 0.000000 0.008764 0.031186 0.001093 0.001093 0.000006
27.0 0.930991 0.000000 0.000000 0.000000 0.000000 0.000000 0.005552 0.021409 0.000000 0.000000 0.008231 0.031577 0.001117 0.001117 0.000008
28.0 0.930213 0.000000 0.000000 0.000000 0.000000 0.000000 0.006274 0.021486 0.000000 0.000000 0.007752 0.031974 0.001143 0.001143 0.000013
29.0 0.929316 0.000000 0.000000 0.000000 0.000000 0.000000 0.007048 0.021552 0.000000 0.000000 0.007335 0.032380 0.001173 0.001173 0.000023
30.0 0.928312 0.000000 0.000000 0.000000 0.000000 0.000000 0.007868 0.021598 0.000000 0.000000 0.006982 0.032792 0.001205 0.001205 0.000037
31.0 0.927224 0.000000 0.000000 0.000000 0.000000 0.000000 0.008727 0.021615 0.000000 0.000000 0.006697 0.033205 0.001240 0.001240 0.000054
32.0 0.926078 0.000000 0.000000 0.000000 0.000000 0.000000 0.009614 0.021595 0.000000 0.000000 0.006480 0.033609 0.001275 0.001275 0.000074
33.0 0.924906 0.000000 0.000000 0.000000 0.000000 0.000000 0.010517 0.021532 0.000000 0.000000 0.006329 0.033996 0.001312 0.001312 0.000096
34.0 0.923737 0.000000 0.000000 0.000000 0.000000 0.000000 0.011422 0.021425 0.000000 0.000000 0.006242 0.034357 0.001348 0.001348 0.000120
35.0 0.922601 0.000000 0.000000 0.000000 0.000000 0.000000 0.012313 0.021273 0.000000 0.000000 0.006213 0.034689 0.001383 0.001383 0.000144
36.0 0.921521 0.000000 0.000000 0.000000 0.000000 0.000000 0.013172 0.021079 0.000000 0.000000 0.006237 0.034989 0.001417 0.001417 0.000168
37.0 0.920520 0.000000 0.000000 0.000000 0.000000 0.000000 0.013980 0.020842 0.000000 0.000000 0.006304 0.035263 0.001450 0.001450 0.000190
38.0 0.919619 0.000000 0.000000 0.000000 0.000000 0.000000 0.014718 0.020565 0.000000 0.000000 0.006408 0.035518 0.001482 0.001482 0.000209
39.0 0.918840 0.000000 0.000000 0.000000 0.000000 0.000000 0.015364 0.020244 0.000000 0.000000 0.006540 0.035762 0.001514 0.001514 0.000223
40.0 0.918211 0.000000 0.000000 0.000000 0.000000 0.000000 0.015899 0.019877 0.000000 0.000000 0.006689 0.036003 0.001545 0.001545 0.000231
41.0 0.917761 0.000000 0.000000 0.000000 0.000000 0.000000 0.016304 0.019458 0.000000 0.000000 0.006849 0.036242 0.001576 0.001576 0.000234
42.0 0.917525 0.000000 0.000000 0.000000 0.000000 0.000000 0.016562 0.018982 0.000000 0.000000 0.007012 0.036480 0.001605 0.001605 0.000230
43.0 0.917539 0.000000 0.000000 0.000000 0.000000 0.000000 0.016658 0.018445 0.000000 0.000000 0.007170 0.036708 0.001631 0.001631 0.000220
44.0 0.917832 0.000000 0.000000 0.000000 0.000000 0.000000 0.016580 0.017844 0.000000 0.000000 0.007318 0.036916 0.001653 0.001653 0.000204
45.0 0.918431 0.000000 0.000000 0.000000 0.000000 0.000000 0.016323 0.017180 0.000000 0.000000 0.007450 0.037093 0.001670 0.001670 0.000184
46.0 0.919347 0.000000 0.000000 0.000000 0.000000 0.000000 0.015884 0.016456 0.000000 0.000000 0.007559 0.037229 0.001683 0.001683 0.000159
47.0 0.920581 0.000000 0.000000 0.000000 0.000000 0.000000 0.015268 0.015677 0.000000 0.000000 0.007641 0.037319 0.001692 0.001692 0.000132
48.0 0.922119 0.000000 0.000000 0.000000 0.000000 0.000000 0.014484 0.014848 0.000000 0.000000 0.007687 0.037362 0.001698 0.001698 0.000104
49.0 0.923936 0.000000 0.000000 0.000000 0.000000 0.000000 0.013548 0.013977 0.000000 0.000000 0.007692 0.037362 0.001704 0.001704 0.000078
50.0 0.925998 0.000000 0.000000 0.000000 0.000000 0.000000 0.012482 0.013071 0.000000 0.000000 0.007648 0.037326 0.001710 0.001710 0.000055
51.0 0.928265 0.000000 0.000000 0.000000 0.000000 0.000000 0.011313 0.012140 0.000000 0.000000 0.007550 0.037260 0.001718 0.001718 0.000037
52.0 0.930694 0.000000 0.000000 0.000000 0.000000 0.000000 0.010073 0.011192 0.000000 0.000000 0.007392 0.037168 0.001728 0.001728 0.000026
53.0 0.933245 0.000000 0.000000 0.000000 0.000000 0.000000 0.008796 0.010237 0.000000 0.000000 0.007170 0.037052 0.001738 0.001738 0.000024
54.0 0.935875 0.000000 0.000000 0.000000 0.000000 0.000000 0.007519 0.009286 0.000000 0.000000 0.006882 0.036910 0.001748 0.001748 0.000032
55.0 0.938545 0.000000 0.000000 0.000000 0.000000 0.000000 0.006278 0.008350 0.000000 0.000000 0.006529 0.036736 0.001757 0.001757 0.000049
56.0 0.941217 0.000000 0.000000 0.000000 0.000000 0.000000 0.005105 0.007438 0.000000 0.000000 0.006113 0.036527 0.001763 0.001763 0.000075
57.0 0.943851 0.000000 0.000000 0.000000 0.000000 0.000000 0.004031 0.006558 0.000000 0.000000 0.005641 0.036277 0.001766 0.001766 0.000110
58.0 0.946411 0.000000 0.000000 0.000000 0.000000 0.000000 0.003077 0.005719 0.000000 0.000000 0.005120 0.035985 0.001767 0.001767 0.000153
59.0 0.948858 0.000000 0.000000 0.000000 0.000000 0.000000 0.002261 0.004927 0.000000 0.000000 0.004565 0.035651 0.001768 0.001768 0.000202
60.0 0.951161 0.000000 0.000000 0.000000 0.000000 0.000000 0.001589 0.004185 0.000000 0.000000 0.003991 0.035279 0.001770 0.001770 0.000254
61.0 0.953291 0.000000 0.000000 0.000000 0.000000 0.000000 0.001061 0.003499 0.000000 0.000000 0.003415 0.034870 0.001777 0.001777 0.000309
62.0 0.955230 0.000000 0.000000 0.000000 0.000000 0.000000 0.000670 0.002873 0.000000 0.000000 0.002857 0.034428 0.001789 0.001789 0.000364
63.0 0.956967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000402 0.002308 0.000000 0.000000 0.002335 0.033953 0.001809 0.001809 0.000418
64.0 0.958504 0.000000 0.000000 0.000000 0.000000 0.000000 0.000237 0.001808 0.000000 0.000000 0.001865 0.033444 0.001836 0.001836 0.000469
65.0 0.959854 0.000000 0.000000 0.000000 0.000000 0.000000 0.000154 0.001375 0.000000 0.000000 0.001459 0.032898 0.001871 0.001871 0.000518
66.0 0.961034 0.000000 0.000000 0.000000 0.000000 0.000000 0.000129 0.001010 0.000000 0.000000 0.001126 0.032310 0.001914 0.001914 0.000564
67.0 0.962066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000142 0.000714 0.000000 0.000000 0.000865 0.031680 0.001963 0.001963 0.000607
68.0 0.962975 0.000000 0.000000 0.000000 0.000000 0.000000 0.000175 0.000489 0.000000 0.000000 0.000674 0.031006 0.002016 0.002016 0.000648
69.0 0.963780 0.000000 0.000000 0.000000 0.000000 0.000000 0.000215 0.000337 0.000000 0.000000 0.000542 0.030291 0.002075 0.002075 0.000687
70.0 0.964495 0.000000 0.000000 0.000000 0.000000 0.000000 0.000256 0.000260 0.000000 0.000000 0.000454 0.029538 0.002137 0.002137 0.000724
71.0 0.965127 0.000000 0.000000 0.000000 0.000000 0.000000 0.000295 0.000262 0.000000 0.000000 0.000396 0.028754 0.002203 0.002203 0.000759
