# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000001 0.999999 0.000000 0.000000 0.000000
3.0 0.000003 0.999996 0.000001 0.000000 0.000000
4.0 0.000011 0.999987 0.000003 0.000000 0.000000
5.0 0.000025 0.999968 0.000006 0.000000 0.000000
6.0 0.000052 0.999935 0.000012 0.000000 0.000000
7.0 0.000094 0.999883 0.000022 0.000000 0.000000
8.0 0.000155 0.999806 0.000037 0.000001 0.000000
9.0 0.000242 0.999700 0.000057 0.000001 0.000000
10.0 0.000356 0.999559 0.000083 0.000001 0.000000
11.0 0.000503 0.999380 0.000115 0.000001 0.000000
12.0 0.000683 0.999159 0.000155 0.000001 0.000000
13.0 0.000900 0.998896 0.000201 0.000001 0.000000
14.0 0.001153 0.998590 0.000254 0.000001 0.000000
15.0 0.001442 0.998242 0.000313 0.000001 0.000000
16.0 0.001764 0.997856 0.000376 0.000001 0.000000
17.0 0.002116 0.997437 0.000443 0.000001 0.000000
18.0 0.002493 0.996990 0.000513 0.000001 0.000000
19.0 0.002889 0.996524 0.000583 0.000000 0.000000
20.0 0.003296 0.996048 0.000652 0.000000 0.000000
21.0 0.003706 0.995571 0.000718 0.000000 0.000000
22.0 0.004112 0.995104 0.000780 0.000000 0.000000
23.0 0.004503 0.994656 0.000836 0.000000 0.000000
24.0 0.004871 0.994239 0.000885 0.000000 0.000000
25.0 0.005207 0.993862 0.000926 0.000000 0.000000
26.0 0.005503 0.993533 0.000959 0.000000 0.000000
27.0 0.005754 0.993258 0.000983 0.000000 0.000000
28.0 0.005952 0.993043 0.000999 0.000000 0.000000
29.0 0.006095 0.992893 0.001007 0.000000 0.000000
30.0 0.006179 0.992807 0.001007 0.000000 0.000000
31.0 0.006205 0.992785 0.001002 0.000001 0.000000
32.0 0.006175 0.992825 0.000991 0.000001 0.000000
33.0 0.006091 0.992922 0.000978 0.000001 0.000000
34.0 0.005958 0.993069 0.000963 0.000002 0.000000
35.0 0.005784 0.993256 0.000948 0.000003 0.000000
36.0 0.005577 0.993476 0.000935 0.000004 0.000000
37.0 0.005345 0.993716 0.000926 0.000004 0.000000
38.0 0.005098 0.993965 0.000922 0.000005 0.000000
39.0 0.004845 0.994213 0.000926 0.000006 0.000000
40.0 0.004597 0.994448 0.000937 0.000007 0.000000
41.0 0.004362 0.994660 0.000959 0.000008 0.000000
42.0 0.004146 0.994841 0.000991 0.000010 0.000000
43.0 0.003958 0.994983 0.001034 0.000012 0.000000
44.0 0.003800 0.995083 0.001089 0.000014 0.000000
45.0 0.003677 0.995136 0.001155 0.000017 0.000000
46.0 0.003588 0.995143 0.001233 0.000021 0.000000
47.0 0.003532 0.995106 0.001320 0.000026 0.000000
48.0 0.003508 0.995030 0.001415 0.000031 0.000000
49.0 0.003509 0.994921 0.001516 0.000036 0.000000
50.0 0.003531 0.994790 0.001619 0.000042 0.000000
51.0 0.003567 0.994646 0.001720 0.000047 0.000000
52.0 0.003610 0.994502 0.001815 0.000053 0.000000
53.0 0.003652 0.994369 0.001899 0.000059 0.000000
54.0 0.003686 0.994260 0.001968 0.000064 0.000000
55.0 0.003706 0.994186 0.002015 0.000070 0.000000
56.0 0.003705 0.994159 0.002037 0.000075 0.000000
57.0 0.003678 0.994186 0.002029 0.000081 0.000000
58.0 0.003623 0.994273 0.001989 0.000088 0.000000
59.0 0.003535 0.994426 0.001915 0.000095 0.000000
60.0 0.003414 0.994643 0.001808 0.000104 0.000000
61.0 0.003261 0.994924 0.001669 0.000113 0.000000
62.0 0.003076 0.995263 0.001503 0.000124 0.000000
63.0 0.002861 0.995651 0.001315 0.000137 0.000000
64.0 0.002621 0.996077 0.001114 0.000150 0.000000
65.0 0.002360 0.996529 0.000907 0.000165 0.000000
66.0 0.002084 0.996990 0.000704 0.000180 0.000000
67.0 0.001799 0.997445 0.000515 0.000196 0.000000
68.0 0.001513 0.997877 0.000349 0.000212 0.000000
69.0 0.001233 0.998270 0.000215 0.000228 0.000000
70.0 0.000968 0.998609 0.000119 0.000245 0.000000
71.0 0.000726 0.998881 0.000065 0.000262 0.000000
72.0 0.000517 0.999076 0.000055 0.000280 0.000000
73.0 0.000347 0.999187 0.000087 0.000300 0.000000
74.0 0.000224 0.999211 0.000157 0.000321 0.000000
75.0 0.000155 0.999148 0.000258 0.000344 0.000000
76.0 0.000142 0.999004 0.000381 0.000370 0.000000
77.0 0.000188 0.998785 0.000515 0.000398 0.000000
