#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.72879583 -7.61555314 -7.48803884 -7.43936432 -7.18877372
1.0 -7.72879945 -7.61555375 -7.48803920 -7.43936410 -7.18879607
2.0 -7.72881192 -7.61555537 -7.48804085 -7.43936367 -7.18887414
3.0 -7.72883345 -7.61555824 -7.48804411 -7.43936333 -7.18900818
4.0 -7.72886438 -7.61556284 -7.48804946 -7.43936357 -7.18919804
5.0 -7.72890515 -7.61556983 -7.48805760 -7.43936509 -7.18944357
6.0 -7.72895638 -7.61558009 -7.48806944 -7.43936878 -7.18974456
7.0 -7.72901880 -7.61559466 -7.48808606 -7.43937573 -7.19010076
8.0 -7.72909324 -7.61561478 -7.48810873 -7.43938723 -7.19051189
9.0 -7.72918068 -7.61564182 -7.48813890 -7.43940469 -7.19097760
10.0 -7.72928217 -7.61567731 -7.48817815 -7.43942972 -7.19149751
11.0 -7.72939888 -7.61572293 -7.48822821 -7.43946405 -7.19207120
12.0 -7.72953202 -7.61578045 -7.48829095 -7.43950954 -7.19269821
13.0 -7.72968291 -7.61585176 -7.48836831 -7.43956814 -7.19337804
14.0 -7.72985291 -7.61593881 -7.48846235 -7.43964191 -7.19411014
15.0 -7.73004343 -7.61604364 -7.48857519 -7.43973297 -7.19489392
16.0 -7.73025588 -7.61616832 -7.48870899 -7.43984350 -7.19572875
17.0 -7.73049174 -7.61631496 -7.48886597 -7.43997572 -7.19661396
18.0 -7.73075245 -7.61648567 -7.48904835 -7.44013186 -7.19754882
19.0 -7.73103947 -7.61668257 -7.48925836 -7.44031416 -7.19853257
20.0 -7.73135424 -7.61690775 -7.48949821 -7.44052484 -7.19956443
21.0 -7.73169817 -7.61716327 -7.48977009 -7.44076611 -7.20064356
22.0 -7.73207262 -7.61745114 -7.49007614 -7.44104013 -7.20176909
23.0 -7.73247893 -7.61777332 -7.49041844 -7.44134899 -7.20294009
24.0 -7.73291837 -7.61813167 -7.49079902 -7.44169475 -7.20415562
25.0 -7.73339213 -7.61852799 -7.49121982 -7.44207936 -7.20541471
26.0 -7.73390137 -7.61896398 -7.49168271 -7.44250471 -7.20671633
27.0 -7.73444715 -7.61944124 -7.49218945 -7.44297259 -7.20805945
28.0 -7.73503047 -7.61996128 -7.49274173 -7.44348470 -7.20944299
29.0 -7.73565222 -7.62052548 -7.49334111 -7.44404264 -7.21086586
30.0 -7.73631323 -7.62113510 -7.49398906 -7.44464789 -7.21232694
31.0 -7.73701424 -7.62179132 -7.49468694 -7.44530185 -7.21382507
32.0 -7.73775591 -7.62249516 -7.49543603 -7.44600578 -7.21535911
33.0 -7.73853880 -7.62324755 -7.49623747 -7.44676088 -7.21692787
34.0 -7.73936341 -7.62404931 -7.49709233 -7.44756822 -7.21853018
35.0 -7.74023015 -7.62490114 -7.49800158 -7.44842877 -7.22016483
36.0 -7.74113934 -7.62580362 -7.49896608 -7.44934341 -7.22183063
37.0 -7.74209124 -7.62675724 -7.49998661 -7.45031292 -7.22352636
38.0 -7.74308603 -7.62776237 -7.50106387 -7.45133799 -7.22525081
39.0 -7.74412384 -7.62881931 -7.50219849 -7.45241925 -7.22700278
40.0 -7.74520471 -7.62992826 -7.50339104 -7.45355724 -7.22878107
41.0 -7.74632866 -7.63108932 -7.50464201 -7.45475242 -7.23058449
42.0 -7.74749564 -7.63230254 -7.50595186 -7.45600522 -7.23241186
43.0 -7.74870555 -7.63356788 -7.50732100 -7.45731598 -7.23426201
44.0 -7.74995826 -7.63488523 -7.50874980 -7.45868501 -7.23613379
45.0 -7.75125362 -7.63625443 -7.51023861 -7.46011257 -7.23802605
46.0 -7.75259141 -7.63767526 -7.51178775 -7.46159888 -7.23993767
47.0 -7.75397145 -7.63914746 -7.51339754 -7.46314415 -7.24186757
48.0 -7.75539349 -7.64067072 -7.51506833 -7.46474854 -7.24381467
49.0 -7.75685729 -7.64224469 -7.51680042 -7.46641220 -7.24577792
50.0 -7.75836262 -7.64386900 -7.51859417 -7.46813529 -7.24775629
51.0 -7.75990922 -7.64554325 -7.52044996 -7.46991791 -7.24974880
52.0 -7.76149686 -7.64726698 -7.52236817 -7.47176020 -7.25175446
53.0 -7.76312530 -7.64903977 -7.52434927 -7.47366228 -7.25377234
54.0 -7.76479432 -7.65086112 -7.52639375 -7.47562426 -7.25580154
55.0 -7.76650373 -7.65273056 -7.52850215 -7.47764626 -7.25784118
56.0 -7.76825332 -7.65464757 -7.53067509 -7.47972840 -7.25989043
57.0 -7.77004295 -7.65661164 -7.53291326 -7.48187080 -7.26194850
58.0 -7.77187248 -7.65862224 -7.53521743 -7.48407358 -7.26401464
59.0 -7.77374179 -7.66067880 -7.53758845 -7.48633686 -7.26608816
60.0 -7.77565080 -7.66278078 -7.54002727 -7.48866075 -7.26816844
61.0 -7.77759947 -7.66492760 -7.54253496 -7.49104536 -7.27025493
62.0 -7.77958779 -7.66711867 -7.54511269 -7.49349079 -7.27234721
63.0 -7.78161575 -7.66935337 -7.54776176 -7.49599711 -7.27444499
64.0 -7.78368341 -7.67163108 -7.55048362 -7.49856436 -7.27654816
65.0 -7.78579084 -7.67395113 -7.55327984 -7.50119257 -7.27865688
66.0 -7.78793816 -7.67631285 -7.55615217 -7.50388171 -7.28077168
67.0 -7.79012551 -7.67871554 -7.55910253 -7.50663169 -7.28289364
68.0 -7.79235306 -7.68115844 -7.56213305 -7.50944237 -7.28502463
69.0 -7.79462103 -7.68364081 -7.56524603 -7.51231355 -7.28716780
70.0 -7.79692964 -7.68616182 -7.56844403 -7.51524491 -7.28932826
71.0 -7.79927918 -7.68872064 -7.57172981 -7.51823605 -7.29151446
