# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004797 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
1.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013666 0.004798 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
2.0 0.904841 0.005030 0.028036 0.007666 0.000274 0.000533 0.013663 0.004804 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
3.0 0.904832 0.005031 0.028035 0.007666 0.000275 0.000533 0.013649 0.004826 0.000892 0.000201 0.003461 0.029428 0.000038 0.000004 0.001128
4.0 0.904813 0.005034 0.028036 0.007666 0.000276 0.000533 0.013619 0.004870 0.000889 0.000201 0.003464 0.029427 0.000038 0.000004 0.001131
5.0 0.904782 0.005038 0.028040 0.007667 0.000278 0.000533 0.013569 0.004936 0.000885 0.000201 0.003469 0.029427 0.000038 0.000004 0.001133
6.0 0.904739 0.005042 0.028053 0.007669 0.000281 0.000533 0.013502 0.005014 0.000880 0.000201 0.003474 0.029433 0.000039 0.000004 0.001137
7.0 0.904679 0.005047 0.028077 0.007674 0.000284 0.000533 0.013423 0.005095 0.000875 0.000201 0.003480 0.029447 0.000039 0.000004 0.001141
8.0 0.904598 0.005051 0.028112 0.007683 0.000288 0.000533 0.013341 0.005179 0.000870 0.000201 0.003486 0.029469 0.000039 0.000004 0.001145
9.0 0.904489 0.005053 0.028155 0.007698 0.000292 0.000534 0.013258 0.005271 0.000865 0.000201 0.003491 0.029498 0.000039 0.000004 0.001150
10.0 0.904350 0.005055 0.028203 0.007719 0.000297 0.000535 0.013173 0.005383 0.000859 0.000201 0.003497 0.029530 0.000039 0.000004 0.001155
11.0 0.904186 0.005056 0.028252 0.007748 0.000303 0.000535 0.013081 0.005519 0.000851 0.000201 0.003503 0.029561 0.000039 0.000004 0.001161
12.0 0.904007 0.005056 0.028300 0.007785 0.000309 0.000536 0.012975 0.005675 0.000842 0.000202 0.003510 0.029591 0.000040 0.000004 0.001167
13.0 0.903827 0.005055 0.028349 0.007833 0.000316 0.000537 0.012853 0.005841 0.000832 0.000203 0.003516 0.029620 0.000040 0.000005 0.001173
14.0 0.903652 0.005053 0.028399 0.007890 0.000324 0.000539 0.012715 0.006009 0.000823 0.000203 0.003522 0.029647 0.000041 0.000005 0.001180
