#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.61648030 -7.61648030 0.9999999999999999
1.0 0.00008169 -7.61656229 -7.61648059 1.0000000000000016
2.0 0.00032654 -7.61680745 -7.61648090 0.9999999999999999
3.0 0.00073392 -7.61721513 -7.61648121 1.0000000000000004
4.0 0.00130276 -7.61778424 -7.61648148 1.0000000000000013
5.0 0.00203175 -7.61851349 -7.61648174 1.0000000000000036
6.0 0.00291907 -7.61940102 -7.61648195 1.0000000000000002
7.0 0.00396265 -7.62044477 -7.61648213 0.999999999999999
8.0 0.00515968 -7.62164194 -7.61648226 0.9999999999999973
9.0 0.00650731 -7.62298965 -7.61648234 0.9999999999999964
10.0 0.00800205 -7.62448441 -7.61648236 0.9999999999999977
11.0 0.00964047 -7.62612277 -7.61648230 0.9999999999999984
12.0 0.01141870 -7.62790088 -7.61648218 0.9999999999999982
13.0 0.01333266 -7.62981463 -7.61648196 0.9999999999999991
14.0 0.01537782 -7.63185951 -7.61648169 0.999999999999999
15.0 0.01754922 -7.63403054 -7.61648132 0.9999999999999977
16.0 0.01984203 -7.63632289 -7.61648087 0.9999999999999983
17.0 0.02225074 -7.63873105 -7.61648031 0.9999999999999984
18.0 0.02477056 -7.64125020 -7.61647964 0.9999999999999969
19.0 0.02739584 -7.64387472 -7.61647888 0.999999999999998
20.0 0.03012118 -7.64659918 -7.61647801 0.9999999999999977
21.0 0.03294061 -7.64941766 -7.61647705 0.9999999999999969
22.0 0.03584829 -7.65232426 -7.61647597 0.9999999999999946
23.0 0.03883817 -7.65531298 -7.61647481 0.9999999999999932
24.0 0.04190448 -7.65837798 -7.61647349 0.9999999999999905
25.0 0.04504176 -7.66151384 -7.61647208 0.9999999999999903
26.0 0.04824384 -7.66471438 -7.61647055 0.9999999999999909
27.0 0.05150525 -7.66797417 -7.61646892 0.9999999999999878
28.0 0.05481949 -7.67128669 -7.61646720 0.9999999999999893
29.0 0.05818091 -7.67464627 -7.61646536 0.9999999999999887
30.0 0.06158346 -7.67804689 -7.61646344 0.999999999999988
31.0 0.06502201 -7.68148337 -7.61646136 0.9999999999999868
32.0 0.06849123 -7.68495045 -7.61645921 0.999999999999987
33.0 0.07198579 -7.68844272 -7.61645693 0.9999999999999871
34.0 0.07550072 -7.69195530 -7.61645458 0.999999999999984
35.0 0.07903016 -7.69548231 -7.61645215 0.9999999999999853
36.0 0.08256941 -7.69901905 -7.61644963 0.999999999999986
37.0 0.08611335 -7.70256038 -7.61644703 0.999999999999989
38.0 0.08965797 -7.70610228 -7.61644432 0.9999999999999903
39.0 0.09319879 -7.70964033 -7.61644153 0.9999999999999897
40.0 0.09673209 -7.71317073 -7.61643864 0.9999999999999905
41.0 0.10025360 -7.71668934 -7.61643573 0.9999999999999902
42.0 0.10375901 -7.72019175 -7.61643274 0.9999999999999898
43.0 0.10724506 -7.72367476 -7.61642970 0.9999999999999908
44.0 0.11070769 -7.72713429 -7.61642660 0.999999999999989
45.0 0.11414444 -7.73056785 -7.61642341 0.999999999999989
46.0 0.11755208 -7.73397228 -7.61642020 0.9999999999999899
47.0 0.12092816 -7.73734507 -7.61641691 0.9999999999999886
48.0 0.12426972 -7.74068335 -7.61641363 0.9999999999999866
49.0 0.12757413 -7.74398441 -7.61641028 0.9999999999999859
50.0 0.13083938 -7.74724631 -7.61640693 0.9999999999999865
51.0 0.13406284 -7.75046637 -7.61640353 0.9999999999999836
52.0 0.13724355 -7.75364364 -7.61640009 0.9999999999999833
53.0 0.14037922 -7.75677587 -7.61639665 0.9999999999999846
54.0 0.14346878 -7.75986196 -7.61639317 0.9999999999999842
55.0 0.14651030 -7.76290004 -7.61638973 0.9999999999999847
56.0 0.14950263 -7.76588888 -7.61638624 0.9999999999999849
