# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14 Pop_15 Pop_16 Pop_17 Pop_18 Pop_19 Pop_20 Pop_21 Pop_22 Pop_23 Pop_24 Pop_25 Pop_26 Pop_27 Pop_28 Pop_29 Pop_30 Pop_31 Pop_32 Pop_33 Pop_34 Pop_35 Pop_36 Pop_37 Pop_38 Pop_39 Pop_40 Pop_41 Pop_42 Pop_43 Pop_44 Pop_45 Pop_46 Pop_47 Pop_48 Pop_49 Pop_50 Pop_51 Pop_52 Pop_53 Pop_54 Pop_55 Pop_56 Pop_57 Pop_58 Pop_59 Pop_60 Pop_61 Pop_62 Pop_63 Pop_64 Pop_65 Pop_66 Pop_67 Pop_68 Pop_69 Pop_70 Pop_71 Pop_72 Pop_73 Pop_74 Pop_75 Pop_76 Pop_77 Pop_78 Pop_79 Pop_80 Pop_81 Pop_82 Pop_83 Pop_84 Pop_85 Pop_86 Pop_87 Pop_88 Pop_89 Pop_90 Pop_91 Pop_92 Pop_93 Pop_94 Pop_95 Pop_96 Pop_97 Pop_98 Pop_99 Pop_100 Pop_101 Pop_102 Pop_103 Pop_104
0.0 0.000033 0.000019 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000001 0.000003 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904129 0.005049 0.027991 0.008399 0.000297 0.000577 0.013570 0.004584 0.000896 0.000214 0.000049 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000057 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000003 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003255 0.029553 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001103 0.000001 0.000001 0.000000 0.000000
1.0 0.000033 0.000019 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000001 0.000003 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904129 0.005049 0.027991 0.008399 0.000297 0.000577 0.013570 0.004585 0.000896 0.000214 0.000049 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000057 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000003 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003255 0.029553 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001103 0.000001 0.000001 0.000000 0.000000
2.0 0.000032 0.000019 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000001 0.000001 0.000002 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904129 0.005050 0.027990 0.008399 0.000297 0.000577 0.013566 0.004590 0.000895 0.000214 0.000048 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000057 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000003 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003255 0.029552 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001103 0.000001 0.000001 0.000000 0.000000
3.0 0.000031 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000001 0.000001 0.000002 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904123 0.005051 0.027990 0.008399 0.000298 0.000577 0.013553 0.004611 0.000894 0.000214 0.000047 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000056 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003257 0.029551 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001105 0.000001 0.000001 0.000000 0.000000
4.0 0.000030 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000002 0.000000 0.000002 0.000002 0.000000 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904107 0.005054 0.027990 0.008399 0.000299 0.000577 0.013525 0.004655 0.000891 0.000214 0.000045 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000056 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003259 0.029549 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001107 0.000001 0.000001 0.000000 0.000000
5.0 0.000029 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000004 0.000000 0.000002 0.000002 0.000000 0.000004 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904079 0.005058 0.027995 0.008400 0.000301 0.000576 0.013478 0.004718 0.000888 0.000214 0.000042 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000056 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003264 0.029549 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001110 0.000001 0.000001 0.000000 0.000000
6.0 0.000027 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000007 0.000000 0.000002 0.000002 0.000000 0.000004 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904036 0.005062 0.028008 0.008402 0.000304 0.000576 0.013413 0.004795 0.000883 0.000214 0.000039 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000055 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003269 0.029555 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001113 0.000001 0.000001 0.000000 0.000000
7.0 0.000025 0.000017 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000011 0.000000 0.000002 0.000002 0.000000 0.000005 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903974 0.005067 0.028033 0.008408 0.000307 0.000576 0.013339 0.004874 0.000878 0.000214 0.000036 0.000005 0.000001 0.000033 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000054 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000021 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003275 0.029570 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001118 0.000001 0.000001 0.000000 0.000000
8.0 0.000023 0.000017 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000016 0.000000 0.000001 0.000002 0.000000 0.000005 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903888 0.005070 0.028070 0.008418 0.000311 0.000577 0.013260 0.004956 0.000874 0.000214 0.000032 0.000005 0.000001 0.000034 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000053 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000021 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003281 0.029593 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001122 0.000001 0.000001 0.000000 0.000000
9.0 0.000020 0.000016 0.000004 0.000000 0.000005 0.000000 0.000003 0.000002 0.000000 0.000000 0.000024 0.000001 0.000001 0.000002 0.000000 0.000006 0.000001 0.000002 0.000005 0.000001 0.000011 0.000009 0.000000 0.000004 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903772 0.005072 0.028116 0.008434 0.000316 0.000578 0.013180 0.005046 0.000869 0.000214 0.000028 0.000005 0.000001 0.000034 0.000002 0.000000 0.000000 0.000031 0.000000 0.000000 0.000053 0.000000 0.000001 0.000001 0.000002 0.000000 0.000001 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000005 0.000021 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003287 0.029623 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001127 0.000001 0.000001 0.000000 0.000000
