# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 1.000000 0.000000 0.000000 0.000000
3.0 0.000000 0.999999 0.000000 0.000000 0.000000
4.0 0.000000 0.999995 0.000000 0.000000 0.000000
5.0 0.000000 0.999989 0.000000 0.000001 0.000000
6.0 0.000000 0.999976 0.000000 0.000001 0.000001
7.0 0.000000 0.999956 0.000001 0.000002 0.000002
8.0 0.000000 0.999926 0.000002 0.000004 0.000003
9.0 0.000000 0.999882 0.000003 0.000006 0.000005
10.0 0.000000 0.999821 0.000004 0.000010 0.000008
11.0 0.000000 0.999737 0.000006 0.000016 0.000013
12.0 0.000001 0.999627 0.000009 0.000023 0.000018
13.0 0.000001 0.999485 0.000013 0.000033 0.000025
14.0 0.000001 0.999311 0.000018 0.000045 0.000034
15.0 0.000002 0.999096 0.000024 0.000062 0.000044
16.0 0.000003 0.998838 0.000031 0.000082 0.000056
17.0 0.000004 0.998528 0.000041 0.000106 0.000070
18.0 0.000005 0.998158 0.000052 0.000135 0.000086
19.0 0.000007 0.997727 0.000065 0.000169 0.000105
20.0 0.000009 0.997227 0.000081 0.000208 0.000127
21.0 0.000012 0.996658 0.000100 0.000253 0.000152
22.0 0.000016 0.996011 0.000122 0.000303 0.000181
23.0 0.000020 0.995284 0.000146 0.000358 0.000214
24.0 0.000026 0.994462 0.000174 0.000417 0.000252
25.0 0.000033 0.993548 0.000205 0.000480 0.000294
26.0 0.000041 0.992535 0.000239 0.000547 0.000341
27.0 0.000050 0.991426 0.000277 0.000615 0.000392
28.0 0.000061 0.990222 0.000318 0.000685 0.000447
29.0 0.000074 0.988915 0.000362 0.000754 0.000506
30.0 0.000089 0.987506 0.000409 0.000823 0.000568
31.0 0.000106 0.985979 0.000459 0.000889 0.000633
32.0 0.000125 0.984347 0.000511 0.000951 0.000702
33.0 0.000146 0.982597 0.000566 0.001008 0.000774
34.0 0.000170 0.980747 0.000622 0.001058 0.000851
35.0 0.000197 0.978791 0.000679 0.001102 0.000934
36.0 0.000226 0.976726 0.000737 0.001137 0.001022
37.0 0.000258 0.974549 0.000796 0.001163 0.001115
38.0 0.000293 0.972253 0.000854 0.001181 0.001215
39.0 0.000330 0.969847 0.000911 0.001189 0.001320
40.0 0.000370 0.967325 0.000966 0.001187 0.001429
41.0 0.000413 0.964721 0.001020 0.001176 0.001542
42.0 0.000459 0.962009 0.001070 0.001155 0.001657
43.0 0.000507 0.959206 0.001118 0.001127 0.001773
44.0 0.000557 0.956304 0.001161 0.001090 0.001890
45.0 0.000610 0.953295 0.001201 0.001047 0.002007
46.0 0.000665 0.950196 0.001235 0.000998 0.002124
47.0 0.000722 0.947001 0.001265 0.000944 0.002243
48.0 0.000781 0.943742 0.001289 0.000886 0.002365
49.0 0.000843 0.940388 0.001308 0.000825 0.002489
50.0 0.000907 0.936968 0.001321 0.000762 0.002618
51.0 0.000972 0.933456 0.001329 0.000698 0.002750
52.0 0.001039 0.929858 0.001331 0.000634 0.002884
53.0 0.001109 0.926195 0.001328 0.000570 0.003020
54.0 0.001181 0.922461 0.001319 0.000507 0.003157
55.0 0.001255 0.918693 0.001304 0.000446 0.003293
56.0 0.001332 0.914857 0.001285 0.000387 0.003426
57.0 0.001413 0.910998 0.001261 0.000331 0.003556
58.0 0.001497 0.907066 0.001232 0.000277 0.003681
59.0 0.001585 0.903095 0.001200 0.000228 0.003801
60.0 0.001677 0.899091 0.001164 0.000181 0.003918
61.0 0.001775 0.895041 0.001126 0.000140 0.004033
62.0 0.001877 0.890986 0.001084 0.000102 0.004149
63.0 0.001986 0.886894 0.001042 0.000070 0.004264
64.0 0.002102 0.882788 0.000997 0.000045 0.004382
65.0 0.002225 0.878632 0.000952 0.000025 0.004499
66.0 0.002357 0.874464 0.000906 0.000013 0.004616
67.0 0.002497 0.870268 0.000860 0.000009 0.004732
68.0 0.002647 0.866056 0.000815 0.000015 0.004845
69.0 0.002808 0.861866 0.000770 0.000030 0.004953
70.0 0.002979 0.857656 0.000726 0.000056 0.005054
71.0 0.003162 0.853459 0.000684 0.000093 0.005148
72.0 0.003356 0.849249 0.000643 0.000144 0.005235
73.0 0.003562 0.845031 0.000604 0.000207 0.005316
74.0 0.003781 0.840815 0.000567 0.000284 0.005392
75.0 0.004012 0.836592 0.000532 0.000375 0.005466
76.0 0.004257 0.832395 0.000499 0.000481 0.005540
77.0 0.004515 0.828192 0.000469 0.000601 0.005614
