#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.61555314 -7.61555314 1.0000000000000002
1.0 0.00008610 -7.61563368 -7.61554758 0.9999999999999999
2.0 0.00034420 -7.61587401 -7.61552981 0.9999999999999997
3.0 0.00077368 -7.61627280 -7.61549913 1.0000000000000002
4.0 0.00137352 -7.61682796 -7.61545444 0.9999999999999996
5.0 0.00214229 -7.61753658 -7.61539429 0.9999999999999984
6.0 0.00307818 -7.61839498 -7.61531680 0.9999999999999993
7.0 0.00417898 -7.61939863 -7.61521965 0.9999999999999999
8.0 0.00544213 -7.62054220 -7.61510007 0.9999999999999997
9.0 0.00686475 -7.62181963 -7.61495487 1.000000000000001
10.0 0.00844360 -7.62322418 -7.61478058 1.000000000000002
11.0 0.01017513 -7.62474859 -7.61457346 1.0000000000000018
12.0 0.01205553 -7.62638500 -7.61432947 1.0000000000000027
13.0 0.01408071 -7.62812495 -7.61404424 1.0000000000000027
14.0 0.01624637 -7.62995934 -7.61371297 1.0000000000000013
15.0 0.01854801 -7.63187853 -7.61333052 1.0000000000000016
16.0 0.02098094 -7.63387252 -7.61289157 1.0000000000000016
17.0 0.02354034 -7.63593104 -7.61239070 1.0000000000000022
18.0 0.02622124 -7.63804364 -7.61182240 1.000000000000002
19.0 0.02901858 -7.64019960 -7.61118102 1.000000000000002
20.0 0.03192722 -7.64238792 -7.61046069 1.0000000000000027
21.0 0.03494201 -7.64459729 -7.60965527 1.0000000000000033
22.0 0.03805776 -7.64681629 -7.60875853 1.0000000000000029
23.0 0.04126927 -7.64903355 -7.60776428 1.0000000000000029
24.0 0.04457137 -7.65123789 -7.60666651 1.0000000000000033
25.0 0.04795894 -7.65341828 -7.60545935 1.0000000000000036
26.0 0.05142692 -7.65556380 -7.60413688 1.0000000000000022
27.0 0.05497036 -7.65766346 -7.60269310 1.0000000000000013
28.0 0.05858443 -7.65970638 -7.60112195 1.0000000000000009
29.0 0.06226441 -7.66168191 -7.59941750 1.0000000000000004
30.0 0.06600570 -7.66357986 -7.59757416 1.0
31.0 0.06980384 -7.66539053 -7.59558669 1.0000000000000013
32.0 0.07365454 -7.66710470 -7.59345016 1.0000000000000013
33.0 0.07755365 -7.66871343 -7.59115978 1.0000000000000007
34.0 0.08149724 -7.67020804 -7.58871080 1.0
35.0 0.08548151 -7.67158017 -7.58609866 1.0000000000000002
36.0 0.08950288 -7.67282198 -7.58331911 0.9999999999999986
