# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004797 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
1.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013666 0.004798 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
2.0 0.904840 0.005030 0.028036 0.007666 0.000274 0.000533 0.013664 0.004804 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
3.0 0.904826 0.005030 0.028033 0.007666 0.000275 0.000533 0.013655 0.004824 0.000892 0.000201 0.003461 0.029431 0.000038 0.000004 0.001130
4.0 0.904799 0.005032 0.028029 0.007666 0.000276 0.000533 0.013635 0.004864 0.000891 0.000202 0.003463 0.029435 0.000038 0.000004 0.001134
5.0 0.904754 0.005034 0.028025 0.007668 0.000277 0.000534 0.013602 0.004924 0.000888 0.000202 0.003466 0.029444 0.000038 0.000004 0.001138
6.0 0.904691 0.005037 0.028025 0.007672 0.000279 0.000534 0.013558 0.004995 0.000885 0.000203 0.003471 0.029465 0.000038 0.000004 0.001144
7.0 0.904606 0.005038 0.028031 0.007679 0.000282 0.000536 0.013507 0.005069 0.000882 0.000204 0.003476 0.029497 0.000038 0.000004 0.001151
8.0 0.904497 0.005038 0.028044 0.007692 0.000285 0.000538 0.013453 0.005145 0.000879 0.000205 0.003481 0.029542 0.000038 0.000004 0.001158
9.0 0.904359 0.005036 0.028061 0.007712 0.000288 0.000540 0.013399 0.005230 0.000876 0.000207 0.003487 0.029596 0.000038 0.000004 0.001167
10.0 0.904190 0.005031 0.028081 0.007741 0.000293 0.000542 0.013344 0.005333 0.000873 0.000208 0.003493 0.029653 0.000038 0.000004 0.001176
11.0 0.903993 0.005023 0.028102 0.007780 0.000298 0.000545 0.013286 0.005458 0.000868 0.000210 0.003501 0.029709 0.000038 0.000004 0.001186
12.0 0.903777 0.005013 0.028122 0.007832 0.000303 0.000548 0.013219 0.005601 0.000863 0.000212 0.003510 0.029760 0.000038 0.000004 0.001198
13.0 0.903552 0.004999 0.028143 0.007898 0.000310 0.000551 0.013143 0.005753 0.000857 0.000215 0.003520 0.029806 0.000038 0.000004 0.001210
14.0 0.903323 0.004981 0.028164 0.007980 0.000317 0.000556 0.013057 0.005908 0.000852 0.000218 0.003532 0.029847 0.000038 0.000004 0.001223
