# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 1.000000 0.000000 0.000000 0.000000
3.0 0.000000 1.000000 0.000000 0.000000 0.000000
4.0 0.000000 0.999999 0.000000 0.000000 0.000000
5.0 0.000000 0.999998 0.000000 0.000000 0.000000
6.0 0.000000 0.999995 0.000000 0.000000 0.000001
7.0 0.000000 0.999991 0.000000 0.000001 0.000001
8.0 0.000001 0.999985 0.000000 0.000002 0.000002
9.0 0.000001 0.999976 0.000000 0.000003 0.000004
10.0 0.000002 0.999963 0.000001 0.000005 0.000006
11.0 0.000003 0.999945 0.000001 0.000008 0.000009
12.0 0.000004 0.999920 0.000002 0.000012 0.000013
13.0 0.000006 0.999889 0.000004 0.000018 0.000017
14.0 0.000008 0.999850 0.000005 0.000025 0.000023
15.0 0.000011 0.999803 0.000008 0.000036 0.000029
16.0 0.000014 0.999747 0.000011 0.000049 0.000037
17.0 0.000017 0.999678 0.000015 0.000066 0.000045
18.0 0.000022 0.999594 0.000020 0.000086 0.000054
19.0 0.000027 0.999494 0.000027 0.000112 0.000065
20.0 0.000033 0.999379 0.000035 0.000142 0.000077
21.0 0.000040 0.999250 0.000044 0.000178 0.000090
22.0 0.000048 0.999104 0.000055 0.000220 0.000105
23.0 0.000056 0.998939 0.000068 0.000268 0.000122
24.0 0.000066 0.998752 0.000083 0.000323 0.000140
25.0 0.000077 0.998542 0.000100 0.000385 0.000160
26.0 0.000089 0.998310 0.000119 0.000454 0.000181
27.0 0.000103 0.998061 0.000139 0.000529 0.000203
28.0 0.000118 0.997795 0.000162 0.000612 0.000225
29.0 0.000135 0.997511 0.000186 0.000702 0.000248
30.0 0.000153 0.997206 0.000212 0.000798 0.000270
31.0 0.000174 0.996878 0.000239 0.000902 0.000292
32.0 0.000197 0.996526 0.000267 0.001011 0.000313
33.0 0.000223 0.996156 0.000296 0.001126 0.000334
34.0 0.000253 0.995770 0.000326 0.001247 0.000355
35.0 0.000285 0.995372 0.000356 0.001373 0.000375
36.0 0.000322 0.994959 0.000386 0.001505 0.000396
37.0 0.000364 0.994526 0.000415 0.001641 0.000417
38.0 0.000410 0.994069 0.000442 0.001783 0.000437
39.0 0.000462 0.993592 0.000469 0.001929 0.000458
40.0 0.000520 0.993100 0.000493 0.002080 0.000477
41.0 0.000585 0.992598 0.000515 0.002235 0.000495
42.0 0.000656 0.992090 0.000533 0.002395 0.000512
43.0 0.000734 0.991570 0.000548 0.002559 0.000526
44.0 0.000818 0.991034 0.000560 0.002729 0.000537
45.0 0.000908 0.990481 0.000567 0.002903 0.000546
46.0 0.001005 0.989913 0.000570 0.003082 0.000553
47.0 0.001106 0.989339 0.000568 0.003267 0.000557
48.0 0.001210 0.988766 0.000561 0.003455 0.000560
49.0 0.001317 0.988194 0.000549 0.003649 0.000562
50.0 0.001423 0.987621 0.000532 0.003847 0.000563
51.0 0.001527 0.987042 0.000510 0.004049 0.000563
52.0 0.001627 0.986456 0.000484 0.004254 0.000563
53.0 0.001720 0.985869 0.000453 0.004461 0.000562
54.0 0.001804 0.985293 0.000418 0.004668 0.000560
55.0 0.001876 0.984738 0.000380 0.004874 0.000557
56.0 0.001933 0.984208 0.000340 0.005078 0.000551
57.0 0.001972 0.983701 0.000297 0.005277 0.000544
58.0 0.001993 0.983213 0.000254 0.005469 0.000534
59.0 0.001993 0.982744 0.000212 0.005652 0.000521
60.0 0.001971 0.982297 0.000171 0.005823 0.000507
61.0 0.001928 0.981880 0.000133 0.005979 0.000492
62.0 0.001865 0.981496 0.000100 0.006116 0.000475
63.0 0.001781 0.981147 0.000074 0.006234 0.000458
64.0 0.001680 0.980824 0.000056 0.006329 0.000440
65.0 0.001565 0.980520 0.000048 0.006399 0.000423
66.0 0.001439 0.980226 0.000052 0.006441 0.000406
67.0 0.001306 0.979938 0.000071 0.006454 0.000388
68.0 0.001170 0.979657 0.000107 0.006435 0.000371
69.0 0.001036 0.979383 0.000162 0.006385 0.000353
70.0 0.000909 0.979114 0.000239 0.006303 0.000334
71.0 0.000792 0.978838 0.000340 0.006189 0.000315
72.0 0.000689 0.978542 0.000468 0.006047 0.000294
73.0 0.000604 0.978214 0.000626 0.005877 0.000273
74.0 0.000539 0.977844 0.000816 0.005681 0.000251
75.0 0.000495 0.977427 0.001041 0.005463 0.000229
76.0 0.000473 0.976962 0.001304 0.005226 0.000208
77.0 0.000471 0.976448 0.001607 0.004974 0.000187
