#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73033834 -7.61648030 -7.48937524 -7.44039952 -7.19133458
1.0 -7.73034021 -7.61647809 -7.48937611 -7.44039954 -7.19136294
2.0 -7.73034706 -7.61647087 -7.48937955 -7.44040003 -7.19146138
3.0 -7.73036018 -7.61645998 -7.48938706 -7.44040238 -7.19163165
4.0 -7.73038177 -7.61644775 -7.48940114 -7.44040896 -7.19187613
5.0 -7.73041491 -7.61643750 -7.48942537 -7.44042312 -7.19219819
6.0 -7.73046357 -7.61643346 -7.48946429 -7.44044916 -7.19260211
7.0 -7.73053255 -7.61644079 -7.48952346 -7.44049231 -7.19309312
8.0 -7.73062752 -7.61646553 -7.48960939 -7.44055870 -7.19367734
9.0 -7.73075495 -7.61651459 -7.48972952 -7.44065535 -7.19436170
10.0 -7.73092206 -7.61659570 -7.48989215 -7.44079008 -7.19515397
11.0 -7.73113682 -7.61671737 -7.49010645 -7.44097152 -7.19606263
12.0 -7.73140790 -7.61688882 -7.49038236 -7.44120904 -7.19709687
13.0 -7.73174462 -7.61712000 -7.49073054 -7.44151272 -7.19826652
14.0 -7.73215688 -7.61742145 -7.49116237 -7.44189325 -7.19958194
15.0 -7.73265516 -7.61780431 -7.49168981 -7.44236193 -7.20105404
16.0 -7.73325043 -7.61828022 -7.49232541 -7.44293055 -7.20269412
17.0 -7.73395411 -7.61886129 -7.49308217 -7.44361139 -7.20451387
18.0 -7.73477798 -7.61956002 -7.49397354 -7.44441708 -7.20652522
19.0 -7.73573418 -7.62038923 -7.49501330 -7.44536061 -7.20874035
20.0 -7.73683510 -7.62136198 -7.49621553 -7.44645518 -7.21117156
21.0 -7.73809333 -7.62249155 -7.49759449 -7.44771419 -7.21383120
22.0 -7.73952160 -7.62379132 -7.49916456 -7.44915113 -7.21673158
23.0 -7.74113272 -7.62527470 -7.50094020 -7.45077950 -7.21988494
24.0 -7.74293948 -7.62695509 -7.50293580 -7.45261277 -7.22330333
25.0 -7.74495465 -7.62884580 -7.50516568 -7.45466424 -7.22699854
26.0 -7.74719084 -7.63095995 -7.50764396 -7.45694703 -7.23098205
27.0 -7.74966048 -7.63331042 -7.51038449 -7.45947395 -7.23526493
28.0 -7.75237573 -7.63590978 -7.51340081 -7.46225745 -7.23985780
29.0 -7.75534844 -7.63877022 -7.51670601 -7.46530954 -7.24477072
30.0 -7.75859004 -7.64190348 -7.52031271 -7.46864170 -7.25001318
31.0 -7.76211155 -7.64532077 -7.52423298 -7.47226482 -7.25559398
32.0 -7.76592342 -7.64903276 -7.52847824 -7.47618912 -7.26152123
33.0 -7.77003554 -7.65304943 -7.53305923 -7.48042410 -7.26780225
34.0 -7.77445717 -7.65738009 -7.53798589 -7.48497844 -7.27444354
35.0 -7.77919686 -7.66203330 -7.54326735 -7.48985997 -7.28145073
36.0 -7.78426241 -7.66701682 -7.54891186 -7.49507560 -7.28882852
37.0 -7.78966082 -7.67233754 -7.55492669 -7.50063126 -7.29658067
38.0 -7.79539821 -7.67800148 -7.56131814 -7.50653186 -7.30470992
39.0 -7.80147983 -7.68401371 -7.56809144 -7.51278122 -7.31321803
40.0 -7.80790998 -7.69037837 -7.57525073 -7.51938207 -7.32210568
41.0 -7.81469197 -7.69709857 -7.58279902 -7.52633602 -7.33137248
42.0 -7.82182812 -7.70417644 -7.59073817 -7.53364348 -7.34101699
43.0 -7.82931967 -7.71161306 -7.59906882 -7.54130370 -7.35103664
44.0 -7.83716684 -7.71940849 -7.60779041 -7.54931474 -7.36142777
45.0 -7.84536875 -7.72756172 -7.61690115 -7.55767345 -7.37218564
46.0 -7.85392342 -7.73607070 -7.62639802 -7.56637552 -7.38330439
47.0 -7.86282779 -7.74493236 -7.63627675 -7.57541545 -7.39477712
48.0 -7.87207769 -7.75414256 -7.64653184 -7.58478660 -7.40659583
49.0 -7.88166786 -7.76369615 -7.65715659 -7.59448121 -7.41875151
50.0 -7.89159197 -7.77358701 -7.66814306 -7.60449045 -7.43123412
51.0 -7.90184260 -7.78380799 -7.67948216 -7.61480446 -7.44403267
52.0 -7.91241133 -7.79435103 -7.69116366 -7.62541240 -7.45713520
53.0 -7.92328871 -7.80520715 -7.70317622 -7.63630253 -7.47052890
54.0 -7.93446433 -7.81636647 -7.71550747 -7.64746230 -7.48420012
55.0 -7.94592688 -7.82781830 -7.72814403 -7.65887837 -7.49813442
56.0 -7.95766414 -7.83955112 -7.74107160 -7.67053676 -7.51231663
57.0 -7.96966310 -7.85155268 -7.75427497 -7.68242289 -7.52673095
58.0 -7.98190997 -7.86381001 -7.76773818 -7.69452170 -7.54136098
59.0 -7.99439027 -7.87630949 -7.78144453 -7.70681773 -7.55618979
60.0 -8.00708888 -7.88903689 -7.79537667 -7.71929522 -7.57120003
61.0 -8.01999014 -7.90197745 -7.80951670 -7.73193821 -7.58637397
62.0 -8.03307790 -7.91511591 -7.82384624 -7.74473064 -7.60169358
63.0 -8.04633558 -7.92843657 -7.83834653 -7.75765642 -7.61714061
64.0 -8.05974626 -7.94192337 -7.85299850 -7.77069953 -7.63269669
65.0 -8.07329278 -7.95555991 -7.86778285 -7.78384409 -7.64834333
66.0 -8.08695778 -7.96932956 -7.88268019 -7.79707445 -7.66406209
67.0 -8.10072379 -7.98321551 -7.89767105 -7.81037526 -7.67983459
68.0 -8.11457331 -7.99720081 -7.91273602 -7.82373152 -7.69564259
