# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14 Pop_15 Pop_16 Pop_17 Pop_18 Pop_19 Pop_20 Pop_21 Pop_22 Pop_23 Pop_24 Pop_25 Pop_26 Pop_27 Pop_28 Pop_29 Pop_30 Pop_31 Pop_32 Pop_33 Pop_34 Pop_35 Pop_36 Pop_37 Pop_38 Pop_39 Pop_40 Pop_41 Pop_42 Pop_43 Pop_44 Pop_45 Pop_46 Pop_47 Pop_48 Pop_49 Pop_50 Pop_51 Pop_52 Pop_53 Pop_54 Pop_55 Pop_56 Pop_57 Pop_58 Pop_59 Pop_60 Pop_61 Pop_62 Pop_63 Pop_64 Pop_65 Pop_66 Pop_67 Pop_68 Pop_69 Pop_70 Pop_71 Pop_72 Pop_73 Pop_74 Pop_75 Pop_76 Pop_77 Pop_78 Pop_79 Pop_80 Pop_81 Pop_82 Pop_83 Pop_84 Pop_85 Pop_86 Pop_87 Pop_88 Pop_89 Pop_90 Pop_91 Pop_92 Pop_93 Pop_94 Pop_95 Pop_96 Pop_97 Pop_98 Pop_99 Pop_100 Pop_101 Pop_102 Pop_103 Pop_104
0.0 0.000033 0.000019 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000001 0.000003 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904129 0.005049 0.027991 0.008399 0.000297 0.000577 0.013570 0.004584 0.000896 0.000214 0.000049 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000057 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000003 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003255 0.029553 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001103 0.000001 0.000001 0.000000 0.000000
1.0 0.000033 0.000019 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000000 0.000001 0.000003 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904129 0.005049 0.027991 0.008399 0.000297 0.000577 0.013570 0.004585 0.000896 0.000214 0.000049 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000057 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000003 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003255 0.029553 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001103 0.000001 0.000001 0.000000 0.000000
2.0 0.000032 0.000019 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000001 0.000001 0.000002 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904127 0.005050 0.027990 0.008399 0.000297 0.000577 0.013568 0.004590 0.000896 0.000214 0.000048 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000057 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000003 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003255 0.029553 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001104 0.000001 0.000001 0.000000 0.000000
3.0 0.000031 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000001 0.000001 0.000002 0.000002 0.000001 0.000004 0.000001 0.000002 0.000003 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904115 0.005050 0.027987 0.008399 0.000298 0.000577 0.013560 0.004610 0.000895 0.000214 0.000047 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000056 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003256 0.029554 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001107 0.000001 0.000001 0.000000 0.000000
4.0 0.000030 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000002 0.000000 0.000002 0.000002 0.000000 0.000004 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904085 0.005052 0.027983 0.008400 0.000299 0.000577 0.013543 0.004650 0.000894 0.000215 0.000045 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000033 0.000000 0.000000 0.000056 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003258 0.029558 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001111 0.000001 0.000001 0.000000 0.000000
5.0 0.000029 0.000018 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000004 0.000000 0.000002 0.000002 0.000000 0.000004 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.904035 0.005054 0.027980 0.008402 0.000300 0.000577 0.013515 0.004710 0.000892 0.000215 0.000042 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000056 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003261 0.029569 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001117 0.000001 0.000001 0.000000 0.000000
6.0 0.000027 0.000017 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000007 0.000000 0.000002 0.000002 0.000000 0.000004 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903961 0.005055 0.027981 0.008408 0.000302 0.000578 0.013477 0.004781 0.000889 0.000216 0.000039 0.000005 0.000002 0.000033 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000055 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000022 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003266 0.029592 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001123 0.000001 0.000001 0.000000 0.000000
7.0 0.000025 0.000017 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000011 0.000000 0.000002 0.000002 0.000000 0.000005 0.000001 0.000002 0.000004 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903859 0.005056 0.027990 0.008419 0.000305 0.000580 0.013434 0.004855 0.000887 0.000217 0.000036 0.000005 0.000002 0.000034 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000054 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000021 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003271 0.029630 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001131 0.000001 0.000001 0.000000 0.000000
8.0 0.000023 0.000016 0.000004 0.000000 0.000004 0.000000 0.000003 0.000002 0.000000 0.000000 0.000017 0.000000 0.000001 0.000002 0.000000 0.000005 0.000001 0.000002 0.000005 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903726 0.005054 0.028006 0.008436 0.000309 0.000582 0.013388 0.004931 0.000884 0.000218 0.000032 0.000005 0.000001 0.000034 0.000002 0.000000 0.000000 0.000032 0.000000 0.000000 0.000053 0.000000 0.000001 0.000001 0.000002 0.000000 0.000000 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000004 0.000021 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003277 0.029682 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001140 0.000001 0.000001 0.000000 0.000000
9.0 0.000020 0.000016 0.000004 0.000000 0.000005 0.000000 0.000003 0.000002 0.000000 0.000000 0.000025 0.000001 0.000001 0.000002 0.000000 0.000006 0.000001 0.000002 0.000005 0.000001 0.000011 0.000009 0.000000 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.903557 0.005048 0.028029 0.008464 0.000313 0.000584 0.013341 0.005015 0.000883 0.000220 0.000028 0.000005 0.000001 0.000035 0.000002 0.000000 0.000000 0.000031 0.000000 0.000000 0.000053 0.000000 0.000001 0.000001 0.000002 0.000000 0.000001 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000001 0.000005 0.000021 0.000000 0.000000 0.000001 0.000000 0.000000 0.000000 0.000000 0.003283 0.029744 0.000007 0.000038 0.000000 0.000000 0.000004 0.000000 0.000000 0.000000 0.001150 0.000001 0.000001 0.000000 0.000000
