#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.72879583 -7.61555314 -7.48803884 -7.43936432 -7.18877372
1.0 -7.72879867 -7.61555364 -7.48803887 -7.43936429 -7.18879975
2.0 -7.72880821 -7.61555539 -7.48803904 -7.43936430 -7.18888644
3.0 -7.72882463 -7.61555867 -7.48803966 -7.43936464 -7.18903371
4.0 -7.72884826 -7.61556393 -7.48804118 -7.43936582 -7.18924141
5.0 -7.72887950 -7.61557180 -7.48804426 -7.43936852 -7.18950934
6.0 -7.72891891 -7.61558308 -7.48804974 -7.43937362 -7.18983725
7.0 -7.72896712 -7.61559872 -7.48805859 -7.43938219 -7.19022480
8.0 -7.72902489 -7.61561983 -7.48807196 -7.43939544 -7.19067160
9.0 -7.72909302 -7.61564763 -7.48809113 -7.43941473 -7.19117719
10.0 -7.72917242 -7.61568347 -7.48811749 -7.43944155 -7.19174102
11.0 -7.72926403 -7.61572878 -7.48815252 -7.43947749 -7.19236245
12.0 -7.72936883 -7.61578507 -7.48819779 -7.43952426 -7.19304077
13.0 -7.72948783 -7.61585390 -7.48825491 -7.43958359 -7.19377518
14.0 -7.72962205 -7.61593686 -7.48832554 -7.43965728 -7.19456477
15.0 -7.72977250 -7.61603556 -7.48841133 -7.43974716 -7.19540855
16.0 -7.72994016 -7.61615159 -7.48851393 -7.43985504 -7.19630538
17.0 -7.73012597 -7.61628650 -7.48863496 -7.43998272 -7.19725407
18.0 -7.73033081 -7.61644181 -7.48877598 -7.44013197 -7.19825326
19.0 -7.73055550 -7.61661896 -7.48893847 -7.44030446 -7.19930151
20.0 -7.73080077 -7.61681929 -7.48912383 -7.44050182 -7.20039724
21.0 -7.73106725 -7.61704405 -7.48933334 -7.44072555 -7.20153878
22.0 -7.73135544 -7.61729435 -7.48956816 -7.44097705 -7.20272430
23.0 -7.73166576 -7.61757118 -7.48982929 -7.44125759 -7.20395188
24.0 -7.73199846 -7.61787538 -7.49011759 -7.44156830 -7.20521946
25.0 -7.73235369 -7.61820762 -7.49043376 -7.44191013 -7.20652487
26.0 -7.73273143 -7.61856843 -7.49077833 -7.44228390 -7.20786583
27.0 -7.73313152 -7.61895815 -7.49115162 -7.44269026 -7.20923995
28.0 -7.73355367 -7.61937694 -7.49155382 -7.44312966 -7.21064473
29.0 -7.73399741 -7.61982480 -7.49198488 -7.44360240 -7.21207756
30.0 -7.73446215 -7.62030154 -7.49244460 -7.44410859 -7.21353575
31.0 -7.73494713 -7.62080681 -7.49293259 -7.44464819 -7.21501654
32.0 -7.73545146 -7.62134006 -7.49344827 -7.44522096 -7.21651705
33.0 -7.73597411 -7.62190060 -7.49399090 -7.44582650 -7.21803438
34.0 -7.73651393 -7.62248758 -7.49455956 -7.44646426 -7.21956554
35.0 -7.73706962 -7.62309997 -7.49515319 -7.44713354 -7.22110752
36.0 -7.73763979 -7.62373664 -7.49577055 -7.44783348 -7.22265723
37.0 -7.73822294 -7.62439629 -7.49641030 -7.44856310 -7.22421161
38.0 -7.73881745 -7.62507751 -7.49707093 -7.44932130 -7.22576753
39.0 -7.73942164 -7.62577879 -7.49775084 -7.45010685 -7.22732190
40.0 -7.74003376 -7.62649852 -7.49844833 -7.45091844 -7.22887162
41.0 -7.74065198 -7.62723499 -7.49916160 -7.45175465 -7.23041360
42.0 -7.74127441 -7.62798643 -7.49988877 -7.45261401 -7.23194479
43.0 -7.74189915 -7.62875100 -7.50062790 -7.45349496 -7.23346219
44.0 -7.74252425 -7.62952683 -7.50137700 -7.45439589 -7.23496284
45.0 -7.74314775 -7.63031200 -7.50213403 -7.45531517 -7.23644382
46.0 -7.74376767 -7.63110456 -7.50289694 -7.45625111 -7.23790232
47.0 -7.74438205 -7.63190256 -7.50366365 -7.45720201 -7.23933558
48.0 -7.74498894 -7.63270405 -7.50443208 -7.45816616 -7.24074094
49.0 -7.74558640 -7.63350707 -7.50520015 -7.45914183 -7.24211580
50.0 -7.74617254 -7.63430969 -7.50596579 -7.46012730 -7.24345770
51.0 -7.74674548 -7.63511000 -7.50672695 -7.46112088 -7.24476425
52.0 -7.74730341 -7.63590611 -7.50748163 -7.46212084 -7.24603318
53.0 -7.74784457 -7.63669618 -7.50822783 -7.46312553 -7.24726233
54.0 -7.74836724 -7.63747840 -7.50896362 -7.46413326 -7.24844965
55.0 -7.74886978 -7.63825104 -7.50968710 -7.46514242 -7.24959321
56.0 -7.74935059 -7.63901237 -7.51039643 -7.46615138 -7.25069118
57.0 -7.74980818 -7.63976075 -7.51108979 -7.46715857 -7.25174186
58.0 -7.75024109 -7.64049459 -7.51176546 -7.46816241 -7.25274365
59.0 -7.75064796 -7.64121234 -7.51242174 -7.46916139 -7.25369508
60.0 -7.75102749 -7.64191253 -7.51305700 -7.47015398 -7.25459477
61.0 -7.75137846 -7.64259374 -7.51366967 -7.47113870 -7.25544147
62.0 -7.75169973 -7.64325460 -7.51425825 -7.47211408 -7.25623402
63.0 -7.75199023 -7.64389380 -7.51482126 -7.47307868 -7.25697138
64.0 -7.75224897 -7.64451011 -7.51535732 -7.47403107 -7.25765259
65.0 -7.75247503 -7.64510232 -7.51586508 -7.47496983 -7.25827680
66.0 -7.75266755 -7.64566931 -7.51634326 -7.47589356 -7.25884325
67.0 -7.75282579 -7.64620999 -7.51679064 -7.47680088 -7.25935126
68.0 -7.75294902 -7.64672333 -7.51720605 -7.47769041 -7.25980026
69.0 -7.75303662 -7.64720837 -7.51758838 -7.47856079 -7.26018973
70.0 -7.75308804 -7.64766417 -7.51793657 -7.47941067 -7.26051926
71.0 -7.75310277 -7.64808986 -7.51824964 -7.48023870 -7.26078850
72.0 -7.75308040 -7.64848464 -7.51852665 -7.48104357 -7.26099718
73.0 -7.75302056 -7.64884772 -7.51876673 -7.48182395 -7.26114509
74.0 -7.75292296 -7.64917840 -7.51896907 -7.48257857 -7.26123212
75.0 -7.75278737 -7.64947601 -7.51913292 -7.48330615 -7.26125820
76.0 -7.75261363 -7.64973995 -7.51925759 -7.48400544 -7.26122333
77.0 -7.75240163 -7.64996966 -7.51934249 -7.48467524 -7.26112758
78.0 -7.75215134 -7.65016464 -7.51938705 -7.48531435 -7.26097109
79.0 -7.75186277 -7.65032445 -7.51939082 -7.48592164 -7.26075405
80.0 -7.75153601 -7.65044871 -7.51935340 -7.48649602 -7.26047673
81.0 -7.75117121 -7.65053709 -7.51927446 -7.48703643 -7.26013944
82.0 -7.75076858 -7.65058934 -7.51915377 -7.48754188 -7.25974258
83.0 -7.75032838 -7.65060525 -7.51899117 -7.48801145 -7.25928658
84.0 -7.74985094 -7.65058470 -7.51878660 -7.48844428 -7.25877195
85.0 -7.74933665 -7.65052762 -7.51854005 -7.48883956 -7.25819927
86.0 -7.74878597 -7.65043400 -7.51825164 -7.48919660 -7.25756916
87.0 -7.74819939 -7.65030393 -7.51792156 -7.48951476 -7.25688231
88.0 -7.74757748 -7.65013754 -7.51755008 -7.48979349 -7.25613947
89.0 -7.74692087 -7.64993503 -7.51713757 -7.49003233 -7.25534146
90.0 -7.74623024 -7.64969669 -7.51668450 -7.49023093 -7.25448914
91.0 -7.74550631 -7.64942287 -7.51619142 -7.49038899 -7.25358345
92.0 -7.74474987 -7.64911399 -7.51565897 -7.49050634 -7.25262537
93.0 -7.74396176 -7.64877052 -7.51508789 -7.49058290 -7.25161596
94.0 -7.74314285 -7.64839303 -7.51447900 -7.49061867 -7.25055631
95.0 -7.74229409 -7.64798213 -7.51383319 -7.49061375 -7.24944759
96.0 -7.74141644 -7.64753851 -7.51315147 -7.49056832 -7.24829101
97.0 -7.74051093 -7.64706290 -7.51243490 -7.49048268 -7.24708783
98.0 -7.73957861 -7.64655612 -7.51168465 -7.49035717 -7.24583937
99.0 -7.73862056 -7.64601902 -7.51090193 -7.49019223 -7.24454700
100.0 -7.73763793 -7.64545251 -7.51008807 -7.48998839 -7.24321211
101.0 -7.73663185 -7.64485757 -7.50924443 -7.48974624 -7.24183618
102.0 -7.73560351 -7.64423519 -7.50837246 -7.48946641 -7.24042068
103.0 -7.73455413 -7.64358644 -7.50747368 -7.48914963 -7.23896715
104.0 -7.73348492 -7.64291241 -7.50654966 -7.48879665 -7.23747716
105.0 -7.73239714 -7.64221423 -7.50560203 -7.48840828 -7.23595231
106.0 -7.73129203 -7.64149305 -7.50463248 -7.48798537 -7.23439421
