# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004797 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
1.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004798 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
2.0 0.904840 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004800 0.000893 0.000201 0.003460 0.029431 0.000038 0.000004 0.001127
3.0 0.904827 0.005029 0.028033 0.007666 0.000274 0.000533 0.013670 0.004810 0.000893 0.000201 0.003460 0.029433 0.000038 0.000004 0.001129
4.0 0.904796 0.005029 0.028028 0.007667 0.000275 0.000533 0.013676 0.004830 0.000893 0.000201 0.003460 0.029439 0.000038 0.000004 0.001132
5.0 0.904744 0.005028 0.028021 0.007669 0.000276 0.000533 0.013686 0.004860 0.000893 0.000200 0.003460 0.029453 0.000038 0.000004 0.001135
6.0 0.904670 0.005026 0.028014 0.007672 0.000277 0.000532 0.013700 0.004897 0.000892 0.000200 0.003460 0.029478 0.000038 0.000004 0.001139
7.0 0.904574 0.005023 0.028009 0.007677 0.000278 0.000532 0.013717 0.004936 0.000891 0.000200 0.003460 0.029517 0.000038 0.000004 0.001144
8.0 0.904457 0.005018 0.028007 0.007686 0.000280 0.000532 0.013734 0.004976 0.000890 0.000199 0.003460 0.029569 0.000038 0.000004 0.001149
9.0 0.904320 0.005011 0.028008 0.007698 0.000282 0.000532 0.013752 0.005019 0.000890 0.000199 0.003459 0.029633 0.000038 0.000004 0.001156
10.0 0.904161 0.005001 0.028012 0.007714 0.000284 0.000532 0.013770 0.005071 0.000889 0.000199 0.003459 0.029703 0.000038 0.000004 0.001162
11.0 0.903983 0.004989 0.028016 0.007736 0.000287 0.000532 0.013789 0.005134 0.000889 0.000198 0.003457 0.029777 0.000038 0.000004 0.001169
12.0 0.903790 0.004973 0.028021 0.007764 0.000290 0.000532 0.013810 0.005206 0.000888 0.000198 0.003456 0.029852 0.000038 0.000004 0.001178
13.0 0.903587 0.004954 0.028023 0.007800 0.000293 0.000532 0.013836 0.005282 0.000886 0.000198 0.003453 0.029927 0.000038 0.000004 0.001187
14.0 0.903381 0.004930 0.028022 0.007843 0.000297 0.000533 0.013864 0.005359 0.000885 0.000198 0.003449 0.030002 0.000038 0.000004 0.001196
15.0 0.903174 0.004901 0.028015 0.007895 0.000301 0.000534 0.013896 0.005437 0.000884 0.000198 0.003444 0.030077 0.000037 0.000004 0.001205
16.0 0.902964 0.004868 0.027999 0.007956 0.000305 0.000535 0.013929 0.005517 0.000884 0.000198 0.003437 0.030153 0.000037 0.000004 0.001215
17.0 0.902751 0.004829 0.027973 0.008025 0.000309 0.000537 0.013960 0.005607 0.000883 0.000198 0.003429 0.030232 0.000036 0.000004 0.001226
18.0 0.902531 0.004786 0.027937 0.008104 0.000315 0.000539 0.013991 0.005706 0.000882 0.000198 0.003420 0.030315 0.000036 0.000004 0.001237
19.0 0.902302 0.004737 0.027893 0.008192 0.000320 0.000541 0.014021 0.005813 0.000881 0.000198 0.003410 0.030405 0.000035 0.000004 0.001249
20.0 0.902063 0.004681 0.027843 0.008289 0.000326 0.000543 0.014053 0.005922 0.000880 0.000198 0.003398 0.030503 0.000034 0.000004 0.001261
21.0 0.901815 0.004619 0.027791 0.008394 0.000333 0.000546 0.014089 0.006031 0.000879 0.000199 0.003384 0.030609 0.000033 0.000004 0.001274
22.0 0.901558 0.004550 0.027737 0.008508 0.000340 0.000549 0.014128 0.006140 0.000879 0.000199 0.003369 0.030721 0.000032 0.000004 0.001286
23.0 0.901291 0.004473 0.027683 0.008629 0.000347 0.000553 0.014170 0.006254 0.000880 0.000200 0.003352 0.030836 0.000031 0.000004 0.001299
24.0 0.901018 0.004388 0.027626 0.008757 0.000355 0.000556 0.014214 0.006375 0.000880 0.000200 0.003333 0.030951 0.000029 0.000004 0.001312
25.0 0.900743 0.004297 0.027565 0.008890 0.000363 0.000559 0.014258 0.006506 0.000880 0.000201 0.003314 0.031066 0.000028 0.000004 0.001326
26.0 0.900474 0.004198 0.027498 0.009029 0.000372 0.000561 0.014302 0.006641 0.000880 0.000201 0.003293 0.031178 0.000027 0.000004 0.001341
27.0 0.900217 0.004093 0.027422 0.009171 0.000381 0.000564 0.014347 0.006777 0.000880 0.000202 0.003271 0.031291 0.000026 0.000004 0.001355
28.0 0.899976 0.003982 0.027335 0.009315 0.000390 0.000567 0.014393 0.006909 0.000881 0.000202 0.003248 0.031405 0.000025 0.000004 0.001369
29.0 0.899751 0.003866 0.027234 0.009461 0.000399 0.000570 0.014442 0.007040 0.000883 0.000203 0.003223 0.031519 0.000023 0.000004 0.001384
30.0 0.899542 0.003744 0.027117 0.009606 0.000408 0.000573 0.014494 0.007174 0.000885 0.000203 0.003197 0.031633 0.000022 0.000004 0.001399
31.0 0.899348 0.003619 0.026982 0.009750 0.000417 0.000575 0.014550 0.007314 0.000886 0.000204 0.003171 0.031746 0.000020 0.000004 0.001414
