# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 1.000000 0.000000 0.000000 0.000000
3.0 0.000000 1.000000 0.000000 0.000000 0.000000
4.0 0.000000 0.999999 0.000000 0.000000 0.000000
5.0 0.000000 0.999998 0.000000 0.000000 0.000000
6.0 0.000000 0.999996 0.000000 0.000001 0.000001
7.0 0.000000 0.999992 0.000000 0.000002 0.000001
8.0 0.000000 0.999986 0.000000 0.000003 0.000002
9.0 0.000001 0.999977 0.000000 0.000005 0.000003
10.0 0.000001 0.999964 0.000001 0.000007 0.000005
11.0 0.000002 0.999947 0.000001 0.000011 0.000008
12.0 0.000002 0.999924 0.000002 0.000016 0.000011
13.0 0.000003 0.999896 0.000003 0.000023 0.000015
14.0 0.000005 0.999861 0.000005 0.000032 0.000020
15.0 0.000006 0.999818 0.000007 0.000043 0.000026
16.0 0.000008 0.999768 0.000009 0.000058 0.000032
17.0 0.000011 0.999708 0.000013 0.000075 0.000039
18.0 0.000014 0.999637 0.000018 0.000095 0.000046
19.0 0.000018 0.999554 0.000024 0.000120 0.000054
20.0 0.000023 0.999459 0.000031 0.000149 0.000063
21.0 0.000029 0.999354 0.000040 0.000182 0.000072
22.0 0.000035 0.999237 0.000051 0.000220 0.000083
23.0 0.000043 0.999107 0.000063 0.000263 0.000093
24.0 0.000053 0.998964 0.000078 0.000310 0.000105
25.0 0.000063 0.998807 0.000095 0.000363 0.000117
26.0 0.000076 0.998637 0.000114 0.000420 0.000129
27.0 0.000090 0.998458 0.000136 0.000482 0.000140
28.0 0.000106 0.998269 0.000160 0.000548 0.000151
29.0 0.000123 0.998073 0.000187 0.000618 0.000160
30.0 0.000143 0.997869 0.000216 0.000692 0.000168
31.0 0.000165 0.997656 0.000248 0.000769 0.000174
32.0 0.000189 0.997436 0.000282 0.000848 0.000178
33.0 0.000216 0.997211 0.000318 0.000930 0.000181
34.0 0.000245 0.996984 0.000357 0.001013 0.000181
35.0 0.000276 0.996757 0.000397 0.001098 0.000181
36.0 0.000310 0.996532 0.000439 0.001184 0.000178
37.0 0.000347 0.996306 0.000482 0.001270 0.000174
38.0 0.000386 0.996081 0.000526 0.001356 0.000168
39.0 0.000428 0.995857 0.000571 0.001442 0.000161
40.0 0.000472 0.995637 0.000616 0.001527 0.000152
41.0 0.000519 0.995424 0.000661 0.001613 0.000140
42.0 0.000569 0.995218 0.000706 0.001698 0.000127
43.0 0.000621 0.995017 0.000749 0.001782 0.000112
44.0 0.000676 0.994819 0.000791 0.001867 0.000096
45.0 0.000734 0.994625 0.000832 0.001952 0.000079
46.0 0.000794 0.994433 0.000870 0.002038 0.000062
47.0 0.000857 0.994246 0.000906 0.002124 0.000045
48.0 0.000923 0.994063 0.000939 0.002212 0.000030
49.0 0.000992 0.993882 0.000970 0.002302 0.000017
50.0 0.001064 0.993700 0.000997 0.002394 0.000008
51.0 0.001139 0.993512 0.001021 0.002489 0.000003
52.0 0.001217 0.993316 0.001041 0.002587 0.000002
53.0 0.001299 0.993110 0.001058 0.002688 0.000007
54.0 0.001386 0.992893 0.001071 0.002793 0.000019
55.0 0.001477 0.992663 0.001081 0.002902 0.000040
56.0 0.001572 0.992416 0.001087 0.003014 0.000069
57.0 0.001674 0.992149 0.001090 0.003129 0.000111
58.0 0.001781 0.991857 0.001090 0.003249 0.000165
59.0 0.001896 0.991537 0.001087 0.003371 0.000234
60.0 0.002018 0.991186 0.001081 0.003497 0.000318
61.0 0.002148 0.990802 0.001072 0.003625 0.000421
62.0 0.002288 0.990381 0.001062 0.003755 0.000541
63.0 0.002439 0.989919 0.001050 0.003886 0.000682
64.0 0.002601 0.989412 0.001036 0.004018 0.000843
65.0 0.002776 0.988858 0.001022 0.004150 0.001025
66.0 0.002965 0.988252 0.001007 0.004281 0.001230
67.0 0.003168 0.987593 0.000992 0.004411 0.001460
68.0 0.003388 0.986877 0.000977 0.004540 0.001716
69.0 0.003625 0.986100 0.000963 0.004667 0.002001
70.0 0.003880 0.985260 0.000949 0.004791 0.002317
71.0 0.004155 0.984352 0.000936 0.004912 0.002665
72.0 0.004450 0.983376 0.000924 0.005031 0.003046
73.0 0.004766 0.982329 0.000913 0.005147 0.003460
74.0 0.005104 0.981210 0.000903 0.005260 0.003908
75.0 0.005465 0.980015 0.000895 0.005371 0.004388
76.0 0.005848 0.978746 0.000889 0.005479 0.004901
77.0 0.006255 0.977401 0.000883 0.005587 0.005446
