#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.61648032 -7.61648032 1.0
1.0 0.00007165 -7.61655161 -7.61647996 1.000000000000001
2.0 0.00030710 -7.61678706 -7.61647996 1.000000000000003
3.0 0.00070605 -7.61718600 -7.61647996 1.0000000000000047
4.0 0.00126739 -7.61774735 -7.61647995 1.0000000000000022
5.0 0.00198960 -7.61846954 -7.61647994 1.0000000000000013
6.0 0.00287072 -7.61935064 -7.61647993 0.999999999999999
7.0 0.00390833 -7.62038824 -7.61647991 0.9999999999999958
8.0 0.00509964 -7.62157952 -7.61647988 0.9999999999999959
9.0 0.00644141 -7.62292126 -7.61647985 0.9999999999999962
10.0 0.00793007 -7.62440988 -7.61647981 0.9999999999999967
11.0 0.00956171 -7.62604146 -7.61647975 0.9999999999999971
12.0 0.01133207 -7.62781176 -7.61647969 0.9999999999999991
13.0 0.01323661 -7.62971621 -7.61647961 1.0000000000000016
14.0 0.01527040 -7.63174993 -7.61647952 1.000000000000002
15.0 0.01742829 -7.63390771 -7.61647942 1.000000000000002
16.0 0.01970485 -7.63618417 -7.61647931 1.0000000000000029
17.0 0.02209448 -7.63857366 -7.61647918 1.000000000000006
18.0 0.02459141 -7.64107045 -7.61647904 1.0000000000000073
19.0 0.02718973 -7.64366861 -7.61647888 1.0000000000000082
20.0 0.02988335 -7.64636204 -7.61647870 1.0000000000000089
21.0 0.03266604 -7.64914454 -7.61647850 1.0000000000000115
22.0 0.03553149 -7.65200978 -7.61647829 1.0000000000000102
23.0 0.03847329 -7.65495135 -7.61647806 1.0000000000000113
24.0 0.04148508 -7.65796290 -7.61647781 1.000000000000011
25.0 0.04456050 -7.66103805 -7.61647754 1.0000000000000122
26.0 0.04769316 -7.66417042 -7.61647725 1.0000000000000095
27.0 0.05087667 -7.66735362 -7.61647695 1.0000000000000078
28.0 0.05410466 -7.67058128 -7.61647662 1.000000000000009
29.0 0.05737079 -7.67384707 -7.61647628 1.0000000000000082
30.0 0.06066889 -7.67714481 -7.61647592 1.0000000000000109
31.0 0.06399294 -7.68046847 -7.61647553 1.0000000000000109
32.0 0.06733699 -7.68381212 -7.61647512 1.0000000000000093
33.0 0.07069528 -7.68716997 -7.61647469 1.000000000000008
34.0 0.07406212 -7.69053636 -7.61647424 1.0000000000000082
35.0 0.07743194 -7.69390571 -7.61647378 1.0000000000000098
36.0 0.08079931 -7.69727260 -7.61647329 1.0000000000000084
37.0 0.08415907 -7.70063185 -7.61647278 1.0000000000000062
38.0 0.08750627 -7.70397852 -7.61647225 1.0000000000000084
39.0 0.09083614 -7.70730783 -7.61647170 1.0000000000000089
40.0 0.09414414 -7.71061526 -7.61647112 1.0000000000000064
41.0 0.09742587 -7.71389639 -7.61647053 1.0000000000000058
42.0 0.10067708 -7.71714699 -7.61646991 1.000000000000007
43.0 0.10389384 -7.72036311 -7.61646927 1.0000000000000075
44.0 0.10707239 -7.72354100 -7.61646861 1.0000000000000075
45.0 0.11020923 -7.72667716 -7.61646792 1.000000000000008
46.0 0.11330115 -7.72976836 -7.61646721 1.0000000000000089
47.0 0.11634505 -7.73281153 -7.61646648 1.0000000000000084
48.0 0.11933805 -7.73580377 -7.61646572 1.0000000000000087
49.0 0.12227749 -7.73874243 -7.61646494 1.0000000000000084
50.0 0.12516087 -7.74162501 -7.61646414 1.0000000000000104
51.0 0.12798596 -7.74444926 -7.61646331 1.0000000000000098
52.0 0.13075075 -7.74721320 -7.61646245 1.0000000000000075
53.0 0.13345345 -7.74991502 -7.61646157 1.000000000000007
54.0 0.13609242 -7.75255309 -7.61646066 1.000000000000006
55.0 0.13866621 -7.75512593 -7.61645973 1.0000000000000053
56.0 0.14117359 -7.75763235 -7.61645876 1.000000000000006
57.0 0.14361350 -7.76007127 -7.61645777 1.0000000000000056
58.0 0.14598505 -7.76244180 -7.61645675 1.0000000000000038
59.0 0.14828759 -7.76474328 -7.61645569 1.0000000000000022
