# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4 Pop_5 Pop_6 Pop_7 Pop_8 Pop_9 Pop_10 Pop_11 Pop_12 Pop_13 Pop_14
0.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004797 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
1.0 0.904844 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004798 0.000893 0.000201 0.003460 0.029430 0.000038 0.000004 0.001127
2.0 0.904840 0.005029 0.028036 0.007666 0.000274 0.000533 0.013667 0.004800 0.000893 0.000201 0.003460 0.029431 0.000038 0.000004 0.001127
3.0 0.904826 0.005029 0.028033 0.007666 0.000274 0.000533 0.013671 0.004809 0.000893 0.000201 0.003459 0.029432 0.000038 0.000004 0.001129
4.0 0.904796 0.005029 0.028029 0.007667 0.000275 0.000533 0.013679 0.004829 0.000893 0.000200 0.003460 0.029437 0.000038 0.000004 0.001132
5.0 0.904744 0.005027 0.028023 0.007669 0.000276 0.000533 0.013691 0.004858 0.000893 0.000200 0.003460 0.029449 0.000038 0.000004 0.001135
6.0 0.904671 0.005025 0.028018 0.007672 0.000277 0.000532 0.013709 0.004892 0.000892 0.000200 0.003460 0.029470 0.000038 0.000004 0.001139
7.0 0.904577 0.005022 0.028015 0.007678 0.000278 0.000532 0.013730 0.004929 0.000892 0.000200 0.003460 0.029503 0.000038 0.000004 0.001143
8.0 0.904463 0.005016 0.028015 0.007687 0.000280 0.000532 0.013752 0.004966 0.000891 0.000199 0.003459 0.029548 0.000038 0.000004 0.001149
9.0 0.904329 0.005008 0.028019 0.007700 0.000281 0.000532 0.013774 0.005008 0.000891 0.000199 0.003458 0.029603 0.000038 0.000004 0.001155
10.0 0.904176 0.004999 0.028025 0.007717 0.000284 0.000532 0.013797 0.005057 0.000891 0.000198 0.003458 0.029663 0.000038 0.000004 0.001161
11.0 0.904003 0.004986 0.028032 0.007740 0.000286 0.000533 0.013821 0.005116 0.000890 0.000198 0.003457 0.029727 0.000038 0.000004 0.001169
12.0 0.903814 0.004970 0.028039 0.007770 0.000289 0.000533 0.013848 0.005184 0.000890 0.000198 0.003455 0.029792 0.000038 0.000004 0.001177
13.0 0.903614 0.004950 0.028044 0.007806 0.000292 0.000533 0.013881 0.005255 0.000889 0.000198 0.003453 0.029857 0.000038 0.000004 0.001186
14.0 0.903410 0.004926 0.028046 0.007852 0.000296 0.000534 0.013917 0.005328 0.000888 0.000198 0.003449 0.029922 0.000038 0.000004 0.001195
15.0 0.903203 0.004897 0.028042 0.007905 0.000300 0.000535 0.013958 0.005400 0.000887 0.000197 0.003444 0.029986 0.000037 0.000004 0.001204
16.0 0.902993 0.004863 0.028030 0.007968 0.000304 0.000537 0.013999 0.005476 0.000887 0.000197 0.003438 0.030052 0.000037 0.000004 0.001214
17.0 0.902778 0.004825 0.028009 0.008041 0.000308 0.000539 0.014040 0.005560 0.000887 0.000197 0.003431 0.030120 0.000037 0.000004 0.001225
18.0 0.902556 0.004782 0.027979 0.008122 0.000313 0.000541 0.014080 0.005653 0.000887 0.000197 0.003422 0.030192 0.000036 0.000004 0.001236
19.0 0.902325 0.004733 0.027942 0.008213 0.000319 0.000543 0.014120 0.005752 0.000886 0.000197 0.003413 0.030269 0.000035 0.000004 0.001247
20.0 0.902085 0.004678 0.027900 0.008313 0.000325 0.000546 0.014162 0.005854 0.000886 0.000198 0.003402 0.030354 0.000034 0.000004 0.001259
21.0 0.901833 0.004616 0.027857 0.008422 0.000331 0.000549 0.014209 0.005956 0.000886 0.000198 0.003389 0.030445 0.000033 0.000004 0.001271
22.0 0.901571 0.004547 0.027812 0.008540 0.000338 0.000553 0.014261 0.006057 0.000887 0.000198 0.003375 0.030543 0.000032 0.000004 0.001284
23.0 0.901299 0.004472 0.027766 0.008664 0.000345 0.000556 0.014316 0.006163 0.000888 0.000199 0.003358 0.030643 0.000031 0.000004 0.001296
24.0 0.901019 0.004389 0.027718 0.008796 0.000353 0.000560 0.014374 0.006276 0.000889 0.000199 0.003341 0.030744 0.000030 0.000004 0.001310
25.0 0.900738 0.004299 0.027666 0.008933 0.000360 0.000563 0.014432 0.006396 0.000889 0.000200 0.003323 0.030845 0.000029 0.000004 0.001324
26.0 0.900462 0.004202 0.027609 0.009074 0.000368 0.000566 0.014490 0.006522 0.000889 0.000200 0.003303 0.030945 0.000027 0.000004 0.001338
27.0 0.900197 0.004099 0.027544 0.009219 0.000377 0.000570 0.014549 0.006647 0.000890 0.000201 0.003281 0.031046 0.000026 0.000004 0.001352
28.0 0.899947 0.003991 0.027468 0.009366 0.000385 0.000573 0.014610 0.006768 0.000892 0.000201 0.003258 0.031147 0.000025 0.000004 0.001366
29.0 0.899712 0.003877 0.027379 0.009514 0.000394 0.000576 0.014675 0.006888 0.000894 0.000201 0.003233 0.031249 0.000024 0.000004 0.001381
30.0 0.899491 0.003759 0.027275 0.009661 0.000402 0.000579 0.014744 0.007011 0.000896 0.000201 0.003207 0.031350 0.000022 0.000004 0.001396
31.0 0.899285 0.003638 0.027156 0.009806 0.000411 0.000582 0.014818 0.007139 0.000899 0.000202 0.003180 0.031451 0.000021 0.000004 0.001411
