#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73033835 -7.61648031 -7.48937523 -7.44039952 -7.19133457
1.0 -7.73033818 -7.61647991 -7.48937268 -7.44039731 -7.19136866
2.0 -7.73033810 -7.61647915 -7.48936552 -7.44039117 -7.19147140
3.0 -7.73033937 -7.61647949 -7.48935526 -7.44038256 -7.19164427
4.0 -7.73034409 -7.61648328 -7.48934436 -7.44037393 -7.19188967
5.0 -7.73035518 -7.61649381 -7.48933629 -7.44036869 -7.19221098
6.0 -7.73037634 -7.61651528 -7.48933544 -7.44037115 -7.19261246
7.0 -7.73041207 -7.61655276 -7.48934712 -7.44038654 -7.19309928
8.0 -7.73046759 -7.61661216 -7.48937753 -7.44042096 -7.19367743
9.0 -7.73054885 -7.61670016 -7.48943370 -7.44048133 -7.19435369
10.0 -7.73066245 -7.61682423 -7.48952343 -7.44057535 -7.19513561
11.0 -7.73081563 -7.61699251 -7.48965530 -7.44071142 -7.19603139
12.0 -7.73101618 -7.61721381 -7.48983854 -7.44089863 -7.19704985
13.0 -7.73127243 -7.61749749 -7.49008299 -7.44114668 -7.19820036
14.0 -7.73159317 -7.61785346 -7.49039905 -7.44146579 -7.19949275
15.0 -7.73198758 -7.61829204 -7.49079758 -7.44186664 -7.20093725
16.0 -7.73246520 -7.61882396 -7.49128986 -7.44236031 -7.20254440
17.0 -7.73303581 -7.61946023 -7.49188746 -7.44295819 -7.20432496
18.0 -7.73370944 -7.62021208 -7.49260221 -7.44367191 -7.20628982
19.0 -7.73449620 -7.62109088 -7.49344608 -7.44451322 -7.20844993
20.0 -7.73540631 -7.62210807 -7.49443112 -7.44549396 -7.21081618
21.0 -7.73644994 -7.62327505 -7.49556933 -7.44662594 -7.21339936
22.0 -7.73763720 -7.62460313 -7.49687264 -7.44792085 -7.21621000
23.0 -7.73897803 -7.62610342 -7.49835274 -7.44939017 -7.21925832
24.0 -7.74048213 -7.62778673 -7.50002106 -7.45104514 -7.22255417
25.0 -7.74215888 -7.62966354 -7.50188864 -7.45289656 -7.22610687
26.0 -7.74401731 -7.63174387 -7.50396606 -7.45495484 -7.22992518
27.0 -7.74606596 -7.63403724 -7.50626336 -7.45722979 -7.23401720
28.0 -7.74831286 -7.63655255 -7.50878994 -7.45973063 -7.23839030
29.0 -7.75076546 -7.63929804 -7.51155448 -7.46246587 -7.24305101
30.0 -7.75343052 -7.64228118 -7.51456490 -7.46544323 -7.24800500
31.0 -7.75631412 -7.64550866 -7.51782823 -7.46866961 -7.25325699
32.0 -7.75942151 -7.64898626 -7.52135060 -7.47215096 -7.25881067
33.0 -7.76275717 -7.65271885 -7.52513713 -7.47589229 -7.26466868
34.0 -7.76632464 -7.65671030 -7.52919191 -7.47989756 -7.27083254
35.0 -7.77012658 -7.66096344 -7.53351791 -7.48416966 -7.27730260
36.0 -7.77416465 -7.66548003 -7.53811698 -7.48871033 -7.28407803
37.0 -7.77843951 -7.67026070 -7.54298978 -7.49352019 -7.29115677
38.0 -7.78295082 -7.67530497 -7.54813577 -7.49859864 -7.29853552
39.0 -7.78769716 -7.68061115 -7.55355315 -7.50394389 -7.30620971
40.0 -7.79267606 -7.68617641 -7.55923891 -7.50955292 -7.31417353
41.0 -7.79788398 -7.69199673 -7.56518878 -7.51542149 -7.32241989
42.0 -7.80331628 -7.69806690 -7.57139722 -7.52154413 -7.33094047
43.0 -7.80896730 -7.70438055 -7.57785748 -7.52791418 -7.33972571
44.0 -7.81483029 -7.71093014 -7.58456159 -7.53452376 -7.34876486
45.0 -7.82089748 -7.71770704 -7.59150037 -7.54136386 -7.35804600
46.0 -7.82716010 -7.72470149 -7.59866350 -7.54842433 -7.36755609
47.0 -7.83360841 -7.73190269 -7.60603958 -7.55569394 -7.37728103
48.0 -7.84023174 -7.73929884 -7.61361611 -7.56316046 -7.38720570
49.0 -7.84701856 -7.74687720 -7.62137964 -7.57081067 -7.39731403
50.0 -7.85395650 -7.75462412 -7.62931576 -7.57863046 -7.40758909
51.0 -7.86103243 -7.76252514 -7.63740923 -7.58660489 -7.41801315
52.0 -7.86823254 -7.77056507 -7.64564402 -7.59471827 -7.42856775
53.0 -7.87554236 -7.77872801 -7.65400341 -7.60295427 -7.43923382
54.0 -7.88294690 -7.78699752 -7.66247010 -7.61129595 -7.44999175
55.0 -7.89043070 -7.79535664 -7.67102627 -7.61972589 -7.46082148
56.0 -7.89797788 -7.80378798 -7.67965368 -7.62822630 -7.47170263
57.0 -7.90557226 -7.81227385 -7.68833379 -7.63677905 -7.48261453
58.0 -7.91319746 -7.82079631 -7.69704783 -7.64536583 -7.49353639
59.0 -7.92083691 -7.82933730 -7.70577691 -7.65396821 -7.50444737
60.0 -7.92847401 -7.83787869 -7.71450213 -7.66256774 -7.51532665
61.0 -7.93609219 -7.84640240 -7.72320465 -7.67114605 -7.52615358
