#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.61648031 -7.61648031 1.0000000000000002
1.0 0.00008671 -7.61655264 -7.61646593 0.9999989028910172
2.0 0.00034662 -7.61679050 -7.61644387 0.9999978059650816
3.0 0.00077908 -7.61719317 -7.61641409 0.9999967094037169
4.0 0.00138299 -7.61775951 -7.61637652 0.9999956133878102
5.0 0.00215684 -7.61848791 -7.61633107 0.9999945180972853
6.0 0.00309867 -7.61937633 -7.61627766 0.9999934237107935
7.0 0.00420616 -7.62042229 -7.61621613 0.9999923304054004
8.0 0.00547656 -7.62162287 -7.61614631 0.999991238356307
9.0 0.00690676 -7.62297476 -7.61606800 0.9999901477365555
10.0 0.00849330 -7.62447427 -7.61598096 0.9999890587167529
11.0 0.01023237 -7.62611736 -7.61588499 0.9999879714647977
12.0 0.01211984 -7.62789968 -7.61577984 0.9999868861456217
13.0 0.01415132 -7.62981655 -7.61566523 0.9999858029209432
14.0 0.01632212 -7.63186294 -7.61554082 0.9999847219490627
15.0 0.01862735 -7.63403356 -7.61540621 0.9999836433846816
16.0 0.02106188 -7.63632290 -7.61526101 0.9999825673786845
17.0 0.02362039 -7.63872520 -7.61510481 0.9999814940779841
18.0 0.02629742 -7.64123464 -7.61493722 0.9999804236253372
19.0 0.02908736 -7.64384517 -7.61475781 0.9999793561591889
20.0 0.03198445 -7.64655057 -7.61456612 0.999978291813576
21.0 0.03498292 -7.64934456 -7.61436164 0.9999772307180207
22.0 0.03807691 -7.65222074 -7.61414383 0.9999761729974493
23.0 0.04126050 -7.65517262 -7.61391212 0.9999751187721352
24.0 0.04452777 -7.65819378 -7.61366601 0.9999740681576186
25.0 0.04787280 -7.66127779 -7.61340499 0.9999730212646494
26.0 0.05128970 -7.66441820 -7.61312850 0.9999719781991743
27.0 0.05477261 -7.66760856 -7.61283595 0.9999709390623476
28.0 0.05831580 -7.67084249 -7.61252669 0.9999699039505326
29.0 0.06191356 -7.67411361 -7.61220005 0.9999688729553471
30.0 0.06556030 -7.67741572 -7.61185542 0.999967846163685
31.0 0.06925059 -7.68074281 -7.61149221 0.999966823657715
32.0 0.07297903 -7.68408889 -7.61110986 0.9999658055149342
33.0 0.07674041 -7.68744819 -7.61070777 0.9999647918082459
34.0 0.08052968 -7.69081504 -7.61028536 0.9999637826060102
35.0 0.08434188 -7.69418384 -7.60984196 0.9999627779721718
36.0 0.08817225 -7.69754920 -7.60937695 0.9999617779663523
37.0 0.09201618 -7.70090596 -7.60888979 0.9999607826439186
38.0 0.09586921 -7.70424918 -7.60837997 0.999959792056055
39.0 0.09972706 -7.70757408 -7.60784702 0.9999588062498729
40.0 0.10358566 -7.71087616 -7.60729050 0.9999578252684934
41.0 0.10744112 -7.71415101 -7.60670989 0.9999568491511727
42.0 0.11128967 -7.71739438 -7.60610470 0.9999558779334498
43.0 0.11512783 -7.72060235 -7.60547453 0.9999549116472429
44.0 0.11895221 -7.72377118 -7.60481897 0.9999539503209306
45.0 0.12275959 -7.72689729 -7.60413770 0.9999529939795017
46.0 0.12654702 -7.72997750 -7.60343049 0.9999520426446183
47.0 0.13031163 -7.73300870 -7.60269707 0.9999510963347334
48.0 0.13405071 -7.73598796 -7.60193725 0.9999501550652418
49.0 0.13776178 -7.73891262 -7.60115084 0.9999492188485773
50.0 0.14144242 -7.74178015 -7.60033773 0.9999482876943286
51.0 0.14509043 -7.74458826 -7.59949783 0.999947361609367
52.0 0.14870371 -7.74733489 -7.59863118 0.9999464405979201
53.0 0.15228035 -7.75001816 -7.59773781 0.9999455246616806
54.0 0.15581860 -7.75263638 -7.59681778 0.9999446137999126
55.0 0.15931676 -7.75518799 -7.59587123 0.999943708009564
56.0 0.16277338 -7.75767173 -7.59489835 0.9999428072853462
57.0 0.16618704 -7.76008643 -7.59389938 0.999941911619819
58.0 0.16955644 -7.76243108 -7.59287464 0.9999410210035152
59.0 0.17288049 -7.76470496 -7.59182447 0.9999401354249878
60.0 0.17615808 -7.76690733 -7.59074924 0.9999392548709228
61.0 0.17938825 -7.76903762 -7.58964938 0.9999383793262568
62.0 0.18257018 -7.77109553 -7.58852534 0.9999375087742273
63.0 0.18570302 -7.77308066 -7.58737764 0.9999366431964773
64.0 0.18878609 -7.77499287 -7.58620678 0.9999357825731618
65.0 0.19181883 -7.77683219 -7.58501336 0.999934926882973
66.0 0.19480069 -7.77859864 -7.58379796 0.9999340761032487
67.0 0.19773126 -7.78029241 -7.58256114 0.9999332302100501
68.0 0.20061018 -7.78191375 -7.58130357 0.9999323891782287
69.0 0.20343714 -7.78346301 -7.58002587 0.9999315529815018
70.0 0.20621188 -7.78494060 -7.57872872 0.9999307215925255
71.0 0.20893423 -7.78634707 -7.57741284 0.9999298949829548
72.0 0.21160414 -7.78768306 -7.57607892 0.9999290731234888
73.0 0.21422150 -7.78894916 -7.57472766 0.999928255983954
74.0 0.21678641 -7.79014617 -7.57335976 0.9999274435333559
75.0 0.21929893 -7.79127486 -7.57197593 0.9999266357399275
76.0 0.22175911 -7.79233596 -7.57057685 0.9999258325712254
77.0 0.22416713 -7.79333033 -7.56916320 0.9999250339941882
78.0 0.22652313 -7.79425876 -7.56773563 0.9999242399751909
79.0 0.22882732 -7.79512210 -7.56629477 0.9999234504801171
80.0 0.23107999 -7.79592123 -7.56484124 0.9999226654744008
81.0 0.23328140 -7.79665707 -7.56337567 0.9999218849230714
82.0 0.23543189 -7.79733059 -7.56189870 0.9999211087907911
83.0 0.23753175 -7.79794275 -7.56041100 0.9999203370418985
84.0 0.23958136 -7.79849459 -7.55891323 0.9999195696404406
85.0 0.24158113 -7.79898718 -7.55740604 0.9999188065502003
86.0 0.24353142 -7.79942144 -7.55589002 0.9999180477347542
87.0 0.24543276 -7.79979850 -7.55436574 0.9999172931575113
88.0 0.24728564 -7.80011939 -7.55283376 0.9999165427817217
89.0 0.24909044 -7.80038505 -7.55129462 0.9999157965705592
