# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 0.999999 0.000000 0.000000 0.000000
2.0 0.000000 0.999998 0.000000 0.000000 0.000000
3.0 0.000000 0.999995 0.000000 0.000000 0.000000
4.0 0.000000 0.999991 0.000000 0.000000 0.000000
5.0 0.000000 0.999983 0.000000 0.000001 0.000000
6.0 0.000000 0.999970 0.000000 0.000001 0.000001
7.0 0.000000 0.999949 0.000000 0.000003 0.000002
8.0 0.000000 0.999917 0.000001 0.000005 0.000003
9.0 0.000000 0.999871 0.000001 0.000007 0.000005
10.0 0.000001 0.999807 0.000002 0.000012 0.000009
11.0 0.000001 0.999720 0.000004 0.000018 0.000013
12.0 0.000001 0.999607 0.000006 0.000026 0.000019
13.0 0.000002 0.999463 0.000009 0.000036 0.000026
14.0 0.000003 0.999283 0.000013 0.000049 0.000035
15.0 0.000004 0.999063 0.000018 0.000066 0.000045
16.0 0.000005 0.998797 0.000025 0.000087 0.000058
17.0 0.000007 0.998478 0.000034 0.000113 0.000072
18.0 0.000009 0.998099 0.000044 0.000143 0.000089
19.0 0.000012 0.997657 0.000058 0.000178 0.000108
20.0 0.000016 0.997145 0.000074 0.000218 0.000131
21.0 0.000021 0.996558 0.000094 0.000264 0.000157
22.0 0.000026 0.995892 0.000117 0.000315 0.000186
23.0 0.000033 0.995140 0.000144 0.000372 0.000220
24.0 0.000041 0.994296 0.000175 0.000433 0.000259
25.0 0.000051 0.993356 0.000210 0.000498 0.000302
26.0 0.000062 0.992317 0.000250 0.000567 0.000349
27.0 0.000076 0.991176 0.000294 0.000639 0.000401
28.0 0.000091 0.989934 0.000343 0.000713 0.000457
29.0 0.000109 0.988586 0.000397 0.000787 0.000516
30.0 0.000130 0.987130 0.000455 0.000860 0.000579
31.0 0.000153 0.985562 0.000517 0.000932 0.000644
32.0 0.000179 0.983882 0.000583 0.001001 0.000713
33.0 0.000209 0.982089 0.000653 0.001065 0.000785
34.0 0.000242 0.980187 0.000726 0.001125 0.000862
35.0 0.000279 0.978178 0.000802 0.001177 0.000942
36.0 0.000319 0.976060 0.000879 0.001223 0.001027
37.0 0.000364 0.973832 0.000959 0.001261 0.001117
38.0 0.000413 0.971496 0.001039 0.001290 0.001212
39.0 0.000466 0.969052 0.001119 0.001310 0.001311
40.0 0.000524 0.966505 0.001198 0.001321 0.001413
41.0 0.000586 0.963866 0.001276 0.001323 0.001518
42.0 0.000653 0.961135 0.001351 0.001316 0.001624
43.0 0.000726 0.958313 0.001423 0.001300 0.001730
44.0 0.000804 0.955407 0.001492 0.001277 0.001835
45.0 0.000887 0.952415 0.001556 0.001247 0.001939
46.0 0.000976 0.949343 0.001615 0.001211 0.002042
47.0 0.001071 0.946200 0.001669 0.001169 0.002144
48.0 0.001173 0.942993 0.001717 0.001122 0.002246
49.0 0.001282 0.939723 0.001759 0.001072 0.002348
50.0 0.001398 0.936395 0.001795 0.001018 0.002451
51.0 0.001522 0.933008 0.001824 0.000963 0.002555
52.0 0.001655 0.929563 0.001846 0.000907 0.002659
53.0 0.001798 0.926071 0.001861 0.000851 0.002763
54.0 0.001952 0.922540 0.001870 0.000794 0.002864
55.0 0.002117 0.918978 0.001873 0.000738 0.002962
56.0 0.002295 0.915390 0.001869 0.000682 0.003056
57.0 0.002488 0.911784 0.001860 0.000628 0.003142
58.0 0.002696 0.908155 0.001846 0.000575 0.003222
59.0 0.002921 0.904510 0.001827 0.000524 0.003294
60.0 0.003165 0.900858 0.001803 0.000475 0.003360
61.0 0.003430 0.897199 0.001776 0.000427 0.003421
62.0 0.003718 0.893538 0.001747 0.000381 0.003477
63.0 0.004030 0.889883 0.001715 0.000337 0.003529
64.0 0.004368 0.886225 0.001681 0.000295 0.003578
65.0 0.004733 0.882563 0.001647 0.000255 0.003623
66.0 0.005129 0.878908 0.001612 0.000218 0.003665
67.0 0.005557 0.875259 0.001577 0.000182 0.003701
68.0 0.006019 0.871622 0.001542 0.000149 0.003731
69.0 0.006516 0.868010 0.001508 0.000119 0.003752
70.0 0.007051 0.864418 0.001476 0.000092 0.003765
71.0 0.007624 0.860846 0.001446 0.000068 0.003768
72.0 0.008236 0.857297 0.001417 0.000047 0.003760
73.0 0.008889 0.853766 0.001391 0.000030 0.003743
74.0 0.009583 0.850257 0.001367 0.000017 0.003717
75.0 0.010317 0.846773 0.001346 0.000007 0.003685
76.0 0.011094 0.843320 0.001329 0.000002 0.003646
77.0 0.011911 0.839892 0.001314 0.000000 0.003603
78.0 0.012768 0.836494 0.001302 0.000002 0.003555
79.0 0.013665 0.833128 0.001293 0.000008 0.003502
80.0 0.014599 0.829792 0.001288 0.000018 0.003444
81.0 0.015569 0.826493 0.001285 0.000030 0.003379
82.0 0.016574 0.823241 0.001285 0.000046 0.003307
83.0 0.017611 0.820038 0.001288 0.000064 0.003226
84.0 0.018677 0.816880 0.001293 0.000084 0.003137
85.0 0.019770 0.813781 0.001301 0.000105 0.003039
86.0 0.020888 0.810730 0.001311 0.000128 0.002933
87.0 0.022026 0.807729 0.001324 0.000151 0.002820
88.0 0.023181 0.804788 0.001338 0.000174 0.002702
89.0 0.024351 0.801903 0.001355 0.000197 0.002579
90.0 0.025532 0.799078 0.001374 0.000219 0.002455
91.0 0.026721 0.796321 0.001394 0.000241 0.002328
92.0 0.027915 0.793630 0.001417 0.000260 0.002200
93.0 0.029112 0.791001 0.001441 0.000278 0.002072
94.0 0.030308 0.788444 0.001467 0.000295 0.001942
95.0 0.031502 0.785954 0.001493 0.000310 0.001812
96.0 0.032690 0.783529 0.001521 0.000322 0.001680
97.0 0.033871 0.781174 0.001551 0.000334 0.001548
98.0 0.035044 0.778884 0.001581 0.000344 0.001415
99.0 0.036206 0.776656 0.001613 0.000352 0.001283
100.0 0.037357 0.774488 0.001646 0.000360 0.001152
101.0 0.038496 0.772376 0.001680 0.000366 0.001023
102.0 0.039623 0.770316 0.001714 0.000372 0.000899
103.0 0.040738 0.768304 0.001750 0.000378 0.000779
104.0 0.041842 0.766343 0.001787 0.000383 0.000667
105.0 0.042937 0.764427 0.001826 0.000389 0.000561
106.0 0.044022 0.762550 0.001865 0.000396 0.000464
107.0 0.045100 0.760714 0.001907 0.000402 0.000375
108.0 0.046172 0.758906 0.001950 0.000410 0.000295
109.0 0.047239 0.757118 0.001995 0.000419 0.000224
110.0 0.048303 0.755349 0.002042 0.000428 0.000163
111.0 0.049366 0.753589 0.002091 0.000439 0.000113
112.0 0.050429 0.751829 0.002143 0.000451 0.000074
113.0 0.051495 0.750072 0.002198 0.000464 0.000046
114.0 0.052565 0.748310 0.002256 0.000477 0.000031
115.0 0.053641 0.746531 0.002318 0.000492 0.000031
116.0 0.054725 0.744743 0.002384 0.000506 0.000044
117.0 0.055820 0.742933 0.002454 0.000522 0.000073
118.0 0.056923 0.741099 0.002528 0.000537 0.000117
119.0 0.058040 0.739242 0.002608 0.000553 0.000178
120.0 0.059169 0.737359 0.002693 0.000568 0.000255
121.0 0.060311 0.735444 0.002782 0.000583 0.000349
122.0 0.061466 0.733498 0.002877 0.000597 0.000460
123.0 0.062635 0.731520 0.002977 0.000610 0.000589
124.0 0.063815 0.729496 0.003082 0.000623 0.000737
125.0 0.065005 0.727432 0.003192 0.000634 0.000904
126.0 0.066204 0.725323 0.003305 0.000644 0.001091
127.0 0.067410 0.723166 0.003423 0.000654 0.001299
128.0 0.068622 0.720965 0.003543 0.000662 0.001528
129.0 0.069837 0.718724 0.003665 0.000670 0.001780
130.0 0.071054 0.716440 0.003789 0.000676 0.002055
131.0 0.072270 0.714120 0.003914 0.000683 0.002352
132.0 0.073485 0.711768 0.004037 0.000688 0.002671
133.0 0.074695 0.709385 0.004160 0.000694 0.003012
134.0 0.075898 0.706971 0.004279 0.000699 0.003374
135.0 0.077092 0.704532 0.004395 0.000705 0.003757
136.0 0.078274 0.702072 0.004507 0.000711 0.004161
137.0 0.079441 0.699585 0.004614 0.000717 0.004584
138.0 0.080591 0.697078 0.004714 0.000725 0.005028
139.0 0.081723 0.694549 0.004807 0.000734 0.005493
140.0 0.082834 0.691993 0.004893 0.000744 0.005979
141.0 0.083923 0.689416 0.004970 0.000755 0.006487
142.0 0.084989 0.686818 0.005039 0.000768 0.007019
143.0 0.086029 0.684190 0.005100 0.000782 0.007575
144.0 0.087046 0.681545 0.005151 0.000798 0.008155
145.0 0.088039 0.678878 0.005194 0.000815 0.008760
146.0 0.089008 0.676183 0.005228 0.000834 0.009388
147.0 0.089956 0.673467 0.005254 0.000854 0.010040
148.0 0.090885 0.670723 0.005273 0.000875 0.010715
149.0 0.091795 0.667949 0.005285 0.000898 0.011411
150.0 0.092690 0.665145 0.005291 0.000920 0.012126
151.0 0.093574 0.662310 0.005292 0.000944 0.012861
152.0 0.094447 0.659437 0.005289 0.000967 0.013613
