#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73787446 -7.62166357 -7.49518309 -7.44413110 -7.22990971
1.0 -7.73796678 -7.62173833 -7.49524954 -7.44417626 -7.22993650
2.0 -7.73824477 -7.62196294 -7.49544884 -7.44431179 -7.23002840
3.0 -7.73870860 -7.62233829 -7.49578089 -7.44453825 -7.23018711
4.0 -7.73935848 -7.62286581 -7.49624554 -7.44485655 -7.23041485
5.0 -7.74019470 -7.62354751 -7.49684256 -7.44526798 -7.23071474
6.0 -7.74121759 -7.62438587 -7.49757164 -7.44577416 -7.23109066
7.0 -7.74242753 -7.62538383 -7.49843237 -7.44637708 -7.23154732
8.0 -7.74382490 -7.62654472 -7.49942427 -7.44707907 -7.23209017
9.0 -7.74541012 -7.62787226 -7.50054677 -7.44788285 -7.23272539
10.0 -7.74718361 -7.62937049 -7.50179923 -7.44879149 -7.23345983
11.0 -7.74914576 -7.63104364 -7.50318090 -7.44980842 -7.23430096
12.0 -7.75129695 -7.63289621 -7.50469102 -7.45093745 -7.23525690
13.0 -7.75363756 -7.63493281 -7.50632873 -7.45218272 -7.23633628
14.0 -7.75616793 -7.63715817 -7.50809316 -7.45354875 -7.23754827
15.0 -7.75888833 -7.63957701 -7.50998340 -7.45504033 -7.23890251
16.0 -7.76179897 -7.64219406 -7.51199848 -7.45666254 -7.24040906
17.0 -7.76489994 -7.64501389 -7.51413741 -7.45842071 -7.24207834
18.0 -7.76819121 -7.64804096 -7.51639917 -7.46032032 -7.24392113
19.0 -7.77167264 -7.65127950 -7.51878273 -7.46236699 -7.24594851
20.0 -7.77534397 -7.65473355 -7.52128706 -7.46456640 -7.24817182
21.0 -7.77920476 -7.65840684 -7.52391114 -7.46692424 -7.25060266
22.0 -7.78325437 -7.66230275 -7.52665391 -7.46944607 -7.25325280
23.0 -7.78749196 -7.66642431 -7.52951433 -7.47213723 -7.25613417
24.0 -7.79191647 -7.67077413 -7.53249135 -7.47500283 -7.25925884
25.0 -7.79652667 -7.67535448 -7.53558397 -7.47804763 -7.26263905
26.0 -7.80132107 -7.68016716 -7.53879117 -7.48127591 -7.26628711
27.0 -7.80629789 -7.68521345 -7.54211192 -7.48469139 -7.27021538
28.0 -7.81145509 -7.69049414 -7.54554515 -7.48829714 -7.27443626
29.0 -7.81679033 -7.69600952 -7.54908979 -7.49209555 -7.27896214
30.0 -7.82230099 -7.70175931 -7.55274474 -7.49608818 -7.28380544
31.0 -7.82798412 -7.70774266 -7.55650884 -7.50027577 -7.28897847
32.0 -7.83383648 -7.71395813 -7.56038086 -7.50465816 -7.29449350
33.0 -7.83985452 -7.72040365 -7.56435952 -7.50923428 -7.30036263
34.0 -7.84603441 -7.72707660 -7.56844349 -7.51400214 -7.30659784
35.0 -7.85237199 -7.73397365 -7.57263131 -7.51895880 -7.31321082
36.0 -7.85886278 -7.74109077 -7.57692138 -7.52410038 -7.32021290
37.0 -7.86550194 -7.74842318 -7.58131196 -7.52942205 -7.32761491
38.0 -7.87228436 -7.75596540 -7.58580116 -7.53491814 -7.33542708
39.0 -7.87920464 -7.76371120 -7.59038693 -7.54058216 -7.34365895
40.0 -7.88625712 -7.77165363 -7.59506705 -7.54640687 -7.35231909
41.0 -7.89343588 -7.77978496 -7.59983912 -7.55238435 -7.36141499
42.0 -7.90073475 -7.78809669 -7.60470051 -7.55850608 -7.37095272
43.0 -7.90814736 -7.79657956 -7.60964841 -7.56476297 -7.38093676
44.0 -7.91566709 -7.80522354 -7.61467977 -7.57114552 -7.39136974
45.0 -7.92328719 -7.81401784 -7.61979131 -7.57764383 -7.40225213
46.0 -7.93100075 -7.82295098 -7.62497956 -7.58424774 -7.41358213
47.0 -7.93880075 -7.83201079 -7.63024080 -7.59094688 -7.42535536
48.0 -7.94668007 -7.84118441 -7.63557110 -7.59773074 -7.43756481
49.0 -7.95463154 -7.85045841 -7.64096632 -7.60458874 -7.45020069
50.0 -7.96264800 -7.85981879 -7.64642214 -7.61151036 -7.46325054
51.0 -7.97072227 -7.86925106 -7.65193401 -7.61848509 -7.47669917
52.0 -7.97884723 -7.87874027 -7.65749724 -7.62550256 -7.49052885
53.0 -7.98701583 -7.88827111 -7.66310697 -7.63255255 -7.50471956
54.0 -7.99522112 -7.89782802 -7.66875822 -7.63962509 -7.51924920
55.0 -8.00345634 -7.90739522 -7.67444590 -7.64671044 -7.53409398
56.0 -8.01171481 -7.91695679 -7.68016484 -7.65379913 -7.54922861
57.0 -8.01999003 -7.92649675 -7.68590979 -7.66088198 -7.56462668
58.0 -8.02827565 -7.93599916 -7.69167546 -7.66795011 -7.58026096
59.0 -8.03656551 -7.94544822 -7.69745661 -7.67499500 -7.59610376
60.0 -8.04485365 -7.95482843 -7.70324805 -7.68200850 -7.61212727
61.0 -8.05313426 -7.96412460 -7.70904474 -7.68898281 -7.62830363
62.0 -8.06140166 -7.97332195 -7.71484184 -7.69591046 -7.64460524
63.0 -8.06965031 -7.98240629 -7.72063490 -7.70278438 -7.66100470
64.0 -8.07787474 -7.99136404 -7.72642022 -7.70959788 -7.67747483
65.0 -8.08606959 -8.00018238 -7.73219558 -7.71634477 -7.69398780
66.0 -8.09422948 -8.00884930 -7.73796293 -7.72302011 -7.71051189
67.0 -8.10234902 -8.01735366 -7.74374060 -7.72963891 -7.72698064
