# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 0.999999 0.000000 0.000000 0.000000
3.0 0.000001 0.999994 0.000000 0.000001 0.000000
4.0 0.000004 0.999984 0.000001 0.000003 0.000000
5.0 0.000009 0.999962 0.000002 0.000007 0.000000
6.0 0.000018 0.999925 0.000004 0.000014 0.000000
7.0 0.000033 0.999864 0.000007 0.000025 0.000001
8.0 0.000057 0.999772 0.000012 0.000040 0.000001
9.0 0.000092 0.999642 0.000019 0.000060 0.000001
10.0 0.000141 0.999461 0.000028 0.000085 0.000002
11.0 0.000208 0.999221 0.000041 0.000114 0.000002
12.0 0.000296 0.998912 0.000057 0.000146 0.000003
13.0 0.000410 0.998527 0.000078 0.000181 0.000003
14.0 0.000555 0.998054 0.000104 0.000216 0.000004
15.0 0.000736 0.997484 0.000136 0.000249 0.000005
16.0 0.000959 0.996799 0.000173 0.000278 0.000006
17.0 0.001230 0.995986 0.000216 0.000301 0.000007
18.0 0.001556 0.995036 0.000266 0.000316 0.000009
19.0 0.001945 0.993933 0.000323 0.000320 0.000012
20.0 0.002405 0.992665 0.000387 0.000312 0.000015
21.0 0.002943 0.991209 0.000457 0.000292 0.000018
22.0 0.003569 0.989558 0.000533 0.000262 0.000022
23.0 0.004293 0.987699 0.000616 0.000221 0.000027
24.0 0.005125 0.985621 0.000704 0.000175 0.000032
25.0 0.006076 0.983285 0.000797 0.000128 0.000038
26.0 0.007156 0.980662 0.000894 0.000085 0.000045
27.0 0.008378 0.977735 0.000994 0.000054 0.000053
28.0 0.009754 0.974487 0.001096 0.000045 0.000061
29.0 0.011298 0.970900 0.001199 0.000068 0.000072
30.0 0.013024 0.966934 0.001303 0.000136 0.000085
31.0 0.014947 0.962574 0.001405 0.000260 0.000101
32.0 0.017084 0.957794 0.001506 0.000454 0.000120
33.0 0.019451 0.952584 0.001603 0.000733 0.000144
34.0 0.022065 0.946894 0.001697 0.001109 0.000173
35.0 0.024943 0.940681 0.001786 0.001599 0.000208
36.0 0.028105 0.933917 0.001869 0.002216 0.000249
37.0 0.031569 0.926578 0.001946 0.002974 0.000298
38.0 0.035361 0.918656 0.002016 0.003886 0.000354
39.0 0.039501 0.910117 0.002079 0.004962 0.000419
40.0 0.044014 0.900950 0.002136 0.006214 0.000493
41.0 0.048922 0.891113 0.002185 0.007651 0.000578
42.0 0.054251 0.880597 0.002228 0.009280 0.000673
43.0 0.060026 0.869375 0.002263 0.011109 0.000782
44.0 0.066273 0.857408 0.002291 0.013142 0.000907
45.0 0.073014 0.844676 0.002314 0.015384 0.001047
46.0 0.080273 0.831144 0.002330 0.017839 0.001206
47.0 0.088078 0.816814 0.002341 0.020506 0.001383
48.0 0.096454 0.801676 0.002348 0.023380 0.001580
49.0 0.105427 0.785751 0.002351 0.026455 0.001796
50.0 0.115014 0.769004 0.002351 0.029730 0.002029
51.0 0.125230 0.751427 0.002348 0.033198 0.002277
52.0 0.136091 0.733036 0.002342 0.036850 0.002540
53.0 0.147611 0.713832 0.002334 0.040674 0.002813
54.0 0.159799 0.693845 0.002324 0.044661 0.003096
55.0 0.172638 0.673055 0.002310 0.048803 0.003388
56.0 0.186117 0.651489 0.002294 0.053092 0.003690
57.0 0.200218 0.629181 0.002274 0.057510 0.004000
58.0 0.214930 0.606211 0.002249 0.062034 0.004317
59.0 0.230219 0.582635 0.002218 0.066648 0.004641
60.0 0.246024 0.558494 0.002179 0.071340 0.004973
61.0 0.262284 0.533884 0.002132 0.076097 0.005315
62.0 0.278930 0.508893 0.002072 0.080896 0.005670
63.0 0.295901 0.483640 0.001998 0.085710 0.006047
64.0 0.313093 0.458216 0.001909 0.090505 0.006464
65.0 0.330391 0.432725 0.001809 0.095214 0.006974
66.0 0.347677 0.407285 0.001716 0.099563 0.007811
67.0 0.364839 0.382032 0.001703 0.098679 0.013757
68.0 0.381784 0.357114 0.002440 0.004002 0.112692
69.0 0.398370 0.332632 0.007547 0.000046 0.116474
70.0 0.414477 0.308716 0.007812 0.000159 0.120970
71.0 0.429988 0.285486 0.008135 0.000088 0.125526
72.0 0.444811 0.263046 0.008462 0.000043 0.129971
73.0 0.458886 0.241495 0.008786 0.000148 0.134181
74.0 0.472119 0.220897 0.009106 0.000518 0.138034
75.0 0.484459 0.201315 0.009423 0.001273 0.141412
76.0 0.495849 0.182790 0.009739 0.002530 0.144203
77.0 0.506274 0.165354 0.010057 0.004380 0.146321
