#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62166357 -7.62166357 1.0
1.0 0.00008766 -7.62174591 -7.62165825 1.0000000000000038
2.0 0.00035045 -7.62199268 -7.62164222 1.0000000000000027
3.0 0.00078777 -7.62240322 -7.62161544 1.0000000000000038
4.0 0.00139865 -7.62297656 -7.62157791 1.0000000000000036
5.0 0.00218171 -7.62371146 -7.62152975 1.0000000000000033
6.0 0.00313520 -7.62460603 -7.62147083 1.0000000000000044
7.0 0.00425698 -7.62565821 -7.62140123 1.0000000000000078
8.0 0.00554459 -7.62686541 -7.62132082 1.0000000000000064
9.0 0.00699521 -7.62822488 -7.62122967 1.0000000000000102
10.0 0.00860570 -7.62973312 -7.62112742 1.0000000000000098
11.0 0.01037258 -7.63138659 -7.62101401 1.0000000000000089
12.0 0.01229210 -7.63318159 -7.62088948 1.0000000000000082
13.0 0.01436026 -7.63511411 -7.62075386 1.0000000000000069
14.0 0.01657276 -7.63717992 -7.62060715 1.000000000000011
15.0 0.01892516 -7.63937423 -7.62044907 1.0000000000000095
16.0 0.02141276 -7.64169248 -7.62027972 1.0000000000000069
17.0 0.02403063 -7.64412907 -7.62009843 1.0000000000000062
18.0 0.02677373 -7.64667902 -7.61990529 1.0000000000000064
19.0 0.02963694 -7.64933701 -7.61970007 1.0000000000000095
20.0 0.03261493 -7.65209795 -7.61948302 1.0000000000000095
21.0 0.03570233 -7.65495599 -7.61925365 1.0000000000000113
22.0 0.03889368 -7.65790491 -7.61901123 1.0000000000000107
23.0 0.04218339 -7.66093898 -7.61875559 1.0000000000000089
24.0 0.04556606 -7.66405292 -7.61848687 1.000000000000008
25.0 0.04903613 -7.66724184 -7.61820571 1.0000000000000104
26.0 0.05258796 -7.67049896 -7.61791100 1.0000000000000098
27.0 0.05621595 -7.67381850 -7.61760255 1.0000000000000135
28.0 0.05991476 -7.67719439 -7.61727963 1.0000000000000109
29.0 0.06367897 -7.68062148 -7.61694252 1.0000000000000093
30.0 0.06750329 -7.68409374 -7.61659045 1.0000000000000073
31.0 0.07138242 -7.68760527 -7.61622285 1.0000000000000095
32.0 0.07531112 -7.69115089 -7.61583977 1.0000000000000075
33.0 0.07928447 -7.69472580 -7.61544133 1.0000000000000089
34.0 0.08329759 -7.69832580 -7.61502821 1.0000000000000078
35.0 0.08734572 -7.70194465 -7.61459893 1.000000000000008
36.0 0.09142405 -7.70557714 -7.61415309 1.0000000000000093
37.0 0.09552824 -7.70921788 -7.61368964 1.0000000000000098
38.0 0.09965390 -7.71286289 -7.61320899 1.0000000000000064
39.0 0.10379687 -7.71650785 -7.61271098 1.0000000000000082
40.0 0.10795321 -7.72014881 -7.61219560 1.0000000000000073
41.0 0.11211900 -7.72378199 -7.61166299 1.000000000000004
42.0 0.11629062 -7.72740291 -7.61111229 1.0000000000000058
43.0 0.12046450 -7.73100837 -7.61054388 1.000000000000006
44.0 0.12463740 -7.73459422 -7.60995682 1.0000000000000082
45.0 0.12880602 -7.73815768 -7.60935166 1.0000000000000044
46.0 0.13296754 -7.74169553 -7.60872798 1.0000000000000029
47.0 0.13711911 -7.74520474 -7.60808563 1.0000000000000047
48.0 0.14125798 -7.74868243 -7.60742445 1.0000000000000067
49.0 0.14538185 -7.75212594 -7.60674409 1.0000000000000087
50.0 0.14948831 -7.75553377 -7.60604545 1.0000000000000058
51.0 0.15357521 -7.75890269 -7.60532748 1.0000000000000049
52.0 0.15764032 -7.76223103 -7.60459071 1.0000000000000062
53.0 0.16168190 -7.76551678 -7.60383488 1.0000000000000093
54.0 0.16569822 -7.76875911 -7.60306089 1.0000000000000113
55.0 0.16968774 -7.77195706 -7.60226932 1.0000000000000113
56.0 0.17364896 -7.77510811 -7.60145915 1.000000000000013
57.0 0.17758011 -7.77821059 -7.60063048 1.0000000000000113
58.0 0.18148013 -7.78126273 -7.59978260 1.0000000000000122
59.0 0.18534783 -7.78426520 -7.59891737 1.0000000000000135
60.0 0.18918233 -7.78721701 -7.59803468 1.0000000000000118
61.0 0.19298249 -7.79011713 -7.59713464 1.0000000000000087
62.0 0.19674746 -7.79296476 -7.59621730 1.000000000000013
63.0 0.20047662 -7.79575935 -7.59528273 1.0000000000000144
64.0 0.20416912 -7.79850166 -7.59433253 1.0000000000000138
65.0 0.20782453 -7.80119072 -7.59336619 1.0000000000000129
66.0 0.21144196 -7.80382634 -7.59238438 1.0000000000000129
67.0 0.21502106 -7.80640775 -7.59138669 1.0000000000000098
68.0 0.21856161 -7.80893579 -7.59037418 1.0000000000000129
69.0 0.22206326 -7.81141128 -7.58934802 1.0000000000000158
70.0 0.22552565 -7.81383322 -7.58830756 1.0000000000000135
71.0 0.22894825 -7.81620191 -7.58725366 1.0000000000000109
72.0 0.23233106 -7.81851693 -7.58618587 1.0000000000000109
73.0 0.23567388 -7.82077938 -7.58510550 1.0000000000000135
74.0 0.23897680 -7.82299017 -7.58401338 1.000000000000013
75.0 0.24223981 -7.82514924 -7.58290944 1.0000000000000135
76.0 0.24546269 -7.82725739 -7.58179470 1.0000000000000122
77.0 0.24864587 -7.82931473 -7.58066886 1.0000000000000122
78.0 0.25178932 -7.83132272 -7.57953340 1.0000000000000144
79.0 0.25489314 -7.83328162 -7.57838848 1.000000000000015
80.0 0.25795734 -7.83519162 -7.57723428 1.0000000000000138
81.0 0.26098194 -7.83705380 -7.57607186 1.0000000000000113
82.0 0.26396747 -7.83886845 -7.57490098 1.0000000000000129
83.0 0.26691402 -7.84063720 -7.57372317 1.0000000000000115
84.0 0.26982209 -7.84236038 -7.57253829 1.0000000000000115
85.0 0.27269169 -7.84403847 -7.57134678 1.0000000000000142
86.0 0.27552289 -7.84567233 -7.57014943 1.0000000000000149
87.0 0.27831635 -7.84726245 -7.56894611 1.0000000000000162
88.0 0.28107211 -7.84881037 -7.56773825 1.0000000000000167
89.0 0.28379074 -7.85031621 -7.56652546 1.000000000000015
90.0 0.28647248 -7.85178104 -7.56530856 1.0000000000000164
91.0 0.28911763 -7.85320595 -7.56408832 1.0000000000000158
92.0 0.29172677 -7.85459148 -7.56286471 1.000000000000016
93.0 0.29430002 -7.85593911 -7.56163908 1.0000000000000162
94.0 0.29683785 -7.85724889 -7.56041104 1.000000000000012
95.0 0.29934029 -7.85852153 -7.55918124 1.0000000000000093
96.0 0.30180768 -7.85975798 -7.55795030 1.0000000000000113
97.0 0.30424072 -7.86095893 -7.55671821 1.0000000000000115
98.0 0.30663964 -7.86212576 -7.55548612 1.00000000000001
99.0 0.30900515 -7.86325878 -7.55425363 1.000000000000007
100.0 0.31133752 -7.86435884 -7.55302131 1.00000000000001
101.0 0.31363699 -7.86542668 -7.55178970 1.000000000000011
102.0 0.31590417 -7.86646286 -7.55055869 1.0000000000000115
103.0 0.31813921 -7.86746868 -7.54932947 1.0000000000000133
104.0 0.32034253 -7.86844414 -7.54810160 1.0000000000000142
105.0 0.32251438 -7.86938981 -7.54687542 1.0000000000000124
106.0 0.32465504 -7.87030662 -7.54565158 1.0000000000000175
107.0 0.32676520 -7.87119509 -7.54442989 1.0000000000000178
108.0 0.32884517 -7.87205662 -7.54321145 1.0000000000000164
109.0 0.33089566 -7.87289167 -7.54199601 1.0000000000000153
110.0 0.33291703 -7.87370068 -7.54078364 1.000000000000016
111.0 0.33490951 -7.87448446 -7.53957495 1.0000000000000164
112.0 0.33687378 -7.87524350 -7.53836973 1.0000000000000133
113.0 0.33881000 -7.87597886 -7.53716885 1.000000000000012
114.0 0.34071864 -7.87669088 -7.53597223 1.000000000000013
115.0 0.34260024 -7.87737991 -7.53477967 1.0000000000000109
116.0 0.34445497 -7.87804674 -7.53359176 1.000000000000008
117.0 0.34628356 -7.87869186 -7.53240830 1.0000000000000089
118.0 0.34808637 -7.87931637 -7.53123000 1.0000000000000073
119.0 0.34986379 -7.87992083 -7.53005704 1.0000000000000058
120.0 0.35161631 -7.88050533 -7.52888902 1.0000000000000082
121.0 0.35334404 -7.88107048 -7.52772643 1.0000000000000084
122.0 0.35504753 -7.88161672 -7.52656919 1.0000000000000102
123.0 0.35672709 -7.88214474 -7.52541765 1.00000000000001
124.0 0.35838303 -7.88265526 -7.52427222 1.0000000000000073
125.0 0.36001596 -7.88314842 -7.52313246 1.0000000000000067
126.0 0.36162603 -7.88362472 -7.52199868 1.0000000000000073
127.0 0.36321373 -7.88408468 -7.52087095 1.0000000000000073
128.0 0.36477957 -7.88452889 -7.51974932 1.0000000000000078
129.0 0.36632367 -7.88495797 -7.51863430 1.0000000000000064
130.0 0.36784664 -7.88537209 -7.51752545 1.0000000000000069
131.0 0.36934880 -7.88577167 -7.51642287 1.0000000000000067
132.0 0.37083048 -7.88615722 -7.51532673 1.0000000000000067
133.0 0.37229238 -7.88652919 -7.51423682 1.000000000000007
134.0 0.37373464 -7.88688831 -7.51315367 1.000000000000008
135.0 0.37515769 -7.88723471 -7.51207702 1.0000000000000102
136.0 0.37656188 -7.88756856 -7.51100668 1.0000000000000089
137.0 0.37794731 -7.88789027 -7.50994296 1.0000000000000127
138.0 0.37931458 -7.88820012 -7.50888554 1.000000000000012
139.0 0.38066386 -7.88849867 -7.50783480 1.0000000000000109
140.0 0.38199555 -7.88878635 -7.50679080 1.0000000000000115
141.0 0.38331007 -7.88906329 -7.50575322 1.0000000000000098
142.0 0.38460751 -7.88932980 -7.50472229 1.0000000000000104
143.0 0.38588841 -7.88958619 -7.50369778 1.0000000000000089
144.0 0.38715298 -7.88983276 -7.50267978 1.0000000000000089
145.0 0.38840133 -7.89006983 -7.50166850 1.0000000000000098
146.0 0.38963392 -7.89029753 -7.50066361 1.0000000000000078
147.0 0.39085082 -7.89051605 -7.49966524 1.0000000000000107
148.0 0.39205243 -7.89072575 -7.49867332 1.0000000000000089
149.0 0.39323922 -7.89092703 -7.49768781 1.0000000000000095
150.0 0.39441133 -7.89112035 -7.49670902 1.0000000000000075
151.0 0.39556915 -7.89130585 -7.49573671 1.000000000000009
152.0 0.39671277 -7.89148369 -7.49477092 1.000000000000011
153.0 0.39784232 -7.89165405 -7.49381173 1.0000000000000122
154.0 0.39895805 -7.89181705 -7.49285900 1.0000000000000127
155.0 0.40005997 -7.89197299 -7.49191302 1.0000000000000144
156.0 0.40114827 -7.89212198 -7.49097371 1.0000000000000162
157.0 0.40222303 -7.89226398 -7.49004095 1.000000000000016
158.0 0.40328437 -7.89239924 -7.48911487 1.0000000000000153
159.0 0.40433268 -7.89252796 -7.48819527 1.0000000000000129
160.0 0.40536816 -7.89265049 -7.48728233 1.0000000000000153
161.0 0.40639111 -7.89276719 -7.48637608 1.000000000000015
162.0 0.40740180 -7.89287815 -7.48547636 1.000000000000012
163.0 0.40840023 -7.89298346 -7.48458323 1.0000000000000122
164.0 0.40938668 -7.89308326 -7.48369658 1.000000000000012
165.0 0.41036130 -7.89317767 -7.48281637 1.000000000000012
166.0 0.41132420 -7.89326691 -7.48194271 1.0000000000000102
167.0 0.41227565 -7.89335107 -7.48107542 1.0000000000000098
168.0 0.41321574 -7.89343021 -7.48021447 1.0000000000000113
169.0 0.41414461 -7.89350443 -7.47935982 1.0000000000000102
170.0 0.41506253 -7.89357389 -7.47851136 1.0000000000000133
171.0 0.41596964 -7.89363881 -7.47766917 1.000000000000013
172.0 0.41686614 -7.89369933 -7.47683319 1.0000000000000138
173.0 0.41775218 -7.89375546 -7.47600329 1.000000000000016
174.0 0.41862786 -7.89380731 -7.47517945 1.0000000000000178
175.0 0.41949337 -7.89385493 -7.47436157 1.000000000000016
176.0 0.42034892 -7.89389856 -7.47354963 1.0000000000000147
177.0 0.42119474 -7.89393841 -7.47274367 1.0000000000000164
178.0 0.42203099 -7.89397456 -7.47194358 1.0000000000000178
179.0 0.42285781 -7.89400709 -7.47114928 1.0000000000000175
180.0 0.42367530 -7.89403603 -7.47036072 1.0000000000000189
181.0 0.42448355 -7.89406142 -7.46957787 1.0000000000000207
182.0 0.42528268 -7.89408345 -7.46880077 1.0000000000000182
183.0 0.42607278 -7.89410216 -7.46802939 1.0000000000000173
184.0 0.42685389 -7.89411760 -7.46726371 1.000000000000019
185.0 0.42762610 -7.89412978 -7.46650367 1.0000000000000178
186.0 0.42838948 -7.89413875 -7.46574927 1.0000000000000164
187.0 0.42914409 -7.89414465 -7.46500055 1.0000000000000144
188.0 0.42989009 -7.89414760 -7.46425751 1.0000000000000129
189.0 0.43062747 -7.89414766 -7.46352019 1.0000000000000147
190.0 0.43135627 -7.89414482 -7.46278855 1.0000000000000169
191.0 0.43207649 -7.89413902 -7.46206252 1.000000000000016
192.0 0.43278806 -7.89413025 -7.46134218 1.0000000000000167
193.0 0.43349102 -7.89411854 -7.46062752 1.0000000000000135
194.0 0.43418538 -7.89410392 -7.45991854 1.0000000000000124
195.0 0.43487115 -7.89408641 -7.45921526 1.0000000000000138
196.0 0.43554843 -7.89406599 -7.45851757 1.0000000000000129
197.0 0.43621725 -7.89404271 -7.45782546 1.0000000000000127
198.0 0.43687772 -7.89401666 -7.45713894 1.0000000000000109
199.0 0.43752995 -7.89398792 -7.45645797 1.0000000000000115
200.0 0.43817401 -7.89395658 -7.45578257 1.000000000000012
