#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73787446 -7.62166357 -7.49518309 -7.44413110 -7.22990971
1.0 -7.73796969 -7.62174069 -7.49525164 -7.44417769 -7.22993734
2.0 -7.73825649 -7.62197243 -7.49545725 -7.44431752 -7.23003218
3.0 -7.73873509 -7.62235977 -7.49579986 -7.44455122 -7.23019602
4.0 -7.73940575 -7.62290429 -7.49627934 -7.44487979 -7.23043126
5.0 -7.74026879 -7.62360812 -7.49689545 -7.44530458 -7.23074121
6.0 -7.74132461 -7.62447393 -7.49764789 -7.44582736 -7.23113002
7.0 -7.74257364 -7.62550487 -7.49853626 -7.44645027 -7.23160273
8.0 -7.74401637 -7.62670456 -7.49956008 -7.44717583 -7.23216516
9.0 -7.74565330 -7.62807701 -7.50071882 -7.44800698 -7.23282391
10.0 -7.74748499 -7.62962656 -7.50201184 -7.44894706 -7.23358632
11.0 -7.74951198 -7.63135785 -7.50343847 -7.44999979 -7.23446041
12.0 -7.75173480 -7.63327574 -7.50499797 -7.45116931 -7.23545487
13.0 -7.75415399 -7.63538524 -7.50668955 -7.45246015 -7.23657897
14.0 -7.75677004 -7.63769146 -7.50851237 -7.45387720 -7.23784255
15.0 -7.75958339 -7.64019956 -7.51046557 -7.45542567 -7.23925596
16.0 -7.76259442 -7.64291465 -7.51254826 -7.45711111 -7.24083002
17.0 -7.76580340 -7.64584174 -7.51475952 -7.45893931 -7.24257599
18.0 -7.76921051 -7.64898572 -7.51709843 -7.46091626 -7.24450548
19.0 -7.77281582 -7.65235125 -7.51956406 -7.46304810 -7.24663050
20.0 -7.77661924 -7.65594279 -7.52215550 -7.46534103 -7.24896333
21.0 -7.78062051 -7.65976445 -7.52487182 -7.46780122 -7.25151656
22.0 -7.78481921 -7.66382004 -7.52771213 -7.47043475 -7.25430302
23.0 -7.78921469 -7.66811299 -7.53067552 -7.47324748 -7.25733576
24.0 -7.79380609 -7.67264631 -7.53376112 -7.47624496 -7.26062803
25.0 -7.79859233 -7.67742259 -7.53696807 -7.47943234 -7.26419325
26.0 -7.80357205 -7.68244394 -7.54029550 -7.48281426 -7.26804499
27.0 -7.80874362 -7.68771197 -7.54374255 -7.48639475 -7.27219693
28.0 -7.81410513 -7.69322776 -7.54730834 -7.49017712 -7.27666286
29.0 -7.81965435 -7.69899184 -7.55099199 -7.49416392 -7.28145663
30.0 -7.82538875 -7.70500416 -7.55479257 -7.49835680 -7.28659215
31.0 -7.83130547 -7.71126405 -7.55870910 -7.50275651 -7.29208331
32.0 -7.83740131 -7.71777019 -7.56274055 -7.50736282 -7.29794397
33.0 -7.84367275 -7.72452061 -7.56688580 -7.51217448 -7.30418791
34.0 -7.85011589 -7.73151262 -7.57114363 -7.51718921 -7.31082871
35.0 -7.85672653 -7.73874279 -7.57551271 -7.52240370 -7.31787972
36.0 -7.86350007 -7.74620692 -7.57999154 -7.52781366 -7.32535390
37.0 -7.87043162 -7.75390001 -7.58457851 -7.53341375 -7.33326371
38.0 -7.87751590 -7.76181624 -7.58927178 -7.53919775 -7.34162092
39.0 -7.88474736 -7.76994893 -7.59406935 -7.54515854 -7.35043640
40.0 -7.89212011 -7.77829054 -7.59896900 -7.55128818 -7.35971990
41.0 -7.89962797 -7.78683265 -7.60396827 -7.55757802 -7.36947980
42.0 -7.90726447 -7.79556592 -7.60906447 -7.56401875 -7.37972275
43.0 -7.91502293 -7.80448013 -7.61425466 -7.57060049 -7.39045344
44.0 -7.92289639 -7.81356417 -7.61953564 -7.57731292 -7.40167422
45.0 -7.93087773 -7.82280607 -7.62490393 -7.58414530 -7.41338488
46.0 -7.93895963 -7.83219297 -7.63035579 -7.59108663 -7.42558233
47.0 -7.94713468 -7.84171124 -7.63588723 -7.59812570 -7.43826046
48.0 -7.95539533 -7.85134645 -7.64149397 -7.60525117 -7.45140998
49.0 -7.96373399 -7.86108345 -7.64717150 -7.61245163 -7.46501841
50.0 -7.97214305 -7.87090642 -7.65291505 -7.61971571 -7.47907011
51.0 -7.98061490 -7.88079895 -7.65871964 -7.62703211 -7.49354642
52.0 -7.98914196 -7.89074410 -7.66458007 -7.63438964 -7.50842592
53.0 -7.99771677 -7.90072451 -7.67049094 -7.64177733 -7.52368470
54.0 -8.00633193 -7.91072245 -7.67644672 -7.64918440 -7.53929671
55.0 -8.01498022 -7.92071997 -7.68244172 -7.65660034 -7.55523414
56.0 -8.02365453 -7.93069894 -7.68847018 -7.66401495 -7.57146783
57.0 -8.03234793 -7.94064122 -7.69452627 -7.67141832 -7.58796759
58.0 -8.04105361 -7.95052875 -7.70060416 -7.67880089 -7.60470260
59.0 -8.04976494 -7.96034366 -7.70669808 -7.68615344 -7.62164170
60.0 -8.05847543 -7.97006843 -7.71280245 -7.69346714 -7.63875368
61.0 -8.06717866 -7.97968601 -7.71891200 -7.70073350 -7.65600741
62.0 -8.07586831 -7.98917995 -7.72502214 -7.70794444 -7.67337176
63.0 -8.08453808 -7.99853453 -7.73112973 -7.71509236 -7.69081498
64.0 -8.09318165 -8.00773488 -7.73723558 -7.72217075 -7.70830177
65.0 -8.10179263 -8.01676712 -7.74335648 -7.72918708 -7.72576855
66.0 -8.11036457 -8.02561845 -7.74966156 -7.74308927 -7.73606078
67.0 -8.11889085 -8.03427727 -7.76142222 -7.75486281 -7.74288593
68.0 -8.12736470 -8.04273320 -7.77863572 -7.76111587 -7.74960497
69.0 -8.13577923 -8.05097719 -7.79598943 -7.76713292 -7.75621449
