# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 0.999999 0.000000 0.000000 0.000000
3.0 0.000001 0.999994 0.000000 0.000001 0.000000
4.0 0.000004 0.999983 0.000001 0.000003 0.000000
5.0 0.000009 0.999960 0.000002 0.000008 0.000000
6.0 0.000019 0.999920 0.000004 0.000015 0.000000
7.0 0.000036 0.999855 0.000007 0.000026 0.000001
8.0 0.000061 0.999758 0.000012 0.000042 0.000001
9.0 0.000098 0.999619 0.000020 0.000063 0.000001
10.0 0.000151 0.999426 0.000030 0.000089 0.000002
11.0 0.000222 0.999171 0.000043 0.000120 0.000002
12.0 0.000316 0.998842 0.000061 0.000153 0.000003
13.0 0.000438 0.998433 0.000083 0.000189 0.000003
14.0 0.000593 0.997930 0.000111 0.000225 0.000004
15.0 0.000787 0.997323 0.000144 0.000259 0.000005
16.0 0.001026 0.996594 0.000183 0.000288 0.000006
17.0 0.001318 0.995729 0.000229 0.000309 0.000008
18.0 0.001668 0.994717 0.000282 0.000322 0.000010
19.0 0.002087 0.993542 0.000342 0.000323 0.000012
20.0 0.002581 0.992189 0.000408 0.000312 0.000016
21.0 0.003161 0.990636 0.000482 0.000288 0.000020
22.0 0.003837 0.988873 0.000562 0.000253 0.000024
23.0 0.004618 0.986886 0.000648 0.000209 0.000029
24.0 0.005517 0.984661 0.000740 0.000160 0.000035
25.0 0.006546 0.982158 0.000836 0.000112 0.000041
26.0 0.007715 0.979345 0.000936 0.000072 0.000049
27.0 0.009039 0.976202 0.001039 0.000049 0.000057
28.0 0.010532 0.972709 0.001143 0.000054 0.000067
29.0 0.012209 0.968846 0.001248 0.000099 0.000079
30.0 0.014085 0.964570 0.001353 0.000196 0.000093
31.0 0.016178 0.959863 0.001456 0.000362 0.000111
32.0 0.018506 0.954696 0.001557 0.000610 0.000134
33.0 0.021087 0.949056 0.001655 0.000955 0.000161
34.0 0.023942 0.942891 0.001748 0.001415 0.000194
35.0 0.027089 0.936151 0.001835 0.002005 0.000234
36.0 0.030549 0.928807 0.001916 0.002741 0.000281
37.0 0.034346 0.920831 0.001990 0.003637 0.000337
38.0 0.038507 0.912212 0.002058 0.004705 0.000402
39.0 0.043057 0.902913 0.002117 0.005959 0.000477
40.0 0.048022 0.892921 0.002170 0.007409 0.000563
41.0 0.053430 0.882189 0.002215 0.009064 0.000661
42.0 0.059310 0.870710 0.002253 0.010931 0.000772
43.0 0.065691 0.858451 0.002284 0.013015 0.000898
44.0 0.072603 0.845372 0.002309 0.015322 0.001041
45.0 0.080072 0.831449 0.002327 0.017854 0.001203
46.0 0.088126 0.816644 0.002339 0.020614 0.001385
47.0 0.096797 0.800958 0.002346 0.023599 0.001587
48.0 0.106113 0.784380 0.002349 0.026803 0.001811
49.0 0.116103 0.766932 0.002349 0.030217 0.002054
50.0 0.126787 0.748578 0.002346 0.033838 0.002316
51.0 0.138179 0.729313 0.002340 0.037657 0.002594
52.0 0.150296 0.709155 0.002332 0.041664 0.002885
53.0 0.163149 0.688110 0.002321 0.045843 0.003186
54.0 0.176745 0.666215 0.002306 0.050185 0.003497
55.0 0.191058 0.643460 0.002288 0.054680 0.003816
56.0 0.206064 0.619881 0.002265 0.059320 0.004145
57.0 0.221734 0.595530 0.002237 0.064084 0.004483
58.0 0.238037 0.570500 0.002201 0.068949 0.004827
59.0 0.254921 0.544875 0.002154 0.073896 0.005181
60.0 0.272297 0.518719 0.002096 0.078911 0.005546
61.0 0.290076 0.492161 0.002023 0.083977 0.005930
62.0 0.308154 0.465320 0.001935 0.089055 0.006349
63.0 0.326440 0.438349 0.001832 0.094077 0.006849
64.0 0.344796 0.411379 0.001729 0.098807 0.007633
65.0 0.363070 0.384545 0.001700 0.099924 0.011937
66.0 0.381110 0.358002 0.002404 0.004011 0.112498
67.0 0.398773 0.331907 0.007580 0.000062 0.116567
68.0 0.415949 0.306433 0.007862 0.000163 0.121411
69.0 0.432475 0.281695 0.008205 0.000082 0.126304
70.0 0.448225 0.257830 0.008553 0.000058 0.131065
71.0 0.463079 0.234956 0.008897 0.000235 0.135554
72.0 0.476951 0.213167 0.009236 0.000758 0.139616
73.0 0.489805 0.192543 0.009574 0.001779 0.143082
74.0 0.501568 0.173124 0.009913 0.003437 0.145808
75.0 0.512217 0.154945 0.010253 0.005817 0.147709
76.0 0.521727 0.138014 0.010597 0.008919 0.148791
77.0 0.530115 0.122326 0.010948 0.012656 0.149147
