#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62166357 -7.62166357 1.0000000000000002
1.0 0.00007984 -7.62173282 -7.62165298 0.9999988993389974
2.0 0.00031916 -7.62196155 -7.62164239 0.9999977988581715
3.0 0.00071736 -7.62234916 -7.62163181 0.9999966987361399
4.0 0.00127348 -7.62289471 -7.62162123 0.9999955991508304
5.0 0.00198617 -7.62359683 -7.62161066 0.9999945002791373
6.0 0.00285372 -7.62445382 -7.62160010 0.9999934022965923
7.0 0.00387401 -7.62546357 -7.62158956 0.9999923053770472
8.0 0.00504466 -7.62662368 -7.62157902 0.9999912096923339
9.0 0.00636286 -7.62793137 -7.62156851 0.9999901154119696
10.0 0.00782549 -7.62938350 -7.62155801 0.999989022702875
11.0 0.00942913 -7.63097666 -7.62154753 0.999987931729082
12.0 0.01117014 -7.63270721 -7.62153707 0.9999868426514426
13.0 0.01304459 -7.63457122 -7.62152663 0.9999857556273696
14.0 0.01504818 -7.63656441 -7.62151622 0.9999846708106384
15.0 0.01717643 -7.63868227 -7.62150584 0.9999835883511917
16.0 0.01942467 -7.64092016 -7.62149549 0.999982508394899
17.0 0.02178805 -7.64327321 -7.62148516 0.9999814310833738
18.0 0.02426149 -7.64573636 -7.62147487 0.9999803565538256
19.0 0.02683983 -7.64830444 -7.62146460 0.9999792849389121
20.0 0.02951778 -7.65097215 -7.62145438 0.9999782163665945
21.0 0.03228998 -7.65373417 -7.62144418 0.9999771509600244
22.0 0.03515087 -7.65658490 -7.62143403 0.9999760888374852
23.0 0.03809480 -7.65951871 -7.62142391 0.9999750301123602
24.0 0.04111620 -7.66253004 -7.62141383 0.999973974893052
25.0 0.04420959 -7.66561338 -7.62140379 0.9999729232828773
26.0 0.04736931 -7.66876310 -7.62139380 0.9999718753800898
27.0 0.05058970 -7.67197354 -7.62138384 0.9999708312779143
28.0 0.05386523 -7.67523916 -7.62137393 0.9999697910645481
29.0 0.05719040 -7.67855446 -7.62136406 0.9999687548231663
30.0 0.06055974 -7.68191397 -7.62135424 0.9999677226319835
31.0 0.06396783 -7.68531229 -7.62134446 0.9999666945643111
32.0 0.06740941 -7.68874414 -7.62133473 0.9999656706886234
33.0 0.07087946 -7.69220451 -7.62132505 0.9999646510685782
34.0 0.07437304 -7.69568845 -7.62131541 0.9999636357630832
