#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73787446 -7.62166357 -7.49518309 -7.44413110 -7.22990971
1.0 -7.73796728 -7.62173833 -7.49524951 -7.44417616 -7.22994216
2.0 -7.73824577 -7.62196287 -7.49544872 -7.44431153 -7.23003994
3.0 -7.73871001 -7.62233803 -7.49578060 -7.44453770 -7.23020436
4.0 -7.73936012 -7.62286517 -7.49624489 -7.44485552 -7.23043755
5.0 -7.74019632 -7.62354618 -7.49684131 -7.44526619 -7.23074251
6.0 -7.74121883 -7.62438346 -7.49756943 -7.44577124 -7.23112306
7.0 -7.74242793 -7.62537983 -7.49842879 -7.44637259 -7.23158378
8.0 -7.74382393 -7.62653856 -7.49941880 -7.44707249 -7.23213005
9.0 -7.74540715 -7.62786327 -7.50053884 -7.44787358 -7.23276793
10.0 -7.74717795 -7.62935791 -7.50178819 -7.44877887 -7.23350421
11.0 -7.74913664 -7.63102667 -7.50316606 -7.44979174 -7.23434629
12.0 -7.75128358 -7.63287398 -7.50467162 -7.45091592 -7.23530219
13.0 -7.75361906 -7.63490439 -7.50630398 -7.45215552 -7.23638049
14.0 -7.75614335 -7.63712255 -7.50806219 -7.45351497 -7.23759027
15.0 -7.75885666 -7.63953313 -7.50994528 -7.45499903 -7.23894110
16.0 -7.76175912 -7.64214076 -7.51195223 -7.45661271 -7.24044296
17.0 -7.76485079 -7.64494999 -7.51408202 -7.45836129 -7.24210623
18.0 -7.76813159 -7.64796523 -7.51633359 -7.46025023 -7.24394161
19.0 -7.77160136 -7.65119067 -7.51870588 -7.46228510 -7.24596013
20.0 -7.77525976 -7.65463030 -7.52119783 -7.46447156 -7.24817309
21.0 -7.77910632 -7.65828781 -7.52380837 -7.46681525 -7.25059201
22.0 -7.78314040 -7.66216656 -7.52653646 -7.46932169 -7.25322863
23.0 -7.78736113 -7.66626956 -7.52938103 -7.47199627 -7.25609485
24.0 -7.79176746 -7.67059945 -7.53234105 -7.47484404 -7.25920272
25.0 -7.79635811 -7.67515841 -7.53541547 -7.47786975 -7.26256440
26.0 -7.80113156 -7.67994822 -7.53860328 -7.48107766 -7.26619217
27.0 -7.80608603 -7.68497018 -7.54190343 -7.48447149 -7.27009835
28.0 -7.81121949 -7.69022507 -7.54531488 -7.48805433 -7.27429531
29.0 -7.81652961 -7.69571319 -7.54883658 -7.49182856 -7.27879543
30.0 -7.82201378 -7.70143427 -7.55246743 -7.49579577 -7.28361110
31.0 -7.82766908 -7.70738750 -7.55620630 -7.49995674 -7.28875463
32.0 -7.83349231 -7.71357146 -7.56005202 -7.50431133 -7.29423826
33.0 -7.83947994 -7.71998415 -7.56400332 -7.50885851 -7.30007411
34.0 -7.84562814 -7.72662291 -7.56805889 -7.51359632 -7.30627410
35.0 -7.85193277 -7.73348445 -7.57221727 -7.51852184 -7.31284989
36.0 -7.85838937 -7.74056478 -7.57647694 -7.52363123 -7.31981279
37.0 -7.86499320 -7.74785921 -7.58083619 -7.52891976 -7.32717365
38.0 -7.87173919 -7.75536235 -7.58529321 -7.53438181 -7.33494275
39.0 -7.87862200 -7.76306804 -7.58984599 -7.54001098 -7.34312962
40.0 -7.88563602 -7.77096939 -7.59449238 -7.54580009 -7.35174285
41.0 -7.89277539 -7.77905876 -7.59923000 -7.55174130 -7.36078992
42.0 -7.90003398 -7.78732774 -7.60405632 -7.55782614 -7.37027697
43.0 -7.90740546 -7.79576714 -7.60896856 -7.56404562 -7.38020850
44.0 -7.91488332 -7.80436706 -7.61396374 -7.57039031 -7.39058719
45.0 -7.92246083 -7.81311681 -7.61903866 -7.57685041 -7.40141360
46.0 -7.93013117 -7.82200502 -7.62418991 -7.58341584 -7.41268600
47.0 -7.93788736 -7.83101965 -7.62941384 -7.59007630 -7.42440014
48.0 -7.94572238 -7.84014797 -7.63470661 -7.59682139 -7.43654913
49.0 -7.95362912 -7.84937667 -7.64006413 -7.60364063 -7.44912336
50.0 -7.96160047 -7.85869189 -7.64548217 -7.61052354 -7.46211047
51.0 -7.96962932 -7.86807926 -7.65095625 -7.61745973 -7.47549547
52.0 -7.97770863 -7.87752399 -7.65648175 -7.62443890 -7.48926082
53.0 -7.98583139 -7.88701091 -7.66205390 -7.63145093 -7.50338668
54.0 -7.99399074 -7.89652455 -7.66766777 -7.63848588 -7.51785115
55.0 -8.00217993 -7.90604926 -7.67331835 -7.64553410 -7.53263056
56.0 -8.01039235 -7.91556924 -7.67900051 -7.65258618 -7.54769982
57.0 -8.01862157 -7.92506863 -7.68470908 -7.65963300 -7.56303271
58.0 -8.02686131 -7.93453163 -7.69043886 -7.66666577 -7.57860222
59.0 -8.03510549 -7.94394258 -7.69618466 -7.67367605 -7.59438085
60.0 -8.04334820 -7.95328604 -7.70194136 -7.68065572 -7.61034091
61.0 -8.05158370 -7.96254691 -7.70770396 -7.68759704 -7.62645472
62.0 -8.05980639 -7.97171052 -7.71346767 -7.69449260 -7.64269482
63.0 -8.06801078 -7.98076271 -7.71922807 -7.70133539 -7.65903399
64.0 -8.07619151 -7.98968998 -7.72498145 -7.70811875 -7.67544518
65.0 -8.08434327 -7.99847951 -7.73072555 -7.71483654 -7.69190075
66.0 -8.09246076 -8.00711933 -7.73646195 -7.72148378 -7.70836954
67.0 -8.10053871 -8.01559832 -7.74220717 -7.72807071 -7.72479186
68.0 -8.10857179 -8.02390633 -7.74810413 -7.74108021 -7.73451072
69.0 -8.11655466 -8.03203427 -7.75839807 -7.75285326 -7.74091046
70.0 -8.12448187 -8.03997404 -7.77443915 -7.75879500 -7.74720813
71.0 -8.13234792 -8.04771869 -7.79067616 -7.76443188 -7.75340265
72.0 -8.14014722 -8.05526232 -7.80685766 -7.76999690 -7.75948843
73.0 -8.14787416 -8.06260014 -7.82294131 -7.77551653 -7.76545911
74.0 -8.15552309 -8.06972844 -7.83890520 -7.78099901 -7.77130790
75.0 -8.16308839 -8.07664455 -7.85473286 -7.78644900 -7.77702789
76.0 -8.17056447 -8.08334679 -7.87041036 -7.79187012 -7.78261233
77.0 -8.17794588 -8.08983443 -7.88592534 -7.79726542 -7.78805506
78.0 -8.18522732 -8.09610766 -7.90126669 -7.80263717 -7.79335102
79.0 -8.19240370 -8.10216750 -7.91642432 -7.80798658 -7.79849662
80.0 -8.19947021 -8.10801583 -7.93138900 -7.81331363 -7.80348994
81.0 -8.20642231 -8.11365530 -7.94615225 -7.81861722 -7.80833064
82.0 -8.21325584 -8.11908935 -7.96070621 -7.82389539 -7.81301967
83.0 -8.21996700 -8.12432226 -7.97504351 -7.82914580 -7.81755886
84.0 -8.22655241 -8.12935919 -7.98915704 -7.83436602 -7.82195053
85.0 -8.23300910 -8.13420628 -8.00303979 -7.83955388 -7.82619716
86.0 -8.23933453 -8.13887090 -8.01668451 -7.84470759 -7.83030123
87.0 -8.24552663 -8.14336187 -8.03008332 -7.84982589 -7.83426509
88.0 -8.25158375 -8.14769003 -8.04322720 -7.85490797 -7.83809096
89.0 -8.25750468 -8.15186887 -8.05610515 -7.85995353 -7.84178092
90.0 -8.26328865 -8.15591573 -8.06870298 -7.86496268 -7.84533695
91.0 -8.26893532 -8.15985349 -8.08100155 -7.86993589 -7.84876101
92.0 -8.27444475 -8.16371342 -8.09297385 -7.87487397 -7.85205504
93.0 -8.27981741 -8.16753958 -8.10458051 -7.87977804 -7.85522103
94.0 -8.28505413 -8.17139592 -8.11576270 -7.88464952 -7.85826105
95.0 -8.29015613 -8.17537684 -8.12643148 -7.88949010 -7.86117729
96.0 -8.29512499 -8.17962080 -8.13645409 -7.89430180 -7.86397210
97.0 -8.29996264 -8.18431982 -8.14564449 -7.89908700 -7.86664808
98.0 -8.30467133 -8.18970196 -8.15378078 -7.90384852 -7.86920813
99.0 -8.30925368 -8.19595572 -8.16068070 -7.90858969 -7.87165559
100.0 -8.31371264 -8.20312083 -8.16631087 -7.91331449 -7.87399458
101.0 -8.31805153 -8.21105819 -8.17081673 -7.91802772 -7.87623061
102.0 -8.32227403 -8.21953910 -8.17443320 -7.92273515 -7.87837243
103.0 -8.32638424 -8.22834724 -8.17738272 -7.92744383 -7.88043827
104.0 -8.33038672 -8.23732009 -8.17983365 -7.93216230 -7.88248833
105.0 -8.33428657 -8.24634693 -8.18190218 -7.93690092 -7.88498036
106.0 -8.33808955 -8.25535448 -8.18366652 -7.94167222 -7.89061689
107.0 -8.34180223 -8.26429388 -8.18517975 -7.94649112 -7.89784433
108.0 -8.34543220 -8.27313145 -8.18647880 -7.95137512 -7.90508569
109.0 -8.34898841 -8.28184263 -8.18759014 -7.95634415 -7.91217469
110.0 -8.35248162 -8.29040785 -8.18853341 -7.96142003 -7.91906067
111.0 -8.35592506 -8.29880966 -8.18932365 -7.96662525 -7.92571076
112.0 -8.35933533 -8.30703027 -8.18997277 -7.97198111 -7.93209818
113.0 -8.36273379 -8.31504929 -8.19049043 -7.97750524 -7.93820146
114.0 -8.36614835 -8.32284126 -8.19088473 -7.98320900 -7.94400598
115.0 -8.36961589 -8.33037274 -8.19116258 -7.98909558 -7.94950559
116.0 -8.37318503 -8.33759934 -8.19133001 -7.99515932 -7.95470308
117.0 -8.37691820 -8.34446332 -8.19139237 -8.00138657 -7.95960922
118.0 -8.38089050 -8.35089461 -8.19135448 -8.00775781 -7.96424075
119.0 -8.38518117 -8.35681925 -8.19122074 -8.01425012 -7.96861777
120.0 -8.38985465 -8.36217819 -8.19099519 -8.02083963 -7.97276143
121.0 -8.39493713 -8.36695070 -8.19068160 -8.02750318 -7.97669217
122.0 -8.40040459 -8.37116622 -8.19028348 -8.03421946 -7.98042866
123.0 -8.40619324 -8.37489398 -8.18980415 -8.04096950 -7.98398735
124.0 -8.41222315 -8.37821924 -8.18924675 -8.04773675 -7.98738235
125.0 -8.41841855 -8.38122299 -8.18861426 -8.05450696 -7.99062558
126.0 -8.42471739 -8.38397241 -8.18790954 -8.06126797 -7.99372701
127.0 -8.43107269 -8.38651944 -8.18713531 -8.06800938 -7.99669498
128.0 -8.43745037 -8.38890298 -8.18629422 -8.07472231 -7.99953646
129.0 -8.44382611 -8.39115199 -8.18538881 -8.08139914 -8.00225730
