# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 0.999999 0.000000 0.000000 0.000000
2.0 0.000000 0.999997 0.000000 0.000000 0.000000
3.0 0.000001 0.999992 0.000000 0.000001 0.000000
4.0 0.000004 0.999981 0.000001 0.000003 0.000000
5.0 0.000009 0.999960 0.000001 0.000006 0.000000
6.0 0.000018 0.999922 0.000003 0.000013 0.000000
7.0 0.000033 0.999862 0.000005 0.000023 0.000001
8.0 0.000057 0.999772 0.000009 0.000036 0.000001
9.0 0.000092 0.999643 0.000015 0.000055 0.000001
10.0 0.000140 0.999466 0.000022 0.000077 0.000002
11.0 0.000207 0.999232 0.000033 0.000104 0.000002
12.0 0.000294 0.998931 0.000046 0.000134 0.000003
13.0 0.000408 0.998553 0.000064 0.000166 0.000003
14.0 0.000553 0.998085 0.000085 0.000198 0.000004
15.0 0.000733 0.997517 0.000112 0.000229 0.000005
16.0 0.000955 0.996837 0.000144 0.000256 0.000006
17.0 0.001226 0.996031 0.000182 0.000277 0.000007
18.0 0.001552 0.995087 0.000226 0.000290 0.000009
19.0 0.001941 0.993992 0.000276 0.000293 0.000012
20.0 0.002400 0.992731 0.000333 0.000285 0.000015
21.0 0.002938 0.991288 0.000397 0.000266 0.000018
22.0 0.003564 0.989646 0.000468 0.000236 0.000023
23.0 0.004289 0.987788 0.000545 0.000197 0.000027
24.0 0.005121 0.985697 0.000628 0.000152 0.000033
25.0 0.006072 0.983351 0.000717 0.000106 0.000039
26.0 0.007153 0.980726 0.000811 0.000064 0.000046
27.0 0.008376 0.977803 0.000909 0.000035 0.000053
28.0 0.009754 0.974558 0.001011 0.000027 0.000062
29.0 0.011301 0.970967 0.001114 0.000051 0.000073
30.0 0.013030 0.967003 0.001220 0.000118 0.000086
31.0 0.014956 0.962640 0.001325 0.000242 0.000102
32.0 0.017095 0.957853 0.001430 0.000434 0.000122
33.0 0.019464 0.952618 0.001534 0.000711 0.000146
34.0 0.022079 0.946901 0.001634 0.001086 0.000175
35.0 0.024959 0.940672 0.001731 0.001573 0.000209
36.0 0.028123 0.933904 0.001823 0.002188 0.000250
37.0 0.031590 0.926575 0.001910 0.002944 0.000299
38.0 0.035383 0.918654 0.001990 0.003854 0.000355
39.0 0.039522 0.910117 0.002064 0.004929 0.000420
40.0 0.044031 0.900941 0.002131 0.006182 0.000494
41.0 0.048933 0.891100 0.002191 0.007620 0.000578
42.0 0.054252 0.880571 0.002243 0.009253 0.000674
43.0 0.060012 0.869332 0.002288 0.011087 0.000784
44.0 0.066238 0.857358 0.002326 0.013127 0.000907
45.0 0.072957 0.844633 0.002357 0.015374 0.001047
46.0 0.080192 0.831138 0.002381 0.017832 0.001204
47.0 0.087967 0.816855 0.002399 0.020499 0.001380
48.0 0.096306 0.801772 0.002411 0.023373 0.001574
49.0 0.105233 0.785889 0.002418 0.026450 0.001787
50.0 0.114766 0.769196 0.002421 0.029724 0.002018
51.0 0.124922 0.751684 0.002419 0.033188 0.002265
52.0 0.135716 0.733361 0.002413 0.036834 0.002527
53.0 0.147158 0.714234 0.002404 0.040652 0.002800
54.0 0.159255 0.694319 0.002391 0.044629 0.003083
55.0 0.172003 0.673631 0.002375 0.048756 0.003374
56.0 0.185392 0.652190 0.002355 0.053021 0.003674
57.0 0.199405 0.630031 0.002330 0.057409 0.003981
58.0 0.214021 0.607205 0.002300 0.061905 0.004295
59.0 0.229205 0.583767 0.002264 0.066491 0.004617
60.0 0.244908 0.559771 0.002220 0.071155 0.004948
61.0 0.261070 0.535298 0.002167 0.075880 0.005290
62.0 0.277625 0.510439 0.002102 0.080648 0.005645
63.0 0.294497 0.485293 0.002023 0.085435 0.006021
64.0 0.311593 0.459964 0.001930 0.090209 0.006435
65.0 0.328809 0.434563 0.001827 0.094902 0.006937
66.0 0.346034 0.409208 0.001729 0.099262 0.007746
67.0 0.363156 0.384031 0.001701 0.099717 0.012354
68.0 0.380060 0.359162 0.002279 0.003931 0.112548
69.0 0.396623 0.334719 0.007412 0.000125 0.116154
70.0 0.412725 0.310824 0.007725 0.000225 0.120610
71.0 0.428255 0.287596 0.008053 0.000166 0.125145
72.0 0.443117 0.265139 0.008381 0.000131 0.129580
73.0 0.457225 0.243546 0.008703 0.000243 0.133795
74.0 0.470502 0.222891 0.009020 0.000612 0.137675
75.0 0.482884 0.203235 0.009335 0.001361 0.141096
76.0 0.494331 0.184625 0.009650 0.002604 0.143939
77.0 0.504818 0.167089 0.009966 0.004433 0.146116
78.0 0.514330 0.150636 0.010289 0.006887 0.147586
79.0 0.522858 0.135256 0.010619 0.009939 0.148381
80.0 0.530414 0.120938 0.010956 0.013496 0.148596
81.0 0.537018 0.107655 0.011298 0.017418 0.148375
82.0 0.542698 0.095372 0.011644 0.021550 0.147875
83.0 0.547487 0.084047 0.011998 0.025746 0.147246
84.0 0.551421 0.073631 0.012364 0.029890 0.146609
85.0 0.554544 0.064073 0.012747 0.033899 0.146051
86.0 0.556906 0.055325 0.013148 0.037720 0.145624
87.0 0.558555 0.047334 0.013570 0.041327 0.145354
88.0 0.559533 0.040047 0.014021 0.044710 0.145245
89.0 0.559885 0.033413 0.014506 0.047872 0.145285
90.0 0.559660 0.027383 0.015031 0.050822 0.145460
91.0 0.558901 0.021914 0.015597 0.053572 0.145747
92.0 0.557648 0.016970 0.016203 0.056135 0.146126
93.0 0.555933 0.012523 0.016841 0.058523 0.146570
94.0 0.553784 0.008573 0.017481 0.060747 0.147048
95.0 0.551239 0.005165 0.018047 0.062816 0.147533
96.0 0.548325 0.002425 0.018384 0.064736 0.147990
97.0 0.545060 0.000601 0.018224 0.066506 0.148389
98.0 0.541452 0.000015 0.017225 0.068119 0.148683
99.0 0.537519 0.000833 0.015209 0.069566 0.148808
100.0 0.533276 0.002787 0.012436 0.070834 0.148664
101.0 0.528735 0.005303 0.009478 0.071899 0.148071
102.0 0.523899 0.007917 0.006801 0.072734 0.146628
103.0 0.518748 0.010440 0.004604 0.073299 0.143207
104.0 0.513260 0.012869 0.002906 0.073546 0.133042
105.0 0.507415 0.015281 0.001659 0.073418 0.076810
106.0 0.501176 0.017779 0.000801 0.072846 0.000165
107.0 0.494486 0.020477 0.000274 0.071759 0.004451
108.0 0.487259 0.023504 0.000032 0.070078 0.010321
109.0 0.479373 0.027018 0.000037 0.067731 0.015974
110.0 0.470668 0.031213 0.000259 0.064669 0.021825
111.0 0.460913 0.036347 0.000673 0.060883 0.028108
112.0 0.449780 0.042763 0.001257 0.056425 0.034877
113.0 0.436801 0.050929 0.001995 0.051414 0.042064
114.0 0.421340 0.061489 0.002869 0.046039 0.049515
115.0 0.402556 0.075301 0.003868 0.040540 0.057014
116.0 0.379390 0.093436 0.004979 0.035155 0.064334
117.0 0.350718 0.117028 0.006191 0.030088 0.071282
118.0 0.315784 0.146834 0.007494 0.025477 0.077718
119.0 0.275016 0.182423 0.008878 0.021393 0.083572
120.0 0.230797 0.221424 0.010336 0.017851 0.088831
121.0 0.187176 0.259802 0.011860 0.014829 0.093523
122.0 0.148182 0.293537 0.013444 0.012277 0.097696
123.0 0.116091 0.320357 0.015081 0.010140 0.101400
124.0 0.091137 0.340034 0.016764 0.008358 0.104687
125.0 0.072329 0.353566 0.018490 0.006876 0.107611
126.0 0.058318 0.362316 0.020253 0.005647 0.110220
127.0 0.047876 0.367527 0.022052 0.004628 0.112561
128.0 0.040037 0.370170 0.023883 0.003782 0.114668
129.0 0.034087 0.370957 0.025740 0.003081 0.116560
130.0 0.029516 0.370408 0.027621 0.002499 0.118266
131.0 0.025963 0.368894 0.029523 0.002015 0.119806
132.0 0.023167 0.366679 0.031448 0.001611 0.121200
133.0 0.020944 0.363957 0.033394 0.001272 0.122469
134.0 0.019162 0.360858 0.035359 0.000984 0.123619
135.0 0.017722 0.357483 0.037344 0.000739 0.124664
136.0 0.016555 0.353915 0.039348 0.000526 0.125617
137.0 0.015605 0.350212 0.041371 0.000341 0.126486
138.0 0.014830 0.346417 0.043411 0.000179 0.127272
139.0 0.014198 0.342562 0.045451 0.000051 0.127974
140.0 0.013685 0.338670 0.047430 0.000010 0.128592
141.0 0.013273 0.334762 0.049016 0.000388 0.129125
142.0 0.012949 0.330860 0.047289 0.004098 0.129573
143.0 0.012698 0.326976 0.022688 0.030704 0.129932
144.0 0.012511 0.323114 0.006681 0.048732 0.130179
145.0 0.012377 0.319283 0.003384 0.054062 0.130282
146.0 0.012289 0.315490 0.002270 0.057218 0.130180
147.0 0.012242 0.311745 0.001753 0.059781 0.129755
148.0 0.012230 0.308060 0.001471 0.062112 0.128720
149.0 0.012249 0.304436 0.001304 0.064326 0.126184
150.0 0.012294 0.300873 0.001203 0.066468 0.117645
151.0 0.012362 0.297372 0.001144 0.068559 0.052331
152.0 0.012451 0.293936 0.001113 0.070608 0.000039
