#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62166357 -7.62166357 1.0000000000000002
1.0 0.00008766 -7.62174592 -7.62165826 0.9999999999999972
2.0 0.00035045 -7.62199277 -7.62164232 0.999999999999996
3.0 0.00078777 -7.62240351 -7.62161573 0.9999999999999969
4.0 0.00139865 -7.62297713 -7.62157849 0.9999999999999968
5.0 0.00218169 -7.62371224 -7.62153055 1.000000000000002
6.0 0.00313516 -7.62460706 -7.62147189 1.0000000000000044
7.0 0.00425692 -7.62565940 -7.62140247 1.0000000000000056
8.0 0.00554452 -7.62686677 -7.62132225 1.0000000000000036
9.0 0.00699510 -7.62822627 -7.62123116 1.000000000000002
10.0 0.00860555 -7.62973466 -7.62112911 1.0000000000000004
11.0 0.01037238 -7.63138840 -7.62101603 1.0000000000000009
12.0 0.01229184 -7.63318373 -7.62089189 1.0000000000000002
13.0 0.01435995 -7.63511657 -7.62075662 1.0000000000000016
14.0 0.01657239 -7.63718245 -7.62061006 1.000000000000004
15.0 0.01892470 -7.63937674 -7.62045204 1.0000000000000067
16.0 0.02141219 -7.64169464 -7.62028245 1.0000000000000027
17.0 0.02402996 -7.64413109 -7.62010113 0.9999999999999999
18.0 0.02677297 -7.64668086 -7.61990789 0.9999999999999982
19.0 0.02963606 -7.64933862 -7.61970256 0.9999999999999972
20.0 0.03261392 -7.65209889 -7.61948497 0.9999999999999952
21.0 0.03570120 -7.65495615 -7.61925495 0.9999999999999954
22.0 0.03889242 -7.65790463 -7.61901220 0.9999999999999971
23.0 0.04218209 -7.66093852 -7.61875643 0.9999999999999987
24.0 0.04556465 -7.66405206 -7.61848741 0.9999999999999973
25.0 0.04903462 -7.66723961 -7.61820499 0.9999999999999951
26.0 0.05258641 -7.67049530 -7.61790889 0.9999999999999917
27.0 0.05621447 -7.67381330 -7.61759883 0.9999999999999883
28.0 0.05991341 -7.67718793 -7.61727452 0.9999999999999899
29.0 0.06367780 -7.68061347 -7.61693567 0.9999999999999865
30.0 0.06750232 -7.68408429 -7.61658196 0.999999999999986
31.0 0.07138176 -7.68759480 -7.61621305 0.9999999999999862
32.0 0.07531092 -7.69113957 -7.61582864 0.9999999999999841
33.0 0.07928485 -7.69471337 -7.61542852 0.9999999999999877
34.0 0.08329869 -7.69831113 -7.61501244 0.9999999999999866
35.0 0.08734762 -7.70192762 -7.61457999 0.9999999999999883
36.0 0.09142705 -7.70555790 -7.61413085 0.9999999999999887
37.0 0.09553248 -7.70919723 -7.61366475 0.999999999999989
38.0 0.09965963 -7.71284114 -7.61318151 0.9999999999999888
39.0 0.10380429 -7.71648512 -7.61268084 0.9999999999999891
40.0 0.10796246 -7.72012500 -7.61216253 0.9999999999999881
41.0 0.11213035 -7.72375678 -7.61162643 0.9999999999999918
42.0 0.11630425 -7.72737657 -7.61107232 0.9999999999999949
43.0 0.12048068 -7.73098067 -7.61049998 0.9999999999999976
44.0 0.12465635 -7.73456553 -7.60990918 0.9999999999999994
45.0 0.12882801 -7.73812781 -7.60929979 1.0000000000000038
46.0 0.13299281 -7.74166460 -7.60867179 1.0000000000000042
47.0 0.13714791 -7.74517298 -7.60802508 0.9999999999999999
48.0 0.14129058 -7.74865007 -7.60735949 0.9999999999999981
49.0 0.14541841 -7.75209336 -7.60667495 0.9999999999999967
50.0 0.14952904 -7.75550052 -7.60597148 0.9999999999999939
51.0 0.15362026 -7.75886929 -7.60524903 0.999999999999992
52.0 0.15768998 -7.76219759 -7.60450761 0.9999999999999912
53.0 0.16173632 -7.76548358 -7.60374726 0.9999999999999909
54.0 0.16575754 -7.76872568 -7.60296814 0.9999999999999893
55.0 0.16975201 -7.77192244 -7.60217043 0.9999999999999903
56.0 0.17371822 -7.77507241 -7.60135418 0.9999999999999876
57.0 0.17765470 -7.77817418 -7.60051948 0.9999999999999871
58.0 0.18156012 -7.78122663 -7.59966651 0.9999999999999891
59.0 0.18543343 -7.78422904 -7.59879561 0.9999999999999889
60.0 0.18927351 -7.78718053 -7.59790702 0.9999999999999873
61.0 0.19307937 -7.79008031 -7.59700094 0.9999999999999833
62.0 0.19685013 -7.79292778 -7.59607765 0.9999999999999815
63.0 0.20058504 -7.79572256 -7.59513751 0.9999999999999808
64.0 0.20428337 -7.79846428 -7.59418091 0.9999999999999782
65.0 0.20794452 -7.80115265 -7.59320813 0.9999999999999759
66.0 0.21156784 -7.80378733 -7.59221949 0.9999999999999754
67.0 0.21515290 -7.80636832 -7.59121542 0.9999999999999744
68.0 0.21869935 -7.80889585 -7.59019650 0.9999999999999785
69.0 0.22220689 -7.81137009 -7.58916321 0.9999999999999786
70.0 0.22567512 -7.81379100 -7.58811588 0.9999999999999796
71.0 0.22910374 -7.81615864 -7.58705489 0.9999999999999826
72.0 0.23249262 -7.81847338 -7.58598076 0.9999999999999812
73.0 0.23584162 -7.82073570 -7.58489408 0.9999999999999822
74.0 0.23915069 -7.82294605 -7.58379536 0.9999999999999845
75.0 0.24241983 -7.82510487 -7.58268503 0.9999999999999828
76.0 0.24564896 -7.82721251 -7.58156355 0.9999999999999843
77.0 0.24883825 -7.82926976 -7.58043151 0.9999999999999833
78.0 0.25198779 -7.83127732 -7.57928953 0.9999999999999816
79.0 0.25509764 -7.83323569 -7.57813805 0.9999999999999801
80.0 0.25816793 -7.83514541 -7.57697748 0.9999999999999821
81.0 0.26119881 -7.83700712 -7.57580831 0.9999999999999801
82.0 0.26419056 -7.83882174 -7.57463117 0.9999999999999786
83.0 0.26714347 -7.84059016 -7.57344669 0.9999999999999782
84.0 0.27005776 -7.84231309 -7.57225533 0.999999999999975
85.0 0.27293365 -7.84399115 -7.57105750 0.9999999999999732
86.0 0.27577133 -7.84562496 -7.56985364 0.9999999999999751
87.0 0.27857115 -7.84721548 -7.56864433 0.9999999999999746
88.0 0.28133345 -7.84876361 -7.56743016 0.999999999999973
89.0 0.28405847 -7.85027007 -7.56621160 0.9999999999999727
90.0 0.28674660 -7.85173564 -7.56498904 0.9999999999999746
91.0 0.28939817 -7.85316114 -7.56376298 0.999999999999973
92.0 0.29201352 -7.85454747 -7.56253396 0.9999999999999755
93.0 0.29459307 -7.85589559 -7.56130251 0.9999999999999748
94.0 0.29713710 -7.85720614 -7.56006904 0.999999999999977
95.0 0.29964587 -7.85847970 -7.55883383 0.999999999999977
96.0 0.30211976 -7.85971705 -7.55759729 0.9999999999999795
97.0 0.30455915 -7.86091905 -7.55635990 0.9999999999999815
98.0 0.30696448 -7.86208661 -7.55512214 0.9999999999999798
99.0 0.30933614 -7.86322051 -7.55388437 0.9999999999999779
100.0 0.31167449 -7.86432140 -7.55264691 0.9999999999999796
101.0 0.31397992 -7.86539001 -7.55141009 0.9999999999999808
102.0 0.31625277 -7.86642707 -7.55017430 0.9999999999999807
103.0 0.31849349 -7.86743344 -7.54893995 0.9999999999999821
104.0 0.32070240 -7.86840976 -7.54770736 0.9999999999999843
105.0 0.32287983 -7.86935659 -7.54647676 0.9999999999999855
106.0 0.32502624 -7.87027468 -7.54524844 0.9999999999999897
