#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73787446 -7.62166357 -7.49518309 -7.44413110 -7.22990971
1.0 -7.73797021 -7.62174068 -7.49525160 -7.44417758 -7.22994318
2.0 -7.73825747 -7.62197231 -7.49545709 -7.44431722 -7.23004407
3.0 -7.73873637 -7.62235936 -7.49579943 -7.44455057 -7.23021375
4.0 -7.73940708 -7.62290332 -7.49627841 -7.44487853 -7.23045452
5.0 -7.74026985 -7.62360623 -7.49689371 -7.44530240 -7.23076960
6.0 -7.74132498 -7.62447066 -7.49764495 -7.44582386 -7.23116304
7.0 -7.74257285 -7.62549970 -7.49853167 -7.44644496 -7.23163978
8.0 -7.74401384 -7.62669688 -7.49955331 -7.44716817 -7.23220554
9.0 -7.74564842 -7.62806611 -7.50070927 -7.44799635 -7.23286684
10.0 -7.74747704 -7.62961169 -7.50199887 -7.44893276 -7.23363093
11.0 -7.74950019 -7.63133816 -7.50342135 -7.44998107 -7.23450575
12.0 -7.75171835 -7.63325033 -7.50497592 -7.45114536 -7.23549991
13.0 -7.75413198 -7.63535315 -7.50666174 -7.45243010 -7.23662261
14.0 -7.75674152 -7.63765167 -7.50847792 -7.45384011 -7.23788361
15.0 -7.75954735 -7.64015099 -7.51042355 -7.45538058 -7.23929320
16.0 -7.76254980 -7.64285616 -7.51249769 -7.45705699 -7.24086215
17.0 -7.76574911 -7.64577217 -7.51469938 -7.45887510 -7.24260163
18.0 -7.76914543 -7.64890386 -7.51702768 -7.46084086 -7.24452323
19.0 -7.77273876 -7.65225587 -7.51948162 -7.46296039 -7.24663890
20.0 -7.77652899 -7.65583261 -7.52206026 -7.46523985 -7.24896089
21.0 -7.78051585 -7.65963817 -7.52476267 -7.46768541 -7.25150173
22.0 -7.78469888 -7.66367635 -7.52758791 -7.47030311 -7.25427424
23.0 -7.78907742 -7.66795057 -7.53053509 -7.47309882 -7.25729144
24.0 -7.79365061 -7.67246382 -7.53360332 -7.47607807 -7.26056655
25.0 -7.79841735 -7.67721870 -7.53679174 -7.47924603 -7.26411297
26.0 -7.80337628 -7.68221730 -7.54009948 -7.48260734 -7.26794426
27.0 -7.80852577 -7.68746125 -7.54352569 -7.48616602 -7.27207410
28.0 -7.81386392 -7.69295165 -7.54706951 -7.48992543 -7.27651627
29.0 -7.81938852 -7.69868905 -7.55073006 -7.49388811 -7.28128462
30.0 -7.82509705 -7.70467340 -7.55450644 -7.49805577 -7.28639306
31.0 -7.83098667 -7.71090408 -7.55839770 -7.50242918 -7.29185550
32.0 -7.83705422 -7.71737980 -7.56240283 -7.50700813 -7.29768581
33.0 -7.84329617 -7.72409862 -7.56652076 -7.51179143 -7.30389776
34.0 -7.84970870 -7.73105789 -7.57075029 -7.51677684 -7.31050498
35.0 -7.85628761 -7.73825425 -7.57509013 -7.52196111 -7.31752083
36.0 -7.86302837 -7.74568353 -7.57953885 -7.52733998 -7.32495831
37.0 -7.86992610 -7.75334082 -7.58409486 -7.53290820 -7.33282989
38.0 -7.87697561 -7.76122036 -7.58875639 -7.53865959 -7.34114738
39.0 -7.88417135 -7.76931554 -7.59352149 -7.54458710 -7.34992170
40.0 -7.89150751 -7.77761889 -7.59838800 -7.55068287 -7.35916265
41.0 -7.89897794 -7.78612206 -7.60335351 -7.55693830 -7.36887865
