# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 0.999999 0.000000 0.000000 0.000000
3.0 0.000001 0.999995 0.000000 0.000001 0.000000
4.0 0.000004 0.999985 0.000001 0.000003 0.000000
5.0 0.000009 0.999963 0.000001 0.000007 0.000000
6.0 0.000019 0.999925 0.000003 0.000014 0.000000
7.0 0.000035 0.999862 0.000006 0.000025 0.000001
8.0 0.000060 0.999767 0.000010 0.000039 0.000001
9.0 0.000096 0.999632 0.000015 0.000059 0.000001
10.0 0.000147 0.999445 0.000023 0.000083 0.000002
11.0 0.000217 0.999199 0.000034 0.000112 0.000002
12.0 0.000310 0.998881 0.000048 0.000143 0.000003
13.0 0.000430 0.998481 0.000067 0.000177 0.000003
14.0 0.000582 0.997987 0.000089 0.000211 0.000004
15.0 0.000773 0.997387 0.000117 0.000242 0.000005
16.0 0.001009 0.996667 0.000150 0.000269 0.000006
17.0 0.001297 0.995813 0.000190 0.000289 0.000008
18.0 0.001643 0.994814 0.000236 0.000300 0.000010
19.0 0.002057 0.993653 0.000289 0.000301 0.000012
20.0 0.002547 0.992315 0.000348 0.000290 0.000016
21.0 0.003123 0.990781 0.000415 0.000266 0.000020
22.0 0.003794 0.989034 0.000489 0.000232 0.000024
23.0 0.004571 0.987054 0.000569 0.000189 0.000029
24.0 0.005465 0.984823 0.000655 0.000142 0.000035
25.0 0.006489 0.982315 0.000748 0.000095 0.000042
26.0 0.007656 0.979505 0.000845 0.000057 0.000049
27.0 0.008978 0.976371 0.000946 0.000035 0.000058
28.0 0.010469 0.972886 0.001051 0.000041 0.000068
29.0 0.012147 0.969023 0.001157 0.000086 0.000080
30.0 0.014024 0.964751 0.001265 0.000184 0.000095
31.0 0.016120 0.960041 0.001373 0.000349 0.000113
32.0 0.018451 0.954864 0.001480 0.000597 0.000135
33.0 0.021037 0.949194 0.001584 0.000942 0.000162
34.0 0.023896 0.942993 0.001686 0.001402 0.000195
35.0 0.027050 0.936228 0.001783 0.001991 0.000235
36.0 0.030520 0.928870 0.001875 0.002726 0.000282
37.0 0.034330 0.920891 0.001961 0.003621 0.000337
38.0 0.038502 0.912260 0.002040 0.004690 0.000402
39.0 0.043064 0.902948 0.002112 0.005945 0.000477
40.0 0.048039 0.892929 0.002177 0.007396 0.000563
41.0 0.053457 0.882175 0.002234 0.009054 0.000661
42.0 0.059343 0.870661 0.002284 0.010926 0.000772
43.0 0.065727 0.858361 0.002326 0.013017 0.000898
44.0 0.072637 0.845249 0.002360 0.015331 0.001041
45.0 0.080103 0.831307 0.002387 0.017870 0.001202
46.0 0.088154 0.816515 0.002408 0.020633 0.001382
47.0 0.096815 0.800852 0.002423 0.023619 0.001582
48.0 0.106115 0.784308 0.002432 0.026823 0.001803
49.0 0.116078 0.766880 0.002437 0.030240 0.002044
50.0 0.126727 0.748559 0.002436 0.033861 0.002303
51.0 0.138078 0.729337 0.002432 0.037679 0.002579
52.0 0.150144 0.709226 0.002423 0.041683 0.002869
53.0 0.162935 0.688237 0.002410 0.045861 0.003171
54.0 0.176452 0.666392 0.002394 0.050200 0.003481
55.0 0.190685 0.643716 0.002373 0.054687 0.003799
56.0 0.205612 0.620241 0.002346 0.059310 0.004126
57.0 0.221204 0.596017 0.002314 0.064053 0.004459
58.0 0.237422 0.571115 0.002273 0.068899 0.004801
59.0 0.254210 0.545609 0.002221 0.073829 0.005152
60.0 0.271493 0.519583 0.002158 0.078826 0.005517
61.0 0.289183 0.493144 0.002080 0.083871 0.005901
62.0 0.307181 0.466417 0.001986 0.088928 0.006320
63.0 0.325379 0.439535 0.001878 0.093933 0.006820
64.0 0.343649 0.412639 0.001772 0.098658 0.007596
65.0 0.361850 0.385872 0.001731 0.100185 0.011487
66.0 0.379839 0.359387 0.002335 0.003937 0.112476
67.0 0.397475 0.333342 0.007453 0.000154 0.116433
68.0 0.414622 0.307891 0.007767 0.000251 0.121253
69.0 0.431136 0.283169 0.008119 0.000181 0.126132
70.0 0.446892 0.259303 0.008469 0.000171 0.130880
71.0 0.461779 0.236413 0.008811 0.000363 0.135355
72.0 0.475705 0.214592 0.009146 0.000900 0.139405
73.0 0.488604 0.193916 0.009478 0.001934 0.142871
74.0 0.500420 0.174436 0.009810 0.003603 0.145611
75.0 0.511116 0.156183 0.010146 0.005991 0.147536
76.0 0.520685 0.139168 0.010486 0.009104 0.148641
77.0 0.529133 0.123388 0.010835 0.012851 0.149019
