#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62081421 -7.62081421 1.0
1.0 0.00008012 -7.62089436 -7.62081424 1.0000000000000007
2.0 0.00032019 -7.62113447 -7.62081427 0.9999999999999992
3.0 0.00071960 -7.62153388 -7.62081428 0.9999999999999967
4.0 0.00127739 -7.62209164 -7.62081425 0.9999999999999967
5.0 0.00199239 -7.62280657 -7.62081418 0.9999999999999969
6.0 0.00286281 -7.62367685 -7.62081404 0.9999999999999954
7.0 0.00388667 -7.62470050 -7.62081384 0.9999999999999931
8.0 0.00506146 -7.62587501 -7.62081355 0.9999999999999928
9.0 0.00638457 -7.62719774 -7.62081317 0.9999999999999946
10.0 0.00785258 -7.62866528 -7.62081270 0.9999999999999958
11.0 0.00946211 -7.63027422 -7.62081210 0.9999999999999971
12.0 0.01120954 -7.63202093 -7.62081139 0.9999999999999963
13.0 0.01309103 -7.63390156 -7.62081052 0.9999999999999957
14.0 0.01510242 -7.63591195 -7.62080953 0.9999999999999961
15.0 0.01723912 -7.63804748 -7.62080836 0.9999999999999966
16.0 0.01949666 -7.64030371 -7.62080706 0.9999999999999968
17.0 0.02186964 -7.64267523 -7.62080559 0.9999999999999959
18.0 0.02435327 -7.64515720 -7.62080393 0.9999999999999968
19.0 0.02694238 -7.64774446 -7.62080209 0.9999999999999944
20.0 0.02963204 -7.65043208 -7.62080003 0.9999999999999931
21.0 0.03241656 -7.65321439 -7.62079783 0.999999999999992
22.0 0.03528989 -7.65608532 -7.62079543 0.9999999999999916
23.0 0.03824638 -7.65903922 -7.62079284 0.9999999999999916
24.0 0.04128097 -7.66207094 -7.62078997 0.999999999999992
25.0 0.04438878 -7.66517570 -7.62078691 0.9999999999999923
26.0 0.04756340 -7.66834707 -7.62078367 0.999999999999993
27.0 0.05079923 -7.67157945 -7.62078021 0.9999999999999918
28.0 0.05409034 -7.67486689 -7.62077655 0.9999999999999908
29.0 0.05743171 -7.67820436 -7.62077265 0.9999999999999912
30.0 0.06081735 -7.68158594 -7.62076859 0.9999999999999897
31.0 0.06424156 -7.68500585 -7.62076429 0.9999999999999899
32.0 0.06769924 -7.68845903 -7.62075979 0.9999999999999903
33.0 0.07118583 -7.69194083 -7.62075500 0.9999999999999907
34.0 0.07469719 -7.69544722 -7.62075003 0.9999999999999915
35.0 0.07822742 -7.69897231 -7.62074489 0.9999999999999925
36.0 0.08177145 -7.70251101 -7.62073956 0.9999999999999925
37.0 0.08532406 -7.70605811 -7.62073405 0.9999999999999947
38.0 0.08888127 -7.70960959 -7.62072832 0.999999999999991
39.0 0.09243879 -7.71316120 -7.62072241 0.9999999999999934
40.0 0.09599287 -7.71670914 -7.62071627 0.9999999999999938
41.0 0.09953972 -7.72024972 -7.62071000 0.999999999999991
42.0 0.10307518 -7.72377870 -7.62070352 0.9999999999999886
43.0 0.10659612 -7.72729301 -7.62069690 0.9999999999999878
44.0 0.11009854 -7.73078866 -7.62069012 0.999999999999988
45.0 0.11357981 -7.73426297 -7.62068315 0.9999999999999861
46.0 0.11703682 -7.73771290 -7.62067607 0.9999999999999841
47.0 0.12046656 -7.74113540 -7.62066884 0.9999999999999847
48.0 0.12386622 -7.74452772 -7.62066151 0.9999999999999838
49.0 0.12723328 -7.74788728 -7.62065400 0.9999999999999853
50.0 0.13056617 -7.75121257 -7.62064640 0.9999999999999852
51.0 0.13386188 -7.75450059 -7.62063871 0.999999999999988
52.0 0.13711877 -7.75774968 -7.62063090 0.9999999999999853
53.0 0.14033496 -7.76095796 -7.62062300 0.9999999999999856
54.0 0.14350978 -7.76412472 -7.62061494 0.999999999999987
55.0 0.14664215 -7.76724900 -7.62060685 0.9999999999999877
56.0 0.14972975 -7.77032846 -7.62059871 0.9999999999999875
57.0 0.15277091 -7.77336147 -7.62059056 0.9999999999999889
58.0 0.15576398 -7.77634630 -7.62058232 0.99999999999999
59.0 0.15870972 -7.77928369 -7.62057397 0.9999999999999892
60.0 0.16160699 -7.78217263 -7.62056564 0.9999999999999913
61.0 0.16445502 -7.78501227 -7.62055725 0.9999999999999934
62.0 0.16725303 -7.78780191 -7.62054889 0.9999999999999925
63.0 0.17000053 -7.79054098 -7.62054045 0.9999999999999934
64.0 0.17269817 -7.79323017 -7.62053200 0.9999999999999962
65.0 0.17534497 -7.79586854 -7.62052358 0.9999999999999958
66.0 0.17794070 -7.79845587 -7.62051517 0.9999999999999978
67.0 0.18048475 -7.80099153 -7.62050678 0.9999999999999974
68.0 0.18297814 -7.80347646 -7.62049832 0.999999999999999
69.0 0.18542136 -7.80591130 -7.62048994 0.9999999999999984
70.0 0.18781368 -7.80829527 -7.62048159 0.9999999999999987
71.0 0.19015536 -7.81062865 -7.62047330 0.9999999999999959
72.0 0.19244599 -7.81291103 -7.62046504 0.9999999999999964
73.0 0.19468682 -7.81514359 -7.62045677 0.9999999999999972
74.0 0.19687842 -7.81732701 -7.62044859 0.9999999999999968
75.0 0.19902094 -7.81946136 -7.62044043 0.9999999999999949
76.0 0.20111516 -7.82154749 -7.62043234 0.9999999999999942
77.0 0.20316125 -7.82358554 -7.62042429 0.9999999999999925
78.0 0.20516062 -7.82557690 -7.62041628 0.9999999999999916
79.0 0.20711321 -7.82752160 -7.62040839 0.9999999999999913
80.0 0.20901941 -7.82941995 -7.62040053 0.9999999999999923
