#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73550144 -7.62081421 -7.49483190 -7.44321748 -7.19573677
1.0 -7.73550357 -7.62081408 -7.49483179 -7.44321705 -7.19576279
2.0 -7.73551131 -7.62081405 -7.49483182 -7.44321598 -7.19585311
3.0 -7.73552590 -7.62081547 -7.49483343 -7.44321565 -7.19600938
4.0 -7.73554945 -7.62082065 -7.49483904 -7.44321842 -7.19623387
5.0 -7.73558490 -7.62083287 -7.49485208 -7.44322764 -7.19652976
6.0 -7.73563606 -7.62085631 -7.49487697 -7.44324758 -7.19690117
7.0 -7.73570755 -7.62089607 -7.49491905 -7.44328345 -7.19735308
8.0 -7.73580480 -7.62095815 -7.49498463 -7.44334137 -7.19789133
9.0 -7.73593400 -7.62104937 -7.49508087 -7.44342831 -7.19852253
10.0 -7.73610208 -7.62117738 -7.49521580 -7.44355208 -7.19925410
11.0 -7.73631669 -7.62135058 -7.49539828 -7.44372126 -7.20009414
12.0 -7.73658614 -7.62157811 -7.49563790 -7.44394518 -7.20105143
13.0 -7.73691934 -7.62186978 -7.49594498 -7.44423387 -7.20213536
14.0 -7.73732580 -7.62223603 -7.49633049 -7.44459796 -7.20335589
15.0 -7.73781556 -7.62268785 -7.49680600 -7.44504868 -7.20472344
16.0 -7.73839913 -7.62323676 -7.49738362 -7.44559779 -7.20624888
17.0 -7.73908744 -7.62389471 -7.49807593 -7.44625747 -7.20794344
18.0 -7.73989178 -7.62467402 -7.49889591 -7.44704030 -7.20981859
19.0 -7.74082376 -7.62558736 -7.49985687 -7.44795918 -7.21188605
20.0 -7.74189522 -7.62664761 -7.50097239 -7.44902726 -7.21415769
21.0 -7.74311823 -7.62786786 -7.50225625 -7.45025785 -7.21664547
22.0 -7.74450493 -7.62926128 -7.50372233 -7.45166439 -7.21936129
23.0 -7.74606754 -7.63084108 -7.50538455 -7.45326031 -7.22231701
24.0 -7.74781828 -7.63262044 -7.50725678 -7.45505901 -7.22552431
25.0 -7.74976929 -7.63461243 -7.50935282 -7.45707378 -7.22899471
26.0 -7.75193261 -7.63682996 -7.51168625 -7.45931774 -7.23273944
27.0 -7.75432005 -7.63928567 -7.51427043 -7.46180370 -7.23676936
28.0 -7.75694316 -7.64199188 -7.51711832 -7.46454416 -7.24109488
29.0 -7.75981318 -7.64496051 -7.52024251 -7.46755117 -7.24572595
30.0 -7.76294094 -7.64820304 -7.52365510 -7.47083634 -7.25067196
31.0 -7.76633680 -7.65173041 -7.52736761 -7.47441070 -7.25594168
