# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 1.000000 0.000000 0.000000 0.000000
3.0 0.000000 0.999999 0.000000 0.000000 0.000000
4.0 0.000000 0.999995 0.000000 0.000000 0.000000
5.0 0.000000 0.999988 0.000000 0.000000 0.000000
6.0 0.000000 0.999976 0.000000 0.000001 0.000001
7.0 0.000000 0.999955 0.000000 0.000002 0.000001
8.0 0.000000 0.999924 0.000001 0.000003 0.000002
9.0 0.000000 0.999880 0.000001 0.000005 0.000004
10.0 0.000000 0.999818 0.000001 0.000009 0.000006
11.0 0.000001 0.999733 0.000002 0.000014 0.000010
12.0 0.000001 0.999622 0.000003 0.000020 0.000014
13.0 0.000002 0.999479 0.000004 0.000030 0.000019
14.0 0.000002 0.999302 0.000006 0.000042 0.000025
15.0 0.000004 0.999084 0.000007 0.000057 0.000033
16.0 0.000005 0.998822 0.000009 0.000076 0.000042
17.0 0.000007 0.998509 0.000011 0.000100 0.000052
18.0 0.000009 0.998136 0.000014 0.000128 0.000064
19.0 0.000013 0.997700 0.000017 0.000161 0.000077
20.0 0.000017 0.997194 0.000020 0.000199 0.000093
21.0 0.000022 0.996618 0.000024 0.000243 0.000111
22.0 0.000027 0.995964 0.000028 0.000292 0.000132
23.0 0.000035 0.995229 0.000033 0.000345 0.000156
24.0 0.000043 0.994397 0.000037 0.000403 0.000183
25.0 0.000053 0.993472 0.000042 0.000464 0.000213
26.0 0.000065 0.992451 0.000047 0.000529 0.000246
27.0 0.000078 0.991329 0.000052 0.000594 0.000281
28.0 0.000093 0.990110 0.000058 0.000660 0.000319
29.0 0.000110 0.988785 0.000063 0.000726 0.000360
30.0 0.000129 0.987362 0.000068 0.000789 0.000402
31.0 0.000150 0.985821 0.000073 0.000848 0.000445
32.0 0.000172 0.984169 0.000077 0.000903 0.000491
33.0 0.000197 0.982387 0.000081 0.000951 0.000539
34.0 0.000224 0.980499 0.000084 0.000991 0.000590
35.0 0.000253 0.978506 0.000087 0.001023 0.000644
36.0 0.000283 0.976403 0.000089 0.001046 0.000701
37.0 0.000315 0.974187 0.000090 0.001059 0.000762
38.0 0.000348 0.971848 0.000091 0.001061 0.000826
39.0 0.000382 0.969395 0.000090 0.001053 0.000892
40.0 0.000416 0.966811 0.000089 0.001035 0.000961
41.0 0.000452 0.964124 0.000087 0.001007 0.001031
42.0 0.000488 0.961322 0.000084 0.000969 0.001101
43.0 0.000524 0.958417 0.000079 0.000924 0.001172
44.0 0.000559 0.955412 0.000075 0.000871 0.001242
45.0 0.000594 0.952283 0.000069 0.000812 0.001312
46.0 0.000628 0.949052 0.000063 0.000748 0.001380
47.0 0.000661 0.945710 0.000057 0.000681 0.001448
48.0 0.000693 0.942284 0.000050 0.000611 0.001517
49.0 0.000724 0.938747 0.000043 0.000541 0.001587
50.0 0.000753 0.935121 0.000036 0.000471 0.001659
51.0 0.000780 0.931403 0.000030 0.000403 0.001732
52.0 0.000806 0.927578 0.000025 0.000338 0.001806
53.0 0.000830 0.923669 0.000020 0.000276 0.001880
54.0 0.000853 0.919654 0.000016 0.000220 0.001953
55.0 0.000874 0.915583 0.000014 0.000168 0.002024
56.0 0.000893 0.911444 0.000014 0.000124 0.002092
57.0 0.000911 0.907263 0.000016 0.000087 0.002157
58.0 0.000928 0.903008 0.000020 0.000058 0.002217
59.0 0.000945 0.898674 0.000027 0.000038 0.002274
60.0 0.000961 0.894304 0.000036 0.000029 0.002328
61.0 0.000977 0.889857 0.000049 0.000031 0.002380
62.0 0.000993 0.885381 0.000065 0.000045 0.002431
63.0 0.001010 0.880847 0.000085 0.000074 0.002483
64.0 0.001029 0.876279 0.000109 0.000117 0.002537
65.0 0.001050 0.871679 0.000137 0.000176 0.002590
66.0 0.001073 0.867042 0.000170 0.000253 0.002643
67.0 0.001098 0.862376 0.000206 0.000350 0.002693
68.0 0.001127 0.857648 0.000247 0.000467 0.002739
69.0 0.001159 0.852932 0.000293 0.000606 0.002782
70.0 0.001196 0.848197 0.000344 0.000769 0.002821
71.0 0.001237 0.843457 0.000399 0.000955 0.002856
72.0 0.001284 0.838714 0.000459 0.001166 0.002887
73.0 0.001336 0.833932 0.000523 0.001402 0.002915
74.0 0.001394 0.829161 0.000592 0.001664 0.002941
75.0 0.001459 0.824365 0.000665 0.001951 0.002966
76.0 0.001530 0.819575 0.000742 0.002264 0.002990
77.0 0.001607 0.814777 0.000823 0.002600 0.003015
