#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62081421 -7.62081421 0.9999999999999999
1.0 0.00008762 -7.62089671 -7.62080909 1.0000000000000022
2.0 0.00035029 -7.62114391 -7.62079362 0.9999999999999999
3.0 0.00078741 -7.62155513 -7.62076772 0.9999999999999988
4.0 0.00139800 -7.62212941 -7.62073141 0.9999999999999981
5.0 0.00218070 -7.62286551 -7.62068480 1.0000000000000009
6.0 0.00313376 -7.62376152 -7.62062776 0.9999999999999997
7.0 0.00425503 -7.62481540 -7.62056037 1.0000000000000009
8.0 0.00554205 -7.62602452 -7.62048247 1.000000000000002
9.0 0.00699202 -7.62738616 -7.62039414 1.0000000000000022
10.0 0.00860179 -7.62889678 -7.62029499 1.0000000000000038
11.0 0.01036789 -7.63055288 -7.62018499 1.0000000000000024
12.0 0.01228657 -7.63235072 -7.62006414 1.0000000000000027
13.0 0.01435383 -7.63428631 -7.61993248 1.0000000000000053
14.0 0.01656539 -7.63635536 -7.61978997 1.0000000000000067
15.0 0.01891679 -7.63855308 -7.61963630 1.0000000000000064
16.0 0.02140334 -7.64087490 -7.61947156 1.0000000000000082
17.0 0.02402015 -7.64331522 -7.61929507 1.0000000000000118
18.0 0.02676214 -7.64586908 -7.61910693 1.0000000000000127
19.0 0.02962423 -7.64853115 -7.61890692 1.000000000000012
20.0 0.03260106 -7.65129634 -7.61869527 1.0000000000000115
21.0 0.03568730 -7.65415882 -7.61847151 1.0000000000000093
22.0 0.03887745 -7.65711231 -7.61823486 1.0000000000000098
23.0 0.04216594 -7.66015101 -7.61798507 1.0000000000000104
24.0 0.04554738 -7.66326965 -7.61772227 1.0000000000000095
25.0 0.04901621 -7.66646332 -7.61744711 1.0000000000000107
26.0 0.05256680 -7.66972534 -7.61715853 1.0000000000000093
27.0 0.05619359 -7.67304996 -7.61685637 1.000000000000012
28.0 0.05989119 -7.67643104 -7.61653986 1.000000000000011
29.0 0.06365422 -7.67986344 -7.61620921 1.000000000000013
30.0 0.06747740 -7.68334102 -7.61586362 1.0000000000000144
31.0 0.07135541 -7.68685785 -7.61550244 1.0000000000000142
32.0 0.07528304 -7.69040871 -7.61512567 1.0000000000000135
33.0 0.07925537 -7.69398886 -7.61473349 1.0000000000000122
34.0 0.08326754 -7.69759414 -7.61432661 1.0000000000000127
35.0 0.08731479 -7.70121845 -7.61390367 1.0000000000000104
36.0 0.09139231 -7.70485653 -7.61346422 1.0000000000000107
37.0 0.09549576 -7.70850301 -7.61300725 1.000000000000013
38.0 0.09962071 -7.71215374 -7.61253303 1.0000000000000122
39.0 0.10376299 -7.71580435 -7.61204136 1.0000000000000113
40.0 0.10791869 -7.71945091 -7.61153222 1.000000000000009
41.0 0.11208389 -7.72308959 -7.61100570 1.0000000000000075
42.0 0.11625501 -7.72671601 -7.61046101 1.000000000000009
43.0 0.12042853 -7.73032700 -7.60989847 1.000000000000007
44.0 0.12460119 -7.73391841 -7.60931723 1.000000000000005
45.0 0.12876973 -7.73748747 -7.60871774 1.000000000000006
46.0 0.13293132 -7.74103106 -7.60809974 1.0000000000000049
47.0 0.13708305 -7.74454597 -7.60746292 1.0000000000000056
48.0 0.14122219 -7.74802938 -7.60680719 1.0000000000000042
49.0 0.14534642 -7.75147851 -7.60613209 1.000000000000005
50.0 0.14945334 -7.75489184 -7.60543850 1.0000000000000053
51.0 0.15354081 -7.75826622 -7.60472541 1.0000000000000047
52.0 0.15760658 -7.76159989 -7.60399331 1.0000000000000069
53.0 0.16164892 -7.76489092 -7.60324201 1.000000000000009
54.0 0.16566609 -7.76813848 -7.60247239 1.0000000000000107
55.0 0.16965655 -7.77134169 -7.60168514 1.0000000000000122
56.0 0.17361883 -7.77449803 -7.60087919 1.0000000000000084
57.0 0.17755117 -7.77760582 -7.60005465 1.0000000000000102
58.0 0.18145252 -7.78066315 -7.59921063 1.0000000000000107
59.0 0.18532172 -7.78367076 -7.59834904 1.0000000000000113
60.0 0.18915789 -7.78662768 -7.59746979 1.0000000000000107
61.0 0.19295989 -7.78953289 -7.59657300 1.0000000000000104
62.0 0.19672686 -7.79238571 -7.59565885 1.0000000000000067
63.0 0.20045813 -7.79518537 -7.59472724 1.0000000000000049
64.0 0.20415281 -7.79793267 -7.59377986 1.000000000000004
65.0 0.20781051 -7.80062666 -7.59281615 1.0000000000000016
66.0 0.21143027 -7.80326702 -7.59183675 1.0000000000000024
67.0 0.21501179 -7.80585312 -7.59084133 1.0000000000000038
68.0 0.21855489 -7.80838578 -7.58983088 1.0000000000000016
69.0 0.22205920 -7.81086585 -7.58880665 1.0000000000000024
70.0 0.22552446 -7.81329247 -7.58776800 1.000000000000001
71.0 0.22895010 -7.81566589 -7.58671579 1.000000000000002
72.0 0.23233609 -7.81798559 -7.58564951 1.0000000000000024
73.0 0.23568224 -7.82025267 -7.58457043 1.0000000000000044
74.0 0.23898857 -7.82246802 -7.58347945 1.0000000000000022
75.0 0.24225508 -7.82463157 -7.58237649 1.000000000000004
76.0 0.24548155 -7.82674422 -7.58126267 1.0000000000000049
77.0 0.24866841 -7.82880607 -7.58013767 1.0000000000000033
78.0 0.25181564 -7.83081858 -7.57900293 1.0000000000000062
79.0 0.25492341 -7.83278202 -7.57785861 1.0000000000000067
80.0 0.25799169 -7.83469650 -7.57670481 1.000000000000006
81.0 0.26102052 -7.83656311 -7.57554260 1.0000000000000067
82.0 0.26401039 -7.83838211 -7.57437173 1.0000000000000069
83.0 0.26696138 -7.84015511 -7.57319373 1.0000000000000082
84.0 0.26987399 -7.84188252 -7.57200853 1.000000000000011
85.0 0.27274819 -7.84356477 -7.57081658 1.0000000000000102
86.0 0.27558408 -7.84520272 -7.56961864 1.0000000000000098
87.0 0.27838226 -7.84679695 -7.56841469 1.0000000000000093
88.0 0.28114279 -7.84834891 -7.56720612 1.000000000000009
89.0 0.28386622 -7.84985877 -7.56599255 1.0000000000000084
90.0 0.28655283 -7.85132769 -7.56477486 1.0000000000000089
91.0 0.28920294 -7.85275664 -7.56355370 1.0000000000000109
92.0 0.29181716 -7.85414628 -7.56232912 1.0000000000000122
93.0 0.29439571 -7.85549814 -7.56110243 1.0000000000000122
94.0 0.29693901 -7.85681217 -7.55987316 1.0000000000000107
95.0 0.29944709 -7.85808907 -7.55864198 1.0000000000000107
96.0 0.30192024 -7.85932971 -7.55740948 1.0000000000000089
97.0 0.30435904 -7.86053472 -7.55617568 1.0000000000000075
98.0 0.30676372 -7.86170548 -7.55494176 1.0000000000000084
99.0 0.30913495 -7.86284240 -7.55370745 1.0000000000000093
100.0 0.31147302 -7.86394626 -7.55247324 1.0000000000000098
101.0 0.31377819 -7.86501791 -7.55123972 1.0000000000000089
102.0 0.31605114 -7.86605794 -7.55000679 1.0000000000000075
103.0 0.31829201 -7.86706756 -7.54877555 1.0000000000000078
104.0 0.32050126 -7.86804689 -7.54754563 1.0000000000000075
105.0 0.32267912 -7.86899642 -7.54631729 1.0000000000000073
106.0 0.32482586 -7.86991704 -7.54509118 1.0000000000000056
107.0 0.32694216 -7.87080933 -7.54386717 1.0000000000000029
108.0 0.32902837 -7.87167469 -7.54264632 1.000000000000004
109.0 0.33108521 -7.87251365 -7.54142843 1.0000000000000044
110.0 0.33311309 -7.87332666 -7.54021358 1.0000000000000018
111.0 0.33511220 -7.87411449 -7.53900229 1.0
112.0 0.33708324 -7.87487765 -7.53779441 1.0
113.0 0.33902625 -7.87561711 -7.53659086 1.0000000000000002
114.0 0.34094169 -7.87633320 -7.53539152 0.9999999999999983
115.0 0.34282998 -7.87702625 -7.53419627 0.9999999999999988
116.0 0.34469130 -7.87769697 -7.53300567 0.9999999999999992
117.0 0.34652639 -7.87834582 -7.53181943 0.9999999999999977
118.0 0.34833566 -7.87897401 -7.53063836 0.9999999999999986
119.0 0.35011958 -7.87958210 -7.52946252 0.9999999999999993
120.0 0.35187865 -7.88017025 -7.52829160 0.9999999999999982
121.0 0.35361305 -7.88073913 -7.52712608 0.9999999999999987
122.0 0.35532324 -7.88128906 -7.52596582 0.9999999999999986
123.0 0.35700948 -7.88182073 -7.52481125 0.9999999999999983
124.0 0.35867206 -7.88233481 -7.52366275 0.9999999999999996
125.0 0.36031154 -7.88283144 -7.52251990 1.0000000000000004
126.0 0.36192815 -7.88331113 -7.52138298 0.9999999999999993
127.0 0.36352245 -7.88377454 -7.52025209 1.0000000000000029
128.0 0.36509498 -7.88422228 -7.51912730 1.0000000000000024
129.0 0.36664590 -7.88465500 -7.51800910 1.000000000000003
130.0 0.36817575 -7.88507292 -7.51689716 1.0000000000000016
131.0 0.36968477 -7.88547625 -7.51579147 1.0000000000000049
132.0 0.37117319 -7.88586545 -7.51469226 1.0000000000000027
