#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73550144 -7.62081421 -7.49483190 -7.44321748 -7.19573677
1.0 -7.73550364 -7.62081408 -7.49483178 -7.44321704 -7.19576355
2.0 -7.73551161 -7.62081406 -7.49483183 -7.44321595 -7.19585656
3.0 -7.73552670 -7.62081559 -7.49483356 -7.44321568 -7.19601754
4.0 -7.73555113 -7.62082113 -7.49483955 -7.44321874 -7.19624889
5.0 -7.73558802 -7.62083413 -7.49485343 -7.44322866 -7.19655404
6.0 -7.73564142 -7.62085905 -7.49487987 -7.44324999 -7.19693733
7.0 -7.73571622 -7.62090129 -7.49492457 -7.44328825 -7.19740408
8.0 -7.73581818 -7.62096721 -7.49499419 -7.44334993 -7.19796048
9.0 -7.73595389 -7.62106405 -7.49509635 -7.44344242 -7.19861359
10.0 -7.73613070 -7.62119994 -7.49523958 -7.44357402 -7.19937132
11.0 -7.73635674 -7.62138379 -7.49543326 -7.44375385 -7.20024230
12.0 -7.73664084 -7.62162533 -7.49568762 -7.44399181 -7.20123592
13.0 -7.73699250 -7.62193497 -7.49601360 -7.44429857 -7.20236220
14.0 -7.73742183 -7.62232383 -7.49642290 -7.44468543 -7.20363176
15.0 -7.73793953 -7.62280362 -7.49692783 -7.44516438 -7.20505577
16.0 -7.73855680 -7.62338660 -7.49754128 -7.44574790 -7.20664585
17.0 -7.73928531 -7.62408551 -7.49827669 -7.44644901 -7.20841402
18.0 -7.74013714 -7.62491353 -7.49914790 -7.44728113 -7.21037260
19.0 -7.74112469 -7.62588417 -7.50016915 -7.44825805 -7.21253420
20.0 -7.74226067 -7.62701124 -7.50135497 -7.44939384 -7.21491157
21.0 -7.74355799 -7.62830874 -7.50272012 -7.45070275 -7.21751756
22.0 -7.74502972 -7.62979083 -7.50427950 -7.45219920 -7.22036506
23.0 -7.74668900 -7.63147169 -7.50604807 -7.45389764 -7.22346689
24.0 -7.74854902 -7.63336553 -7.50804077 -7.45581249 -7.22683573
25.0 -7.75062288 -7.63548643 -7.51027249 -7.45795808 -7.23048408
26.0 -7.75292360 -7.63784834 -7.51275789 -7.46034855 -7.23442414
27.0 -7.75546400 -7.64046493 -7.51551141 -7.46299778 -7.23866775
28.0 -7.75825663 -7.64334958 -7.51854715 -7.46591932 -7.24322635
29.0 -7.76131372 -7.64651526 -7.52187879 -7.46912629 -7.24811085
30.0 -7.76464712 -7.64997449 -7.52551951 -7.47263133 -7.25333161
31.0 -7.76826820 -7.65373924 -7.52948196 -7.47644650 -7.25889838
32.0 -7.77218783 -7.65782087 -7.53377808 -7.48058323 -7.26482018
33.0 -7.77641624 -7.66223008 -7.53841916 -7.48505223 -7.27110529
34.0 -7.78096306 -7.66697681 -7.54341565 -7.48986346 -7.27776119
35.0 -7.78583717 -7.67207022 -7.54877718 -7.49502600 -7.28479449
36.0 -7.79104668 -7.67751860 -7.55451244 -7.50054805 -7.29221087
37.0 -7.79659885 -7.68332930 -7.56062914 -7.50643684 -7.30001505
38.0 -7.80250009 -7.68950872 -7.56713395 -7.51269858 -7.30821075
39.0 -7.80875583 -7.69606225 -7.57403244 -7.51933843 -7.31680063
40.0 -7.81537054 -7.70299421 -7.58132904 -7.52636041 -7.32578628
41.0 -7.82234768 -7.71030781 -7.58902702 -7.53376743 -7.33516818
42.0 -7.82968963 -7.71800517 -7.59712841 -7.54156120 -7.34494568
43.0 -7.83739769 -7.72608722 -7.60563399 -7.54974224 -7.35511697
44.0 -7.84547202 -7.73455373 -7.61454326 -7.55830983 -7.36567909
45.0 -7.85391168 -7.74340327 -7.62385446 -7.56726203 -7.37662789
46.0 -7.86271453 -7.75263323 -7.63356448 -7.57659563 -7.38795807
47.0 -7.87187732 -7.76223979 -7.64366894 -7.58630620 -7.39966314
