# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 1.000000 0.000000 0.000000 0.000000
3.0 0.000000 0.999998 0.000000 0.000000 0.000000
4.0 0.000000 0.999995 0.000000 0.000000 0.000000
5.0 0.000000 0.999988 0.000000 0.000000 0.000000
6.0 0.000000 0.999974 0.000000 0.000001 0.000001
7.0 0.000000 0.999953 0.000000 0.000002 0.000001
8.0 0.000000 0.999920 0.000001 0.000003 0.000002
9.0 0.000000 0.999872 0.000001 0.000006 0.000004
10.0 0.000000 0.999807 0.000002 0.000009 0.000007
11.0 0.000001 0.999717 0.000002 0.000014 0.000010
12.0 0.000001 0.999599 0.000003 0.000022 0.000015
13.0 0.000002 0.999448 0.000004 0.000031 0.000020
14.0 0.000003 0.999260 0.000006 0.000044 0.000027
15.0 0.000004 0.999029 0.000008 0.000060 0.000035
16.0 0.000005 0.998751 0.000010 0.000080 0.000044
17.0 0.000007 0.998418 0.000012 0.000105 0.000055
18.0 0.000010 0.998023 0.000015 0.000135 0.000068
19.0 0.000013 0.997561 0.000018 0.000169 0.000082
20.0 0.000018 0.997023 0.000021 0.000210 0.000099
21.0 0.000023 0.996412 0.000025 0.000255 0.000118
22.0 0.000029 0.995718 0.000029 0.000306 0.000140
23.0 0.000037 0.994939 0.000034 0.000362 0.000165
24.0 0.000046 0.994055 0.000039 0.000422 0.000194
25.0 0.000057 0.993073 0.000044 0.000486 0.000225
26.0 0.000069 0.991989 0.000049 0.000552 0.000260
27.0 0.000083 0.990799 0.000054 0.000620 0.000298
28.0 0.000099 0.989504 0.000059 0.000687 0.000338
29.0 0.000117 0.988097 0.000064 0.000754 0.000380
30.0 0.000137 0.986586 0.000069 0.000817 0.000425
31.0 0.000159 0.984949 0.000074 0.000877 0.000471
32.0 0.000184 0.983193 0.000078 0.000931 0.000520
33.0 0.000210 0.981300 0.000082 0.000977 0.000570
34.0 0.000239 0.979292 0.000085 0.001016 0.000624
35.0 0.000269 0.977173 0.000087 0.001044 0.000680
36.0 0.000301 0.974936 0.000089 0.001063 0.000740
37.0 0.000335 0.972578 0.000090 0.001071 0.000804
38.0 0.000370 0.970089 0.000090 0.001068 0.000871
39.0 0.000406 0.967478 0.000089 0.001053 0.000941
40.0 0.000443 0.964727 0.000087 0.001028 0.001013
41.0 0.000480 0.961865 0.000084 0.000992 0.001086
42.0 0.000518 0.958879 0.000080 0.000947 0.001160
43.0 0.000556 0.955783 0.000075 0.000893 0.001234
44.0 0.000594 0.952578 0.000070 0.000832 0.001307
45.0 0.000632 0.949240 0.000064 0.000766 0.001379
46.0 0.000668 0.945792 0.000057 0.000694 0.001451
47.0 0.000703 0.942225 0.000050 0.000620 0.001521
48.0 0.000737 0.938565 0.000043 0.000545 0.001593
49.0 0.000769 0.934788 0.000037 0.000470 0.001665
50.0 0.000800 0.930912 0.000030 0.000397 0.001739
51.0 0.000830 0.926938 0.000025 0.000327 0.001815
52.0 0.000857 0.922847 0.000020 0.000262 0.001891
53.0 0.000884 0.918667 0.000017 0.000203 0.001967
54.0 0.000908 0.914371 0.000016 0.000150 0.002042
55.0 0.000931 0.910013 0.000016 0.000106 0.002114
56.0 0.000953 0.905581 0.000019 0.000070 0.002183
57.0 0.000973 0.901101 0.000024 0.000045 0.002248
58.0 0.000993 0.896545 0.000033 0.000032 0.002309
59.0 0.001012 0.891901 0.000045 0.000030 0.002366
60.0 0.001031 0.887219 0.000060 0.000043 0.002420
61.0 0.001049 0.882453 0.000079 0.000070 0.002471
62.0 0.001069 0.877657 0.000103 0.000113 0.002522
63.0 0.001090 0.872799 0.000131 0.000173 0.002574
64.0 0.001113 0.867901 0.000164 0.000252 0.002626
65.0 0.001139 0.862972 0.000202 0.000351 0.002679
66.0 0.001166 0.858000 0.000246 0.000472 0.002730
67.0 0.001197 0.853001 0.000294 0.000615 0.002779
68.0 0.001232 0.847937 0.000348 0.000784 0.002823
69.0 0.001271 0.842882 0.000407 0.000978 0.002863
70.0 0.001315 0.837812 0.000471 0.001198 0.002900
71.0 0.001365 0.832734 0.000542 0.001446 0.002931
72.0 0.001421 0.827663 0.000617 0.001722 0.002958
73.0 0.001483 0.822551 0.000698 0.002025 0.002982
74.0 0.001552 0.817452 0.000783 0.002357 0.003004
75.0 0.001629 0.812336 0.000873 0.002715 0.003024
76.0 0.001713 0.807225 0.000968 0.003100 0.003044
77.0 0.001804 0.802116 0.001066 0.003509 0.003064
