#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62081421 -7.62081421 1.0000000000000002
1.0 0.00008013 -7.62088375 -7.62080362 0.9999988999216406
2.0 0.00032032 -7.62111336 -7.62079304 0.9999978000235037
3.0 0.00071996 -7.62150243 -7.62078246 0.9999967004842533
4.0 0.00127810 -7.62204999 -7.62077189 0.9999956014818605
5.0 0.00199338 -7.62275471 -7.62076133 0.9999945031932621
6.0 0.00286406 -7.62361484 -7.62075078 0.9999934057940378
7.0 0.00388804 -7.62462828 -7.62074024 0.9999923094580739
8.0 0.00506290 -7.62579261 -7.62072971 0.9999912143572444
9.0 0.00638582 -7.62710503 -7.62071920 0.9999901206611028
10.0 0.00785366 -7.62856237 -7.62070871 0.9999890285366033
11.0 0.00946298 -7.63016122 -7.62069824 0.9999879381478115
12.0 0.01121012 -7.63189790 -7.62068778 0.9999868496556102
13.0 0.01309111 -7.63376847 -7.62067736 0.9999857632174374
14.0 0.01510164 -7.63576860 -7.62066695 0.9999846789870948
15.0 0.01723719 -7.63789377 -7.62065658 0.9999835971145434
16.0 0.01949307 -7.64013930 -7.62064623 0.9999825177456702
17.0 0.02186440 -7.64250031 -7.62063591 0.999981441022102
18.0 0.02434608 -7.64497170 -7.62062562 0.9999803670810516
19.0 0.02693292 -7.64754829 -7.62061536 0.999979296055174
20.0 0.02961961 -7.65022475 -7.62060514 0.9999782280724231
21.0 0.03240078 -7.65299574 -7.62059496 0.9999771632559347
22.0 0.03527083 -7.65585564 -7.62058481 0.999976101723971
23.0 0.03822407 -7.65879877 -7.62057470 0.9999750435898933
24.0 0.04125492 -7.66181955 -7.62056463 0.9999739889620776
25.0 0.04435784 -7.66491244 -7.62055459 0.9999729379438211
26.0 0.04752717 -7.66807177 -7.62054460 0.9999718906333492
27.0 0.05075722 -7.67129187 -7.62053465 0.9999708471238564
28.0 0.05404242 -7.67456716 -7.62052475 0.9999698075035058
29.0 0.05737725 -7.67789214 -7.62051489 0.999968771855437
30.0 0.06075623 -7.68126130 -7.62050507 0.9999677402578251
31.0 0.06417392 -7.68466922 -7.62049530 0.9999667127839358
32.0 0.06762504 -7.68811062 -7.62048558 0.999965689502196
33.0 0.07110455 -7.69158045 -7.62047590 0.9999646704762081
34.0 0.07460751 -7.69507378 -7.62046627 0.9999636557648213
35.0 0.07812887 -7.69858556 -7.62045669 0.9999626454222862
36.0 0.08166382 -7.70211097 -7.62044716 0.9999616394983967
37.0 0.08520777 -7.70564544 -7.62043767 0.9999606380385485
38.0 0.08875634 -7.70918459 -7.62042824 0.9999596410838212
39.0 0.09230521 -7.71272407 -7.62041886 0.9999586486711048
40.0 0.09585032 -7.71625985 -7.62040953 0.9999576608332378
41.0 0.09938781 -7.71978806 -7.62040024 0.999956677599091
42.0 0.10291396 -7.72330497 -7.62039101 0.9999556989937052
43.0 0.10642517 -7.72680700 -7.62038183 0.9999547250384443
44.0 0.10991801 -7.73029071 -7.62037270 0.9999537557511374
45.0 0.11338931 -7.73375293 -7.62036362 0.9999527911462063
46.0 0.11683625 -7.73719085 -7.62035460 0.9999518312347219
47.0 0.12025601 -7.74060163 -7.62034562 0.999950876024551
48.0 0.12364585 -7.74398255 -7.62033670 0.9999499255205552
49.0 0.12700335 -7.74733118 -7.62032783 0.9999489797247134
50.0 0.13032625 -7.75064526 -7.62031901 0.9999480386362055
51.0 0.13361243 -7.75392267 -7.62031024 0.9999471022515716
52.0 0.13685985 -7.75716137 -7.62030152 0.9999461705648413
53.0 0.14006678 -7.76035963 -7.62029285 0.9999452435676599
54.0 0.14323176 -7.76351600 -7.62028424 0.999944321249333
55.0 0.14635342 -7.76662909 -7.62027567 0.9999434035969454
56.0 0.14943036 -7.76969752 -7.62026716 0.999942490595527
57.0 0.15246128 -7.77271997 -7.62025869 0.9999415822282226
58.0 0.15544512 -7.77569540 -7.62025028 0.999940678476382
59.0 0.15838122 -7.77862313 -7.62024191 0.9999397793195792
60.0 0.16126875 -7.78150235 -7.62023360 0.9999388847357229
61.0 0.16410695 -7.78433229 -7.62022533 0.9999379947012383
62.0 0.16689530 -7.78711242 -7.62021711 0.9999371091911435
63.0 0.16963345 -7.78984240 -7.62020895 0.999936228179097
64.0 0.17232112 -7.79252195 -7.62020083 0.9999353516374836
65.0 0.17495800 -7.79515076 -7.62019275 0.9999344795375379
66.0 0.17754377 -7.79772850 -7.62018473 0.999933611849482
67.0 0.18007851 -7.80025526 -7.62017675 0.9999327485425484
68.0 0.18256246 -7.80273129 -7.62016882 0.9999318895849671
69.0 0.18499581 -7.80515675 -7.62016094 0.9999310349440615
70.0 0.18737849 -7.80753159 -7.62015310 0.9999301845864166
71.0 0.18971060 -7.80985591 -7.62014531 0.9999293384779967
72.0 0.19199254 -7.81213010 -7.62013756 0.9999284965841337
73.0 0.19422478 -7.81435464 -7.62012986 0.9999276588695264
74.0 0.19640779 -7.81652999 -7.62012220 0.9999268252983137
75.0 0.19854192 -7.81865651 -7.62011459 0.9999259958341783
76.0 0.20062762 -7.82073463 -7.62010702 0.999925170440421
77.0 0.20266565 -7.82276514 -7.62009949 0.9999243490799365
78.0 0.20465669 -7.82474870 -7.62009201 0.9999235317152452
79.0 0.20660121 -7.82668577 -7.62008456 0.9999227183086062
80.0 0.20849964 -7.82857680 -7.62007716 0.9999219088221303
81.0 0.21035263 -7.83042243 -7.62006981 0.9999211032177905
82.0 0.21216108 -7.83222356 -7.62006249 0.9999203014573743
83.0 0.21392578 -7.83398099 -7.62005521 0.9999195035024917
84.0 0.21564743 -7.83569540 -7.62004797 0.9999187093146763
