#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73550144 -7.62081421 -7.49483190 -7.44321748 -7.19573677
1.0 -7.73550408 -7.62081406 -7.49483177 -7.44321696 -7.19576890
2.0 -7.73551243 -7.62081409 -7.49483188 -7.44321588 -7.19586576
3.0 -7.73552782 -7.62081577 -7.49483376 -7.44321574 -7.19602877
4.0 -7.73555241 -7.62082150 -7.49483995 -7.44321899 -7.19626030
5.0 -7.73558926 -7.62083464 -7.49485397 -7.44322908 -7.19656363
6.0 -7.73564225 -7.62085948 -7.49488033 -7.44325037 -7.19694295
7.0 -7.73571609 -7.62090121 -7.49492449 -7.44328818 -7.19740332
8.0 -7.73581627 -7.62096591 -7.49499281 -7.44334869 -7.19795065
9.0 -7.73594906 -7.62106048 -7.49509258 -7.44343898 -7.19859164
10.0 -7.73612148 -7.62119265 -7.49523190 -7.44356693 -7.19933377
11.0 -7.73634123 -7.62137090 -7.49541969 -7.44374120 -7.20018520
12.0 -7.73661668 -7.62160444 -7.49566562 -7.44397118 -7.20115479
13.0 -7.73695681 -7.62190313 -7.49598008 -7.44426695 -7.20225198
14.0 -7.73737117 -7.62227746 -7.49637409 -7.44463923 -7.20348676
15.0 -7.73786985 -7.62273849 -7.49685929 -7.44509928 -7.20486959
16.0 -7.73846339 -7.62329775 -7.49744780 -7.44565888 -7.20641136
17.0 -7.73916274 -7.62396724 -7.49815225 -7.44633027 -7.20812330
18.0 -7.73997923 -7.62475930 -7.49898563 -7.44712604 -7.21001692
19.0 -7.74092448 -7.62568661 -7.49996129 -7.44805911 -7.21210394
20.0 -7.74201034 -7.62676205 -7.50109280 -7.44914262 -7.21439622
21.0 -7.74324886 -7.62799872 -7.50239393 -7.45038989 -7.21690566
22.0 -7.74465219 -7.62940976 -7.50387856 -7.45181433 -7.21964418
23.0 -7.74623254 -7.63100839 -7.50556059 -7.45342938 -7.22262360
24.0 -7.74800209 -7.63280774 -7.50745386 -7.45524840 -7.22585559
25.0 -7.74997297 -7.63482086 -7.50957213 -7.45728465 -7.22935158
26.0 -7.75215715 -7.63706058 -7.51192893 -7.45955116 -7.23312274
27.0 -7.75456640 -7.63953950 -7.51453754 -7.46206070 -7.23717985
28.0 -7.75721222 -7.64226986 -7.51741087 -7.46482570 -7.24153325
29.0 -7.76010577 -7.64526354 -7.52056143 -7.46785816 -7.24619282
30.0 -7.76325782 -7.64853191 -7.52400123 -7.47116957 -7.25116785
31.0 -7.76667867 -7.65208585 -7.52774172 -7.47477090 -7.25646704
32.0 -7.77037811 -7.65593561 -7.53179373 -7.47867247 -7.26209840
33.0 -7.77436535 -7.66009081 -7.53616737 -7.48288393 -7.26806922
34.0 -7.77864898 -7.66456035 -7.54087203 -7.48741416 -7.27438602
35.0 -7.78323689 -7.66935237 -7.54591625 -7.49227128 -7.28105450
