# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 0.999999 0.000000 0.000000 0.000000
2.0 0.000000 0.999998 0.000000 0.000000 0.000000
3.0 0.000000 0.999995 0.000000 0.000000 0.000000
4.0 0.000000 0.999991 0.000000 0.000000 0.000000
5.0 0.000000 0.999983 0.000000 0.000001 0.000000
6.0 0.000000 0.999970 0.000000 0.000001 0.000001
7.0 0.000000 0.999949 0.000000 0.000002 0.000001
8.0 0.000000 0.999917 0.000000 0.000004 0.000002
9.0 0.000000 0.999872 0.000000 0.000007 0.000004
10.0 0.000000 0.999809 0.000001 0.000010 0.000006
11.0 0.000001 0.999724 0.000001 0.000016 0.000009
12.0 0.000001 0.999613 0.000001 0.000023 0.000014
13.0 0.000002 0.999472 0.000002 0.000033 0.000019
14.0 0.000002 0.999295 0.000003 0.000045 0.000025
15.0 0.000004 0.999079 0.000004 0.000061 0.000033
16.0 0.000005 0.998817 0.000006 0.000080 0.000042
17.0 0.000007 0.998504 0.000007 0.000103 0.000052
18.0 0.000009 0.998134 0.000010 0.000131 0.000064
19.0 0.000012 0.997701 0.000012 0.000164 0.000078
20.0 0.000016 0.997200 0.000016 0.000201 0.000094
21.0 0.000021 0.996625 0.000019 0.000243 0.000112
22.0 0.000027 0.995974 0.000024 0.000290 0.000133
23.0 0.000034 0.995241 0.000029 0.000341 0.000156
24.0 0.000042 0.994417 0.000034 0.000396 0.000183
25.0 0.000052 0.993499 0.000041 0.000455 0.000213
26.0 0.000063 0.992486 0.000047 0.000516 0.000245
27.0 0.000076 0.991372 0.000055 0.000579 0.000281
28.0 0.000090 0.990157 0.000062 0.000642 0.000319
29.0 0.000106 0.988836 0.000070 0.000705 0.000359
30.0 0.000125 0.987411 0.000078 0.000765 0.000401
31.0 0.000145 0.985874 0.000086 0.000822 0.000446
32.0 0.000167 0.984224 0.000094 0.000875 0.000493
33.0 0.000190 0.982458 0.000102 0.000922 0.000541
34.0 0.000216 0.980578 0.000110 0.000962 0.000593
35.0 0.000243 0.978588 0.000117 0.000994 0.000647
36.0 0.000272 0.976484 0.000123 0.001018 0.000704
37.0 0.000302 0.974264 0.000128 0.001032 0.000764
38.0 0.000334 0.971928 0.000133 0.001036 0.000827
39.0 0.000366 0.969477 0.000137 0.001030 0.000893
40.0 0.000399 0.966907 0.000139 0.001014 0.000961
41.0 0.000433 0.964226 0.000140 0.000989 0.001031
42.0 0.000467 0.961434 0.000140 0.000954 0.001101
43.0 0.000501 0.958534 0.000139 0.000911 0.001172
44.0 0.000535 0.955531 0.000136 0.000861 0.001242
45.0 0.000568 0.952415 0.000133 0.000804 0.001312
46.0 0.000600 0.949191 0.000128 0.000741 0.001382
47.0 0.000631 0.945866 0.000123 0.000675 0.001451
48.0 0.000661 0.942443 0.000117 0.000606 0.001520
49.0 0.000690 0.938922 0.000110 0.000535 0.001591
50.0 0.000718 0.935306 0.000104 0.000464 0.001662
51.0 0.000744 0.931599 0.000097 0.000394 0.001735
52.0 0.000768 0.927799 0.000092 0.000327 0.001808
53.0 0.000791 0.923909 0.000087 0.000264 0.001881
54.0 0.000812 0.919932 0.000083 0.000205 0.001953
55.0 0.000832 0.915877 0.000081 0.000151 0.002023
56.0 0.000851 0.911755 0.000081 0.000105 0.002091
57.0 0.000869 0.907572 0.000083 0.000067 0.002156
58.0 0.000886 0.903322 0.000088 0.000037 0.002218
59.0 0.000903 0.899006 0.000097 0.000018 0.002277
60.0 0.000919 0.894637 0.000108 0.000009 0.002333
61.0 0.000936 0.890214 0.000124 0.000013 0.002386
62.0 0.000954 0.885740 0.000144 0.000030 0.002439
63.0 0.000973 0.881221 0.000168 0.000062 0.002492
64.0 0.000993 0.876659 0.000197 0.000109 0.002544
65.0 0.001015 0.872057 0.000230 0.000173 0.002596
66.0 0.001040 0.867423 0.000269 0.000256 0.002647
67.0 0.001068 0.862751 0.000312 0.000357 0.002696
68.0 0.001099 0.858043 0.000360 0.000480 0.002743
69.0 0.001134 0.853320 0.000413 0.000624 0.002786
70.0 0.001174 0.848583 0.000472 0.000791 0.002826
71.0 0.001218 0.843833 0.000534 0.000981 0.002863
72.0 0.001267 0.839075 0.000602 0.001196 0.002895
73.0 0.001323 0.834301 0.000674 0.001434 0.002924
74.0 0.001383 0.829521 0.000749 0.001697 0.002951
75.0 0.001450 0.824736 0.000828 0.001985 0.002976
76.0 0.001523 0.819950 0.000911 0.002295 0.003000
77.0 0.001602 0.815164 0.000997 0.002628 0.003023
78.0 0.001687 0.810387 0.001085 0.002983 0.003046
79.0 0.001778 0.805633 0.001175 0.003356 0.003069
80.0 0.001876 0.800898 0.001267 0.003748 0.003090
81.0 0.001979 0.796185 0.001361 0.004155 0.003108
82.0 0.002088 0.791502 0.001456 0.004576 0.003122
83.0 0.002202 0.786849 0.001551 0.005008 0.003132
84.0 0.002322 0.782239 0.001648 0.005450 0.003138
85.0 0.002446 0.777678 0.001744 0.005897 0.003139
86.0 0.002574 0.773162 0.001841 0.006348 0.003137
87.0 0.002706 0.768690 0.001938 0.006800 0.003132
88.0 0.002842 0.764274 0.002036 0.007251 0.003125
89.0 0.002980 0.759911 0.002133 0.007699 0.003117
90.0 0.003121 0.755599 0.002230 0.008143 0.003107
91.0 0.003263 0.751348 0.002327 0.008581 0.003097
92.0 0.003407 0.747153 0.002425 0.009011 0.003086
93.0 0.003552 0.743023 0.002523 0.009433 0.003074
94.0 0.003698 0.738969 0.002622 0.009846 0.003061
95.0 0.003844 0.734979 0.002721 0.010250 0.003044
96.0 0.003990 0.731050 0.002822 0.010647 0.003025
97.0 0.004135 0.727181 0.002925 0.011035 0.003001
98.0 0.004280 0.723370 0.003030 0.011416 0.002974
99.0 0.004425 0.719616 0.003136 0.011790 0.002944
100.0 0.004568 0.715921 0.003245 0.012157 0.002912
101.0 0.004712 0.712279 0.003357 0.012519 0.002878
102.0 0.004856 0.708688 0.003472 0.012875 0.002843
103.0 0.005000 0.705148 0.003589 0.013227 0.002807
104.0 0.005145 0.701664 0.003710 0.013576 0.002769
105.0 0.005291 0.698224 0.003833 0.013921 0.002726
106.0 0.005439 0.694824 0.003960 0.014262 0.002673
107.0 0.005590 0.691466 0.004089 0.014600 0.002597
108.0 0.005744 0.688144 0.004221 0.014933 0.002473
109.0 0.005902 0.684862 0.004356 0.015260 0.002254
110.0 0.006065 0.681621 0.004494 0.015581 0.001876
111.0 0.006235 0.678412 0.004634 0.015893 0.001353
112.0 0.006412 0.675232 0.004776 0.016194 0.000845
113.0 0.006598 0.672091 0.004919 0.016483 0.000478
114.0 0.006793 0.668985 0.005063 0.016756 0.000247
115.0 0.006999 0.665907 0.005208 0.017010 0.000110
116.0 0.007216 0.662867 0.005353 0.017243 0.000035
117.0 0.007447 0.659851 0.005498 0.017451 0.000005
118.0 0.007691 0.656863 0.005640 0.017631 0.000009
119.0 0.007951 0.653912 0.005782 0.017780 0.000046
120.0 0.008227 0.650987 0.005921 0.017893 0.000112
121.0 0.008519 0.648084 0.006058 0.017968 0.000208
122.0 0.008829 0.645206 0.006193 0.018004 0.000335
123.0 0.009158 0.642346 0.006325 0.017997 0.000494
124.0 0.009505 0.639506 0.006455 0.017943 0.000688
125.0 0.009871 0.636691 0.006581 0.017842 0.000917
126.0 0.010258 0.633893 0.006704 0.017692 0.001183
127.0 0.010666 0.631110 0.006824 0.017492 0.001487
128.0 0.011096 0.628348 0.006940 0.017244 0.001829
129.0 0.011546 0.625603 0.007055 0.016947 0.002209
130.0 0.012018 0.622870 0.007167 0.016605 0.002627
131.0 0.012512 0.620143 0.007278 0.016220 0.003082
132.0 0.013026 0.617413 0.007387 0.015797 0.003570
133.0 0.013563 0.614675 0.007496 0.015338 0.004089
134.0 0.014120 0.611932 0.007604 0.014849 0.004634
135.0 0.014698 0.609185 0.007713 0.014336 0.005203
136.0 0.015295 0.606426 0.007823 0.013804 0.005789
137.0 0.015913 0.603652 0.007936 0.013260 0.006390
138.0 0.016553 0.600868 0.008052 0.012710 0.006998
139.0 0.017214 0.598069 0.008174 0.012160 0.007610
140.0 0.017896 0.595260 0.008300 0.011615 0.008220
141.0 0.018600 0.592442 0.008432 0.011079 0.008823
142.0 0.019325 0.589606 0.008570 0.010556 0.009416
143.0 0.020071 0.586750 0.008716 0.010047 0.009995
144.0 0.020840 0.583881 0.008869 0.009557 0.010558
145.0 0.021631 0.580994 0.009029 0.009085 0.011100
146.0 0.022443 0.578083 0.009197 0.008634 0.011621
147.0 0.023278 0.575153 0.009372 0.008204 0.012117
148.0 0.024137 0.572190 0.009555 0.007796 0.012587
149.0 0.025020 0.569199 0.009743 0.007413 0.013029
150.0 0.025933 0.566197 0.009938 0.007053 0.013442
151.0 0.026873 0.563173 0.010137 0.006719 0.013825
152.0 0.027843 0.560133 0.010336 0.006412 0.014177
