#Time Kinetic_e Potential_e Total_e Norm
0.0 0.00000000 -7.62081421 -7.62081421 1.0000000000000002
1.0 0.00008762 -7.62089669 -7.62080907 0.9999999999999992
2.0 0.00035029 -7.62114392 -7.62079363 1.0000000000000016
3.0 0.00078741 -7.62155530 -7.62076789 0.9999999999999993
4.0 0.00139800 -7.62212982 -7.62073182 1.0000000000000004
5.0 0.00218068 -7.62286607 -7.62068539 0.9999999999999999
6.0 0.00313372 -7.62376229 -7.62062857 1.0000000000000024
7.0 0.00425497 -7.62481628 -7.62056131 1.0000000000000024
8.0 0.00554198 -7.62602554 -7.62048356 1.000000000000001
9.0 0.00699192 -7.62738717 -7.62039525 1.0000000000000016
10.0 0.00860164 -7.62889792 -7.62029628 1.0000000000000042
11.0 0.01036769 -7.63055425 -7.62018656 1.0000000000000024
12.0 0.01228631 -7.63235237 -7.62006606 1.0000000000000004
13.0 0.01435352 -7.63428820 -7.61993468 0.9999999999999989
14.0 0.01656502 -7.63635728 -7.61979227 0.9999999999999987
15.0 0.01891633 -7.63855496 -7.61963862 0.9999999999999971
16.0 0.02140279 -7.64087641 -7.61947362 0.9999999999999979
17.0 0.02401949 -7.64331658 -7.61929709 0.9999999999999996
18.0 0.02676140 -7.64587025 -7.61910884 0.9999999999999996
19.0 0.02962337 -7.64853206 -7.61890869 1.000000000000002
20.0 0.03260008 -7.65129653 -7.61869645 1.000000000000004
21.0 0.03568620 -7.65415816 -7.61847196 1.0000000000000038
22.0 0.03887623 -7.65711115 -7.61823492 1.0000000000000042
23.0 0.04216469 -7.66014968 -7.61798499 1.000000000000006
24.0 0.04554604 -7.66326798 -7.61772194 1.0000000000000056
25.0 0.04901478 -7.66646038 -7.61744560 1.000000000000004
26.0 0.05256534 -7.66972102 -7.61715568 1.0000000000000038
27.0 0.05619219 -7.67304407 -7.61685188 1.000000000000004
28.0 0.05988992 -7.67642380 -7.61653388 0.9999999999999993
29.0 0.06365314 -7.67985451 -7.61620137 1.0
30.0 0.06747653 -7.68333056 -7.61585403 0.9999999999999998
31.0 0.07135487 -7.68684636 -7.61549148 0.999999999999999
32.0 0.07528300 -7.69039646 -7.61511345 0.9999999999999986
33.0 0.07925594 -7.69397564 -7.61471970 0.999999999999995
34.0 0.08326886 -7.69757883 -7.61430998 0.9999999999999953
35.0 0.08731691 -7.70120081 -7.61388390 0.999999999999994
36.0 0.09139551 -7.70483663 -7.61344112 0.9999999999999918
37.0 0.09550016 -7.70848153 -7.61298137 0.9999999999999911
38.0 0.09962658 -7.71213103 -7.61250444 0.9999999999999901
39.0 0.10377056 -7.71578060 -7.61201004 0.9999999999999897
40.0 0.10792812 -7.71942608 -7.61149796 0.9999999999999878
41.0 0.11209547 -7.72306345 -7.61096798 0.9999999999999895
42.0 0.11626892 -7.72668884 -7.61041992 0.9999999999999878
