#Time E_0 E_1 E_2 E_3 E_4
0.0 -7.73550144 -7.62081421 -7.49483190 -7.44321748 -7.19573677
1.0 -7.73550416 -7.62081405 -7.49483176 -7.44321694 -7.19576984
2.0 -7.73551277 -7.62081411 -7.49483190 -7.44321585 -7.19586957
3.0 -7.73552868 -7.62081591 -7.49483392 -7.44321579 -7.19603746
4.0 -7.73555420 -7.62082202 -7.49484051 -7.44321936 -7.19627603
5.0 -7.73559255 -7.62083600 -7.49485542 -7.44323020 -7.19658877
6.0 -7.73564785 -7.62086239 -7.49488342 -7.44325295 -7.19698016
7.0 -7.73572509 -7.62090670 -7.49493029 -7.44329325 -7.19745558
8.0 -7.73583012 -7.62097538 -7.49500281 -7.44335766 -7.19802131
9.0 -7.73596959 -7.62107574 -7.49510868 -7.44345368 -7.19868452
10.0 -7.73615095 -7.62121601 -7.49525651 -7.44358968 -7.19945317
11.0 -7.73638239 -7.62140518 -7.49545579 -7.44377486 -7.20033598
12.0 -7.73667280 -7.62165304 -7.49571680 -7.44401921 -7.20134239
13.0 -7.73703175 -7.62197010 -7.49605058 -7.44433345 -7.20248249
14.0 -7.73746943 -7.62236751 -7.49646887 -7.44472897 -7.20376698
15.0 -7.73799656 -7.62285704 -7.49698405 -7.44521779 -7.20520704
16.0 -7.73862441 -7.62345102 -7.49760907 -7.44581246 -7.20681436
17.0 -7.73936469 -7.62416223 -7.49835741 -7.44652604 -7.20860097
18.0 -7.74022950 -7.62500387 -7.49924296 -7.44737200 -7.21057925
19.0 -7.74123129 -7.62598950 -7.50027998 -7.44836414 -7.21276179
20.0 -7.74238279 -7.62713294 -7.50148303 -7.44951656 -7.21516138
21.0 -7.74369691 -7.62844822 -7.50286688 -7.45084353 -7.21779086
22.0 -7.74518675 -7.62994949 -7.50444644 -7.45235947 -7.22066313
23.0 -7.74686544 -7.63165094 -7.50623667 -7.45407883 -7.22379098
24.0 -7.74874618 -7.63356677 -7.50825253 -7.45601603 -7.22718710
25.0 -7.75084205 -7.63571106 -7.51050885 -7.45818538 -7.23086393
