# Time Pop_0 Pop_1 Pop_2 Pop_3 Pop_4
0.0 0.000000 1.000000 0.000000 0.000000 0.000000
1.0 0.000000 1.000000 0.000000 0.000000 0.000000
2.0 0.000000 1.000000 0.000000 0.000000 0.000000
3.0 0.000000 0.999999 0.000000 0.000000 0.000000
4.0 0.000000 0.999995 0.000000 0.000000 0.000000
5.0 0.000000 0.999988 0.000000 0.000001 0.000000
6.0 0.000000 0.999975 0.000000 0.000001 0.000001
7.0 0.000000 0.999954 0.000000 0.000002 0.000001
8.0 0.000000 0.999922 0.000000 0.000004 0.000002
9.0 0.000000 0.999875 0.000000 0.000007 0.000004
10.0 0.000001 0.999809 0.000001 0.000011 0.000007
11.0 0.000001 0.999720 0.000001 0.000016 0.000010
12.0 0.000001 0.999603 0.000001 0.000024 0.000014
13.0 0.000002 0.999454 0.000002 0.000034 0.000020
14.0 0.000003 0.999268 0.000003 0.000047 0.000027
15.0 0.000004 0.999039 0.000004 0.000063 0.000035
16.0 0.000006 0.998762 0.000006 0.000083 0.000044
17.0 0.000008 0.998431 0.000008 0.000108 0.000055
18.0 0.000011 0.998038 0.000010 0.000137 0.000068
19.0 0.000014 0.997579 0.000013 0.000172 0.000083
20.0 0.000018 0.997047 0.000017 0.000211 0.000099
21.0 0.000024 0.996437 0.000021 0.000256 0.000119
22.0 0.000030 0.995746 0.000026 0.000305 0.000141
23.0 0.000038 0.994967 0.000031 0.000359 0.000166
24.0 0.000046 0.994091 0.000037 0.000417 0.000194
25.0 0.000057 0.993116 0.000044 0.000479 0.000226
26.0 0.000069 0.992038 0.000051 0.000543 0.000260
27.0 0.000083 0.990854 0.000059 0.000608 0.000298
28.0 0.000098 0.989561 0.000067 0.000674 0.000338
29.0 0.000115 0.988158 0.000076 0.000738 0.000381
30.0 0.000135 0.986641 0.000085 0.000800 0.000425
31.0 0.000156 0.985007 0.000094 0.000858 0.000472
32.0 0.000179 0.983252 0.000102 0.000910 0.000521
33.0 0.000205 0.981373 0.000111 0.000956 0.000573
34.0 0.000232 0.979373 0.000119 0.000994 0.000627
35.0 0.000260 0.977256 0.000127 0.001023 0.000683
36.0 0.000291 0.975017 0.000133 0.001042 0.000744
37.0 0.000323 0.972653 0.000139 0.001051 0.000807
38.0 0.000356 0.970167 0.000144 0.001049 0.000874
39.0 0.000390 0.967555 0.000148 0.001036 0.000943
40.0 0.000425 0.964817 0.000150 0.001012 0.001014
41.0 0.000460 0.961960 0.000151 0.000978 0.001087
42.0 0.000495 0.958984 0.000151 0.000935 0.001161
43.0 0.000531 0.955893 0.000149 0.000882 0.001234
44.0 0.000566 0.952689 0.000147 0.000823 0.001307
45.0 0.000601 0.949364 0.000143 0.000757 0.001380
46.0 0.000635 0.945921 0.000138 0.000686 0.001452
47.0 0.000668 0.942370 0.000133 0.000613 0.001524
48.0 0.000700 0.938712 0.000127 0.000537 0.001596
49.0 0.000730 0.934946 0.000120 0.000461 0.001668
50.0 0.000760 0.931078 0.000114 0.000387 0.001742
51.0 0.000787 0.927111 0.000109 0.000316 0.001817
52.0 0.000814 0.923041 0.000104 0.000249 0.001892
53.0 0.000839 0.918875 0.000101 0.000188 0.001967
54.0 0.000862 0.914614 0.000099 0.000134 0.002041
55.0 0.000885 0.910269 0.000100 0.000089 0.002113
56.0 0.000907 0.905849 0.000103 0.000053 0.002182
57.0 0.000928 0.901364 0.000110 0.000028 0.002248
58.0 0.000948 0.896804 0.000120 0.000014 0.002310
59.0 0.000968 0.892173 0.000134 0.000014 0.002368
60.0 0.000989 0.887485 0.000153 0.000029 0.002424
61.0 0.001010 0.882737 0.000176 0.000058 0.002477
62.0 0.001032 0.877934 0.000205 0.000105 0.002529
63.0 0.001056 0.873083 0.000239 0.000169 0.002581
64.0 0.001082 0.868185 0.000279 0.000253 0.002632
65.0 0.001110 0.863245 0.000324 0.000358 0.002683
66.0 0.001142 0.858271 0.000375 0.000485 0.002733
67.0 0.001176 0.853258 0.000433 0.000634 0.002781
68.0 0.001215 0.848208 0.000496 0.000808 0.002825
69.0 0.001259 0.843143 0.000565 0.001008 0.002866
70.0 0.001307 0.838063 0.000639 0.001234 0.002903
71.0 0.001361 0.832972 0.000719 0.001486 0.002936
72.0 0.001421 0.827875 0.000804 0.001766 0.002964
73.0 0.001488 0.822764 0.000894 0.002073 0.002989
74.0 0.001560 0.817649 0.000988 0.002406 0.003011
75.0 0.001640 0.812534 0.001086 0.002766 0.003031
76.0 0.001726 0.807423 0.001188 0.003150 0.003051
77.0 0.001819 0.802318 0.001293 0.003559 0.003069
